DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-04-03 00:00:00;3;1;1;2;2;6;2;1
2020-04-03 00:15:00;4;5;2;0;0;2;7;2
2020-04-03 00:30:00;2;1;2;0;0;1;9;6
2020-04-03 00:45:00;5;4;2;0;0;3;13;6
2020-04-03 01:00:00;4;5;3;0;0;1;3;2
2020-04-03 01:15:00;1;0;0;0;1;3;4;4
2020-04-03 01:30:00;6;2;1;0;0;1;1;1
2020-04-03 01:45:00;5;3;1;3;2;5;3;0
2020-04-03 02:00:00;6;1;0;1;0;1;6;3
2020-04-03 02:15:00;9;2;0;1;1;2;2;2
2020-04-03 02:30:00;8;3;1;2;2;3;2;2
2020-04-03 02:45:00;9;2;0;1;1;3;5;2
2020-04-03 03:00:00;2;0;0;3;3;3;11;5
2020-04-03 03:15:00;6;5;1;1;0;2;7;3
2020-04-03 03:30:00;7;4;1;0;1;4;8;3
2020-04-03 03:45:00;6;2;1;1;1;1;7;4
2020-04-03 04:00:00;7;3;0;1;1;1;5;4
2020-04-03 04:15:00;13;4;2;4;3;6;8;8
2020-04-03 04:30:00;14;9;0;3;2;8;10;5
2020-04-03 04:45:00;18;9;3;2;2;6;10;4
2020-04-03 05:00:00;18;8;2;0;0;2;20;7
2020-04-03 05:15:00;25;12;1;2;2;11;34;6
2020-04-03 05:30:00;38;20;12;2;3;9;34;13
2020-04-03 05:45:00;74;49;13;14;7;30;35;17
2020-04-03 06:00:00;41;29;12;6;10;26;29;21
2020-04-03 06:15:00;46;37;16;5;4;34;46;28
2020-04-03 06:30:00;96;82;24;11;8;50;54;23
2020-04-03 06:45:00;95;109;22;20;25;66;56;37
2020-04-03 07:00:00;87;72;10;11;18;53;80;56
2020-04-03 07:15:00;91;83;13;14;17;65;82;49
2020-04-03 07:30:00;87;79;21;12;10;63;65;45
2020-04-03 07:45:00;98;86;14;11;11;67;71;45
2020-04-03 08:00:00;70;64;20;5;9;45;71;40
2020-04-03 08:15:00;77;68;16;12;16;38;59;44
2020-04-03 08:30:00;58;68;18;10;11;39;62;27
2020-04-03 08:45:00;78;68;19;13;11;45;62;34
2020-04-03 09:00:00;81;62;18;5;8;33;74;37
2020-04-03 09:15:00;77;58;18;8;8;33;84;54
2020-04-03 09:30:00;80;57;22;5;12;38;82;44
2020-04-03 09:45:00;85;61;13;12;13;39;82;57
2020-04-03 10:00:00;66;69;18;7;11;28;91;40
2020-04-03 10:15:00;71;58;24;12;11;32;99;54
2020-04-03 10:30:00;87;80;19;7;9;41;86;41
2020-04-03 10:45:00;86;78;33;5;9;27;87;53
2020-04-03 11:00:00;93;74;26;4;16;27;105;57
2020-04-03 11:15:00;82;65;16;9;6;29;97;54
2020-04-03 11:30:00;77;57;24;8;131;25;104;54
2020-04-03 11:45:00;77;73;32;10;16;41;74;52
2020-04-03 12:00:00;81;86;42;9;11;43;108;67
2020-04-03 12:15:00;94;84;31;6;5;31;102;66
2020-04-03 12:30:00;94;85;25;8;9;44;109;62
2020-04-03 12:45:00;94;97;24;7;6;38;107;64
2020-04-03 13:00:00;83;88;40;7;6;33;109;58
2020-04-03 13:15:00;90;70;35;9;10;39;79;53
2020-04-03 13:30:00;86;77;31;12;9;38;105;55
2020-04-03 13:45:00;78;79;28;21;21;60;98;54
2020-04-03 14:00:00;74;63;28;8;7;42;106;67
2020-04-03 14:15:00;107;79;25;7;10;50;97;63
2020-04-03 14:30:00;83;79;42;7;9;31;102;57
2020-04-03 14:45:00;88;74;28;13;10;45;103;66
2020-04-03 15:00:00;88;67;23;10;9;31;96;65
2020-04-03 15:15:00;77;66;17;7;5;29;99;64
2020-04-03 15:30:00;83;65;32;9;7;42;97;71
2020-04-03 15:45:00;73;44;16;9;5;36;77;55
2020-04-03 16:00:00;85;55;27;14;9;42;98;59
