DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-03-13 00:00:00;6;2;3;1;0;10;5;2;1;7;5;2;2
2020-03-13 00:15:00;5;3;1;3;3;11;13;5;6;5;7;1;1
2020-03-13 00:30:00;11;5;1;3;0;5;3;0;1;7;6;2;1
2020-03-13 00:45:00;6;6;1;1;2;7;5;3;3;6;4;2;1
2020-03-13 01:00:00;2;2;2;2;2;4;3;2;1;3;3;1;2
2020-03-13 01:15:00;7;1;1;0;0;10;11;3;2;4;7;2;1
2020-03-13 01:30:00;5;0;2;0;0;10;8;1;1;5;7;0;2
2020-03-13 01:45:00;4;0;1;1;1;6;9;2;0;2;5;2;1
2020-03-13 02:00:00;4;0;0;0;2;6;4;1;1;4;2;0;0
2020-03-13 02:15:00;2;0;0;2;0;7;8;3;1;3;3;0;0
2020-03-13 02:30:00;7;2;2;0;6;4;3;0;0;0;1;0;2
2020-03-13 02:45:00;3;1;0;0;1;8;7;0;0;2;0;0;0
2020-03-13 03:00:00;6;0;0;0;2;10;14;2;0;6;2;1;0
2020-03-13 03:15:00;5;0;1;5;4;5;2;1;1;0;0;0;1
2020-03-13 03:30:00;5;0;0;1;1;7;7;3;3;3;1;1;0
2020-03-13 03:45:00;3;2;0;1;2;6;3;2;1;1;2;2;0
2020-03-13 04:00:00;6;0;0;2;1;10;9;3;1;3;5;0;0
2020-03-13 04:15:00;7;4;1;1;7;14;8;2;1;0;1;1;1
2020-03-13 04:30:00;8;1;0;4;7;24;19;5;0;4;4;0;0
2020-03-13 04:45:00;13;6;1;1;5;20;6;3;4;6;9;1;1
2020-03-13 05:00:00;21;13;0;10;11;23;24;5;3;2;3;2;0
2020-03-13 05:15:00;17;14;8;9;19;34;32;12;6;6;6;1;8
2020-03-13 05:30:00;34;22;13;24;28;45;44;18;4;7;4;2;12
2020-03-13 05:45:00;39;21;5;18;27;49;54;18;12;11;6;2;5
2020-03-13 06:00:00;29;38;7;20;25;62;60;22;14;7;2;1;7
2020-03-13 06:15:00;49;51;15;35;45;58;62;29;24;12;8;0;14
2020-03-13 06:30:00;48;49;14;37;54;92;81;38;24;15;13;4;13
2020-03-13 06:45:00;54;50;18;70;53;110;120;68;55;27;8;5;17
2020-03-13 07:00:00;56;57;13;62;41;73;86;57;51;38;15;3;13
2020-03-13 07:15:00;67;77;23;57;52;112;96;70;46;36;26;10;17
2020-03-13 07:30:00;74;65;17;85;48;120;120;82;56;47;20;9;17
2020-03-13 07:45:00;44;40;18;93;64;102;126;79;80;44;24;11;19
2020-03-13 08:00:00;49;31;15;91;43;95;113;83;63;46;29;11;15
2020-03-13 08:15:00;57;53;16;74;43;78;99;89;65;40;39;17;18
2020-03-13 08:30:00;51;38;11;85;32;89;95;73;62;50;38;15;11
2020-03-13 08:45:00;63;48;17;96;37;92;99;69;76;54;38;16;17
