DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-08-24 00:00:00;9;16;0;8;14;3;1;1;0;0;0;0;0;0
2020-08-24 00:15:00;10;21;0;8;13;3;3;4;2;0;0;0;0;0
2020-08-24 00:30:00;18;21;0;13;14;1;1;4;3;0;0;0;0;0
2020-08-24 00:45:00;7;13;0;6;13;2;0;2;1;1;0;0;0;0
2020-08-24 01:00:00;7;14;0;11;9;1;0;1;0;0;0;0;0;0
2020-08-24 01:15:00;4;8;0;3;9;0;0;2;2;0;0;0;0;0
2020-08-24 01:30:00;9;11;0;4;6;0;0;0;0;0;0;0;0;0
2020-08-24 01:45:00;1;3;0;11;6;1;0;0;0;0;0;0;0;0
2020-08-24 02:00:00;3;5;0;6;13;1;1;1;1;0;0;0;0;0
2020-08-24 02:15:00;3;4;0;3;3;0;0;1;0;0;0;0;0;0
2020-08-24 02:30:00;2;4;0;3;6;0;0;2;0;0;0;0;0;0
2020-08-24 02:45:00;6;7;0;6;8;0;0;0;0;0;0;0;0;0
2020-08-24 03:00:00;4;9;0;4;10;2;1;0;0;0;0;0;0;0
2020-08-24 03:15:00;4;2;0;2;5;3;1;1;1;0;0;0;0;0
2020-08-24 03:30:00;4;5;0;2;10;3;0;1;2;0;0;0;0;0
2020-08-24 03:45:00;2;8;0;3;4;1;0;0;0;0;0;0;0;0
2020-08-24 04:00:00;4;9;0;9;8;1;0;0;0;0;1;0;0;0
2020-08-24 04:15:00;6;9;0;6;14;2;0;1;1;0;0;0;0;0
2020-08-24 04:30:00;9;16;0;6;14;2;1;1;1;0;0;0;0;0
2020-08-24 04:45:00;16;7;0;14;25;1;0;0;0;0;0;0;0;0
2020-08-24 05:00:00;43;43;0;23;26;4;1;1;1;1;0;0;0;0
2020-08-24 05:15:00;76;93;0;14;40;3;3;3;0;0;0;0;0;0
2020-08-24 05:30:00;73;112;1;31;53;8;3;3;1;1;0;0;0;0
2020-08-24 05:45:00;62;88;0;21;33;8;1;2;1;3;0;0;0;0
2020-08-24 06:00:00;52;72;0;27;40;13;0;1;2;3;0;0;0;0
2020-08-24 06:15:00;27;38;0;15;25;8;0;1;2;2;0;0;0;0
2020-08-24 06:30:00;117;167;0;47;92;25;3;6;2;1;0;0;4;0
2020-08-24 06:45:00;118;172;0;50;74;19;3;16;5;10;0;0;0;0
2020-08-24 07:00:00;94;151;0;53;76;35;4;8;2;5;0;0;3;0
2020-08-24 07:15:00;111;170;0;60;85;41;5;14;5;9;1;1;0;0
2020-08-24 07:30:00;121;158;0;67;95;43;6;17;7;10;0;0;1;0
2020-08-24 07:45:00;115;153;1;72;96;40;10;17;5;16;0;1;5;0
2020-08-24 08:00:00;95;135;1;73;69;49;8;21;3;7;10;0;0;1
2020-08-24 08:15:00;92;139;2;75;99;52;2;17;6;16;0;0;0;0
2020-08-24 08:30:00;101;150;1;80;92;44;13;16;6;15;0;12;0;8
2020-08-24 08:45:00;84;141;0;82;93;52;9;23;14;16;10;0;7;0
