DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2019-12-24 00:00:00;3;2;4;7;0;0;0;0
2019-12-24 00:15:00;6;2;0;11;2;0;0;0
2019-12-24 00:30:00;6;1;4;13;5;0;0;0
2019-12-24 00:45:00;3;1;1;9;3;0;0;0
2019-12-24 01:00:00;11;2;1;13;1;0;0;0
2019-12-24 01:15:00;8;1;2;7;1;0;0;0
2019-12-24 01:30:00;6;2;1;11;0;0;0;0
2019-12-24 01:45:00;5;0;0;10;1;0;0;0
2019-12-24 02:00:00;7;4;1;9;2;0;0;0
2019-12-24 02:15:00;3;0;1;2;0;0;0;0
2019-12-24 02:30:00;3;1;1;4;0;0;0;0
2019-12-24 02:45:00;4;1;0;1;0;0;0;0
2019-12-24 03:00:00;2;2;1;6;1;0;0;0
2019-12-24 03:15:00;4;1;0;1;0;0;0;0
2019-12-24 03:30:00;4;3;1;4;1;0;0;0
2019-12-24 03:45:00;4;1;1;4;0;0;0;0
2019-12-24 04:00:00;0;1;1;4;0;0;0;0
2019-12-24 04:15:00;1;0;0;1;0;0;0;0
2019-12-24 04:30:00;1;2;0;6;1;0;0;0
2019-12-24 04:45:00;2;1;0;4;1;0;0;0
2019-12-24 05:00:00;5;0;0;2;0;0;0;0
2019-12-24 05:15:00;8;2;0;5;0;0;0;0
2019-12-24 05:30:00;8;2;1;15;0;0;0;0
2019-12-24 05:45:00;11;1;0;15;1;0;0;0
2019-12-24 06:00:00;5;5;2;15;1;0;0;0
2019-12-24 06:15:00;11;2;1;10;2;0;0;0
2019-12-24 06:30:00;24;7;1;23;2;0;0;0
2019-12-24 06:45:00;15;4;2;10;0;0;0;0
2019-12-24 07:00:00;9;2;10;17;4;0;0;0
2019-12-24 07:15:00;17;5;6;15;4;0;0;0
2019-12-24 07:30:00;32;11;8;24;1;0;0;0
2019-12-24 07:45:00;27;8;13;28;6;2;0;0
2019-12-24 08:00:00;36;12;12;19;9;0;0;0
2019-12-24 08:15:00;38;11;19;32;14;0;0;0
2019-12-24 08:30:00;49;14;28;36;9;6;0;0
2019-12-24 08:45:00;56;16;19;54;24;2;0;0
2019-12-24 09:00:00;61;18;28;59;19;7;0;1
2019-12-24 09:15:00;75;20;40;59;10;2;0;0
2019-12-24 09:30:00;85;26;41;78;22;5;0;0
2019-12-24 09:45:00;87;15;46;62;18;5;0;0
2019-12-24 10:00:00;80;15;61;47;20;8;0;0
2019-12-24 10:15:00;91;11;54;81;28;5;0;0
2019-12-24 10:30:00;76;17;50;80;17;5;0;0
2019-12-24 10:45:00;73;10;46;86;22;7;0;0
2019-12-24 11:00:00;93;18;41;88;23;11;0;0
2019-12-24 11:15:00;80;16;49;87;28;2;0;0
2019-12-24 11:30:00;86;20;61;71;29;15;0;0
2019-12-24 11:45:00;91;9;30;81;16;9;0;1
2019-12-24 12:00:00;80;18;43;97;19;9;0;0
2019-12-24 12:15:00;66;15;41;88;17;4;0;0
2019-12-24 12:30:00;78;15;26;81;22;7;0;2
2019-12-24 12:45:00;80;17;34;83;20;8;0;0
2019-12-24 13:00:00;63;15;31;89;28;3;0;0
2019-12-24 13:15:00;56;12;38;88;22;2;0;0
2019-12-24 13:30:00;58;12;31;77;19;3;0;0
2019-12-24 13:45:00;70;10;36;73;12;5;0;0
2019-12-24 14:00:00;71;10;39;76;16;0;0;0
2019-12-24 14:15:00;78;11;18;75;7;2;0;0
2019-12-24 14:30:00;58;6;20;75;7;8;0;0
2019-12-24 14:45:00;80;11;9;82;11;1;0;0
2019-12-24 15:00:00;66;13;13;72;12;7;0;0
2019-12-24 15:15:00;81;7;14;82;9;11;0;0
2019-12-24 15:30:00;96;14;21;65;10;2;0;0
2019-12-24 15:45:00;62;5;11;65;7;0;4;0
2019-12-24 16:00:00;68;8;22;65;7;3;0;0
2019-12-24 16:15:00;56;3;18;58;6;1;0;1
2019-12-24 16:30:00;64;11;22;51;8;0;0;0
2019-12-24 16:45:00;55;6;18;72;13;0;0;0
2019-12-24 17:00:00;70;11;25;72;8;0;0;0
2019-12-24 17:15:00;79;4;11;105;3;1;0;0
2019-12-24 17:30:00;65;7;18;98;5;0;0;0
2019-12-24 17:45:00;46;8;14;73;8;0;0;0
2019-12-24 18:00:00;42;13;10;84;11;2;0;0
2019-12-24 18:15:00;33;5;8;95;6;1;0;0
2019-12-24 18:30:00;31;9;7;31;1;0;0;0
2019-12-24 18:45:00;21;3;4;38;5;4;0;0
2019-12-24 19:00:00;28;8;6;27;4;0;0;0
2019-12-24 19:15:00;24;3;1;20;1;11;0;0
2019-12-24 19:30:00;21;2;5;25;0;0;0;0
2019-12-24 19:45:00;22;10;7;23;4;0;0;0
2019-12-24 20:00:00;21;5;5;26;2;0;0;0
2019-12-24 20:15:00;19;4;11;24;4;0;0;0
2019-12-24 20:30:00;41;6;8;29;3;0;0;0
2019-12-24 20:45:00;51;5;6;41;3;0;0;0
2019-12-24 21:00:00;25;3;4;30;3;0;0;0
2019-12-24 21:15:00;40;9;9;41;10;2;0;0
2019-12-24 21:30:00;41;4;9;37;6;0;0;0
2019-12-24 21:45:00;41;7;15;29;1;0;0;0
2019-12-24 22:00:00;41;7;6;31;2;0;0;0
2019-12-24 22:15:00;33;8;8;35;3;0;0;0
2019-12-24 22:30:00;29;3;10;33;1;0;0;0
2019-12-24 22:45:00;37;6;5;32;8;0;0;0
2019-12-24 23:00:00;29;4;10;23;2;0;0;0
2019-12-24 23:15:00;43;5;5;33;3;0;0;0
2019-12-24 23:30:00;40;5;8;21;0;0;0;0
