DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2020-11-22 00:00:00;11;7;1;3;17;11;0;1;2;0;0;0;0;17;19;0;0;0;0;0;0;0;0
2020-11-22 00:15:00;4;25;3;3;18;12;1;3;3;1;0;2;2;13;22;0;0;0;0;0;0;0;0
2020-11-22 00:30:00;17;11;2;1;17;8;1;2;1;1;1;1;1;20;23;0;0;0;0;0;0;0;0
2020-11-22 00:45:00;19;23;2;3;13;9;2;1;6;0;0;0;0;26;16;0;0;0;0;0;0;0;0
2020-11-22 01:00:00;8;4;0;1;12;5;1;0;1;0;0;0;0;11;15;0;0;0;0;0;0;0;0
2020-11-22 01:15:00;8;9;0;2;8;4;0;1;1;1;1;0;0;12;9;0;0;0;0;0;0;0;0
2020-11-22 01:30:00;8;5;0;4;7;6;0;1;3;0;0;0;0;9;7;0;0;0;0;0;0;0;0
2020-11-22 01:45:00;8;7;0;0;11;9;2;0;2;0;0;0;0;11;15;0;0;0;0;0;0;0;0
2020-11-22 02:00:00;12;7;1;0;5;1;1;0;2;0;0;0;0;15;5;0;0;0;0;0;0;0;0
2020-11-22 02:15:00;3;6;1;3;7;2;0;1;1;0;0;0;0;6;8;0;0;0;0;0;0;0;0
2020-11-22 02:30:00;3;7;0;0;4;1;0;0;2;0;0;0;0;6;5;0;0;0;0;0;0;0;0
2020-11-22 02:45:00;3;4;0;0;1;3;0;1;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0
2020-11-22 03:00:00;5;2;0;0;3;1;0;0;0;0;1;0;0;5;4;0;0;0;0;0;0;0;0
2020-11-22 03:15:00;5;1;1;1;4;4;1;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
2020-11-22 03:30:00;1;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
2020-11-22 03:45:00;3;2;0;1;1;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0
2020-11-22 04:00:00;0;2;0;1;2;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
2020-11-22 04:15:00;4;1;0;0;3;2;0;0;0;0;0;1;2;4;3;0;0;0;0;0;0;0;0
2020-11-22 04:30:00;1;0;0;0;3;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
2020-11-22 04:45:00;6;1;1;1;5;8;0;0;1;0;0;1;1;6;5;0;0;0;0;0;0;0;0
2020-11-22 05:00:00;8;4;1;0;12;4;0;1;2;1;1;0;0;8;13;0;0;0;0;0;0;0;0
2020-11-22 05:15:00;9;3;0;3;4;3;0;1;2;0;0;1;1;10;4;0;0;0;0;0;0;0;0
2020-11-22 05:30:00;12;19;0;1;4;2;0;2;1;1;1;0;0;17;4;0;0;0;0;0;0;0;0
2020-11-22 05:45:00;11;21;1;2;7;6;0;1;0;0;0;1;1;19;11;0;0;0;0;0;0;0;0
2020-11-22 06:00:00;6;5;0;3;13;5;0;1;1;2;1;0;0;7;16;0;0;0;0;0;0;0;0
2020-11-22 06:15:00;10;10;0;1;7;4;0;2;1;0;0;1;1;15;9;0;0;0;0;0;0;0;0
2020-11-22 06:30:00;13;7;2;0;12;4;0;4;4;1;1;0;0;15;15;0;0;0;0;0;0;0;0
2020-11-22 06:45:00;6;8;1;1;9;4;1;2;2;1;1;3;1;10;9;0;0;0;0;0;0;0;0
2020-11-22 07:00:00;6;1;0;3;12;4;0;2;1;1;1;1;2;6;12;0;0;0;0;0;0;0;0
2020-11-22 07:15:00;12;11;2;5;6;6;0;4;1;0;0;1;1;17;9;0;0;0;0;0;0;0;0
2020-11-22 07:30:00;14;10;1;3;6;10;2;3;1;1;1;0;0;16;12;0;0;0;0;0;0;0;0
2020-11-22 07:45:00;16;13;2;7;14;8;1;4;9;3;3;1;2;21;15;0;0;0;0;0;0;0;0
2020-11-22 08:00:00;6;9;4;9;13;13;0;5;5;0;0;4;4;9;15;0;0;0;0;0;0;0;0
2020-11-22 08:15:00;31;17;10;11;16;10;4;2;8;1;1;2;2;35;20;0;0;0;0;0;0;0;0
2020-11-22 08:30:00;18;13;3;10;27;14;1;8;5;0;2;2;3;24;31;0;0;0;0;0;0;0;0
2020-11-22 08:45:00;23;29;6;7;29;16;4;8;7;2;2;0;0;29;30;0;0;0;0;0;0;0;0
2020-11-22 09:00:00;23;22;4;12;17;11;0;10;6;1;1;2;3;33;21;0;0;0;0;0;0;0;0
2020-11-22 09:15:00;28;37;5;12;32;13;2;10;7;2;2;1;2;39;39;0;0;0;0;0;0;0;0
2020-11-22 09:30:00;26;33;3;17;30;22;5;10;11;0;0;3;3;44;38;0;0;0;0;0;0;0;0
2020-11-22 09:45:00;43;58;6;12;38;22;2;22;13;5;5;1;1;66;44;0;1;0;0;0;0;0;0
2020-11-22 10:00:00;31;47;11;17;41;26;1;6;12;2;1;3;3;54;50;0;0;0;0;0;0;0;0
2020-11-22 10:15:00;39;43;6;19;47;29;4;13;12;1;1;3;2;56;54;0;0;0;3;0;0;0;0
2020-11-22 10:30:00;33;43;5;21;53;38;4;14;13;1;0;3;3;49;65;0;0;0;1;0;0;0;0
2020-11-22 10:45:00;56;57;10;17;56;40;3;20;30;5;4;2;1;79;73;0;0;0;0;0;0;0;0
2020-11-22 11:00:00;51;69;8;17;61;44;4;17;11;2;1;4;3;79;75;0;0;0;0;0;0;0;0
2020-11-22 11:15:00;55;51;9;20;56;49;5;22;14;5;3;1;1;77;76;0;0;0;0;0;0;0;0
2020-11-22 11:30:00;44;48;11;11;64;49;10;16;21;1;2;3;3;76;81;0;0;0;0;0;0;0;0
2020-11-22 11:45:00;64;68;10;24;50;46;3;27;26;5;6;0;2;92;74;0;0;0;0;0;3;0;0
2020-11-22 12:00:00;57;79;8;22;54;47;6;14;21;3;2;4;3;91;70;0;0;0;0;0;0;0;0
2020-11-22 12:15:00;82;53;8;28;63;56;7;20;22;3;3;2;3;105;78;0;0;0;0;0;0;0;0
2020-11-22 12:30:00;63;53;6;24;66;52;3;17;22;2;0;4;5;81;78;0;0;0;0;0;0;0;0
2020-11-22 12:45:00;63;79;6;22;72;50;5;25;23;5;3;1;0;87;92;0;0;4;0;0;0;0;0
2020-11-22 13:00:00;74;72;4;24;72;66;6;27;19;2;1;5;6;107;94;0;0;0;0;0;0;0;0
2020-11-22 13:15:00;73;55;4;23;63;60;8;23;17;1;1;1;0;95;87;0;0;0;0;0;0;0;1
2020-11-22 13:30:00;86;59;8;18;66;52;8;31;24;2;1;4;4;108;81;0;0;0;0;2;0;0;0
2020-11-22 13:45:00;71;73;6;20;72;69;4;34;18;7;5;0;0;101;102;0;0;0;0;0;1;0;0
2020-11-22 14:00:00;71;77;8;22;67;54;6;26;29;3;2;6;7;102;78;2;2;0;0;0;0;0;0
2020-11-22 14:15:00;79;72;13;22;75;67;7;23;22;2;5;3;2;113;99;1;0;0;0;0;0;0;0
2020-11-22 14:30:00;78;65;12;24;82;86;6;26;21;1;1;3;2;98;108;0;0;0;0;0;3;0;0
2020-11-22 14:45:00;88;88;8;25;92;94;3;26;35;7;3;2;1;111;122;1;0;0;0;0;0;0;0
2020-11-22 15:00:00;98;68;6;25;80;65;9;21;28;4;4;5;5;124;109;0;4;0;0;0;0;0;0
2020-11-22 15:15:00;70;59;6;21;68;59;11;23;27;4;1;2;0;93;81;1;0;0;0;0;0;0;0
2020-11-22 15:30:00;75;42;5;24;82;77;7;18;28;1;1;6;4;90;99;0;0;0;0;0;0;0;0
2020-11-22 15:45:00;71;73;5;21;75;73;6;17;24;3;2;3;1;97;110;0;0;0;0;0;0;0;0
2020-11-22 16:00:00;76;64;7;28;79;73;4;16;31;0;1;6;5;95;102;0;5;0;0;0;0;0;5
2020-11-22 16:15:00;66;69;8;13;75;64;11;12;18;1;1;2;1;88;100;0;0;0;0;0;0;0;0
2020-11-22 16:30:00;82;57;9;19;87;68;7;18;23;5;5;2;3;105;118;0;0;0;0;0;0;1;0
2020-11-22 16:45:00;95;46;6;20;89;76;12;25;29;6;5;4;4;115;116;1;0;0;0;0;0;0;0
2020-11-22 17:00:00;72;63;8;24;62;63;5;9;26;1;1;4;4;103;89;0;0;0;0;0;0;0;0
2020-11-22 17:15:00;77;68;11;12;81;75;8;26;27;4;4;6;5;100;114;5;0;0;0;0;0;2;0
2020-11-22 17:30:00;93;53;5;23;80;62;9;15;23;2;1;3;2;113;101;0;0;0;0;0;0;0;0
2020-11-22 17:45:00;71;72;10;17;75;74;3;23;20;4;4;5;6;98;103;0;5;0;0;0;0;0;0
2020-11-22 18:00:00;77;69;2;15;57;47;8;21;15;0;1;2;2;105;74;0;0;0;0;0;0;0;0
2020-11-22 18:15:00;68;50;7;17;65;43;2;24;15;2;4;2;2;86;85;0;0;0;0;0;0;0;0
2020-11-22 18:30:00;60;49;3;17;67;65;4;15;16;1;0;1;1;76;88;0;0;0;0;0;0;0;0
2020-11-22 18:45:00;71;65;11;7;57;57;2;17;14;4;4;1;0;99;87;0;0;0;0;0;0;0;0
2020-11-22 19:00:00;66;56;6;17;39;31;4;7;14;0;0;2;2;87;49;0;0;0;0;0;0;0;0
2020-11-22 19:15:00;54;52;6;19;50;40;5;19;17;3;4;1;1;73;68;0;0;0;0;1;0;0;0
2020-11-22 19:30:00;54;41;4;12;48;29;4;5;9;1;2;3;4;74;61;0;0;0;0;0;0;0;0
2020-11-22 19:45:00;42;46;8;6;50;31;2;14;14;4;5;0;0;62;61;0;0;0;0;0;0;0;0
2020-11-22 20:00:00;43;33;7;4;42;35;5;12;13;2;3;2;2;61;54;0;0;0;0;0;0;0;0
2020-11-22 20:15:00;42;23;1;11;37;29;1;5;6;2;1;1;1;53;52;0;0;0;0;0;0;0;0
2020-11-22 20:30:00;36;35;4;2;39;25;1;5;13;1;1;1;1;48;54;0;0;0;0;0;0;0;0
2020-11-22 20:45:00;53;38;4;9;33;25;2;6;15;4;4;3;1;63;45;0;0;0;0;0;0;0;0
2020-11-22 21:00:00;41;27;2;1;28;30;3;2;8;0;1;2;3;52;45;0;0;0;0;0;0;0;3
2020-11-22 21:15:00;30;26;4;4;30;21;4;11;13;3;3;2;2;41;38;0;0;0;0;0;0;0;0
2020-11-22 21:30:00;27;19;2;6;22;14;0;11;10;0;1;1;3;38;32;0;0;0;0;0;0;0;0
2020-11-22 21:45:00;16;16;2;8;29;20;2;3;5;2;2;1;1;27;38;0;0;0;0;0;0;0;0
2020-11-22 22:00:00;29;26;4;1;15;13;0;4;5;2;2;2;2;44;22;0;0;0;0;0;0;0;0
2020-11-22 22:15:00;16;10;3;4;21;15;0;1;1;1;1;1;2;20;25;0;0;0;0;0;0;0;0
2020-11-22 22:30:00;13;18;1;2;12;10;1;0;1;2;2;1;1;20;18;0;0;0;0;0;0;0;0
2020-11-22 22:45:00;16;10;2;1;17;15;1;0;2;2;2;2;2;22;23;0;0;0;0;0;0;0;0
2020-11-22 23:00:00;14;10;2;3;7;7;0;4;7;1;1;1;1;16;7;0;0;0;0;0;0;0;0
2020-11-22 23:15:00;16;11;1;2;9;9;0;2;3;1;1;2;1;20;15;0;0;0;0;0;0;0;0
2020-11-22 23:30:00;10;11;0;4;13;13;0;0;0;2;1;2;3;12;18;0;0;0;0;0;0;0;0
2020-11-22 23:45:00;16;10;1;4;12;5;1;1;2;1;1;0;0;18;12;0;0;0;0;0;0;0;0
