DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2019-11-11 00:00:00;9;3;0;5;4;0;0;0;0;0
2019-11-11 00:15:00;3;8;1;6;2;0;0;0;0;0
2019-11-11 00:30:00;7;6;3;3;2;0;0;0;0;0
2019-11-11 00:45:00;6;1;1;5;4;0;0;0;0;0
2019-11-11 01:00:00;4;3;0;6;2;0;0;0;0;0
2019-11-11 01:15:00;5;2;0;6;4;0;0;0;0;0
2019-11-11 01:30:00;10;5;0;7;2;0;0;0;0;0
2019-11-11 01:45:00;7;4;0;6;3;0;0;0;0;0
2019-11-11 02:00:00;6;4;1;5;2;0;0;0;0;0
2019-11-11 02:15:00;9;2;3;4;2;0;0;0;0;0
2019-11-11 02:30:00;3;3;0;1;2;0;0;0;0;0
2019-11-11 02:45:00;7;2;0;5;3;0;0;0;0;0
2019-11-11 03:00:00;3;1;1;8;3;0;0;0;0;0
2019-11-11 03:15:00;7;5;0;7;1;0;0;0;0;0
2019-11-11 03:30:00;7;6;4;10;5;0;0;0;0;0
2019-11-11 03:45:00;1;0;0;4;2;0;0;0;0;0
2019-11-11 04:00:00;8;2;0;4;4;0;0;0;0;0
2019-11-11 04:15:00;4;4;0;10;2;0;0;0;0;0
2019-11-11 04:30:00;10;1;0;11;7;0;0;0;0;0
2019-11-11 04:45:00;17;7;0;22;4;0;0;0;0;0
2019-11-11 05:00:00;16;11;2;28;16;1;0;0;0;0
2019-11-11 05:15:00;39;20;1;42;19;0;0;0;0;0
2019-11-11 05:30:00;35;20;1;57;29;1;0;0;0;0
2019-11-11 05:45:00;65;45;1;70;32;1;0;0;0;0
2019-11-11 06:00:00;59;26;6;80;38;1;0;0;0;0
2019-11-11 06:15:00;83;51;0;87;45;5;0;0;0;0
2019-11-11 06:30:00;109;58;3;91;43;6;0;0;0;0
2019-11-11 06:45:00;147;101;1;143;66;0;2;0;0;0
2019-11-11 07:00:00;104;59;0;123;79;5;0;0;0;0
2019-11-11 07:15:00;128;78;1;135;89;6;0;0;0;0
2019-11-11 07:30:00;121;66;1;141;87;6;1;0;0;0
2019-11-11 07:45:00;126;88;1;123;68;7;3;0;0;0
2019-11-11 08:00:00;122;113;0;114;63;9;5;0;0;0
2019-11-11 08:15:00;115;80;2;125;102;7;0;0;0;0
2019-11-11 08:30:00;100;76;1;112;71;7;2;0;0;0
2019-11-11 08:45:00;106;94;2;142;84;257;0;0;0;0
2019-11-11 09:00:00;107;82;1;115;65;7;0;0;0;0
2019-11-11 09:15:00;102;55;6;114;64;9;1;0;0;0
2019-11-11 09:30:00;101;72;2;103;61;7;23;0;0;0
2019-11-11 09:45:00;86;68;2;103;49;8;0;0;0;0
2019-11-11 10:00:00;101;71;4;107;64;12;0;0;0;0
2019-11-11 10:15:00;102;71;3;121;68;7;0;0;0;0
2019-11-11 10:30:00;83;65;9;105;64;8;1;0;0;0
2019-11-11 10:45:00;98;74;3;96;55;7;0;0;0;0
2019-11-11 11:00:00;118;61;2;102;63;10;2;0;0;0
2019-11-11 11:15:00;98;85;5;93;67;10;3;0;0;0
2019-11-11 11:30:00;104;76;5;111;69;7;0;0;0;0
2019-11-11 11:45:00;108;83;5;124;41;10;5;0;0;0
2019-11-11 12:00:00;122;75;7;143;72;10;9;0;0;0
2019-11-11 12:15:00;127;81;14;92;52;11;20;0;0;0
2019-11-11 12:30:00;90;62;12;107;64;8;1;0;0;0
2019-11-11 12:45:00;107;60;7;97;46;259;0;0;0;0
2019-11-11 13:00:00;151;57;257;104;64;8;0;0;0;0
2019-11-11 13:15:00;100;67;1;122;79;264;0;0;0;0
2019-11-11 13:30:00;126;82;5;100;53;7;3;0;0;0
2019-11-11 13:45:00;105;62;5;86;58;264;2;0;0;0
2019-11-11 14:00:00;104;61;15;108;65;6;0;0;0;0
2019-11-11 14:15:00;112;70;7;96;77;12;0;0;0;0
2019-11-11 14:30:00;110;64;8;125;67;6;2;0;0;0
2019-11-11 14:45:00;114;86;1;106;72;10;1;0;0;0
2019-11-11 15:00:00;121;89;11;131;59;9;1;0;0;0
2019-11-11 15:15:00;113;69;257;122;79;8;0;0;0;0
