DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-01-30 00:00:00;1;9;3;7;4;1;0;0;0;0;0;0;0
2020-01-30 00:15:00;1;11;2;8;4;0;0;1;0;0;0;0;0
2020-01-30 00:30:00;0;10;2;12;5;0;0;0;0;0;0;0;0
2020-01-30 00:45:00;0;9;1;5;2;0;0;0;0;0;0;0;0
2020-01-30 01:00:00;0;9;0;5;1;0;0;0;0;0;0;0;0
2020-01-30 01:15:00;0;7;2;6;7;0;0;0;0;0;0;0;0
2020-01-30 01:30:00;0;8;1;2;0;0;0;0;0;0;0;0;0
2020-01-30 01:45:00;0;7;1;2;3;0;0;0;0;0;0;0;0
2020-01-30 02:00:00;0;10;2;6;2;0;0;0;0;0;0;0;0
2020-01-30 02:15:00;0;2;1;4;2;2;0;0;0;0;0;0;0
2020-01-30 02:30:00;1;9;1;6;2;0;0;1;0;0;0;0;0
2020-01-30 02:45:00;1;8;1;4;0;0;1;1;0;0;0;0;0
2020-01-30 03:00:00;0;3;0;11;3;0;0;0;0;0;0;0;0
2020-01-30 03:15:00;0;7;0;8;2;1;2;2;0;0;0;0;0
2020-01-30 03:30:00;1;4;3;8;5;0;0;0;0;0;0;0;0
2020-01-30 03:45:00;1;11;0;11;1;0;1;2;0;0;0;0;0
2020-01-30 04:00:00;1;10;0;7;7;2;1;1;0;0;0;0;0
2020-01-30 04:15:00;3;11;3;10;5;1;0;0;0;0;0;0;0
2020-01-30 04:30:00;1;19;3;27;9;1;1;1;0;0;0;0;0
2020-01-30 04:45:00;0;23;9;41;21;0;0;1;0;0;0;0;0
2020-01-30 05:00:00;1;35;20;101;69;2;0;5;0;0;0;0;0
2020-01-30 05:15:00;1;43;31;144;133;1;0;2;0;0;0;0;0
2020-01-30 05:30:00;3;62;47;103;102;0;1;4;0;0;0;0;0
2020-01-30 05:45:00;17;111;82;112;132;5;1;1;0;0;0;0;0
2020-01-30 06:00:00;19;117;122;116;145;4;11;13;0;0;0;0;0
2020-01-30 06:15:00;22;101;94;144;162;8;14;22;0;0;0;0;0
2020-01-30 06:30:00;6;80;67;135;161;12;18;12;1;0;13;0;0
2020-01-30 06:45:00;16;84;82;126;165;11;9;12;0;0;5;0;0
2020-01-30 07:00:00;18;62;59;154;177;21;9;13;0;0;0;0;0
2020-01-30 07:15:00;22;67;66;128;171;34;19;16;15;0;0;0;0
2020-01-30 07:30:00;39;86;64;125;137;44;12;15;1;0;3;2;0
2020-01-30 07:45:00;36;73;91;121;136;50;9;17;9;0;1;0;0
2020-01-30 08:00:00;38;65;63;120;112;32;12;14;1;0;0;0;0
2020-01-30 08:15:00;36;67;75;107;119;28;15;15;9;0;0;0;0
2020-01-30 08:30:00;41;62;82;127;124;19;25;25;0;1;3;0;0
2020-01-30 08:45:00;23;61;64;101;96;29;18;28;1;0;2;0;0
2020-01-30 09:00:00;33;72;58;83;90;23;16;20;1;0;2;0;0
2020-01-30 09:15:00;36;79;57;109;87;24;17;19;4;0;0;0;0
2020-01-30 09:30:00;28;67;40;78;81;25;14;32;14;0;0;0;0
2020-01-30 09:45:00;40;67;61;82;59;25;16;32;0;0;8;0;0
2020-01-30 10:00:00;37;74;81;82;73;19;21;37;7;4;2;0;0
2020-01-30 10:15:00;30;74;66;75;55;27;24;35;5;0;9;0;0
2020-01-30 10:30:00;43;62;71;77;55;28;28;35;0;0;20;0;0
2020-01-30 10:45:00;26;82;64;73;67;23;25;41;9;0;17;17;0
2020-01-30 11:00:00;29;70;68;69;57;16;29;42;4;3;4;0;0
2020-01-30 11:15:00;30;87;76;86;69;17;25;36;0;0;2;0;0
2020-01-30 11:30:00;30;64;60;60;52;15;27;33;18;0;8;0;0
2020-01-30 11:45:00;35;83;84;65;61;14;22;33;12;7;26;0;0
2020-01-30 12:00:00;37;96;86;68;51;15;23;40;0;0;10;4;2
2020-01-30 12:15:00;25;86;72;80;65;22;18;40;14;0;3;0;0
2020-01-30 12:30:00;40;92;90;72;60;17;30;30;10;0;1;0;0
2020-01-30 12:45:00;28;88;80;78;75;20;24;36;9;0;8;3;0
2020-01-30 13:00:00;31;95;94;102;96;14;25;28;12;1;8;0;0
2020-01-30 13:15:00;26;91;90;105;119;12;18;32;9;11;12;0;0
2020-01-30 13:30:00;29;97;90;107;96;19;24;26;5;0;2;0;0
2020-01-30 13:45:00;28;98;107;107;98;17;27;27;4;3;0;0;0
2020-01-30 14:00:00;44;124;121;88;88;17;33;41;18;0;10;0;0
2020-01-30 14:15:00;36;164;178;81;70;19;35;36;6;2;0;0;0
2020-01-30 14:30:00;32;164;175;100;85;24;29;20;9;2;0;0;0
2020-01-30 14:45:00;42;164;177;72;79;16;31;35;1;0;8;0;0
2020-01-30 15:00:00;36;144;155;84;67;20;35;38;12;0;3;0;0
2020-01-30 15:15:00;44;171;173;100;70;15;36;34;4;0;7;0;0
2020-01-30 15:30:00;38;148;163;79;66;24;31;30;7;1;12;0;0
2020-01-30 15:45:00;32;171;202;84;69;24;41;50;10;0;7;0;0
2020-01-30 16:00:00;44;155;185;92;91;21;37;45;6;0;5;0;0
2020-01-30 16:15:00;41;174;165;92;72;23;50;52;4;0;3;0;0
2020-01-30 16:30:00;42;168;190;94;83;19;55;50;16;0;1;0;0
2020-01-30 16:45:00;46;168;176;102;107;17;32;46;4;0;10;0;0
2020-01-30 17:00:00;42;163;188;91;92;23;50;56;3;0;5;0;0
2020-01-30 17:15:00;41;163;178;107;83;38;46;44;9;1;1;0;0
2020-01-30 17:30:00;35;144;161;96;75;31;45;49;10;0;9;4;0
2020-01-30 17:45:00;60;148;182;96;86;44;42;36;13;2;3;0;0
