DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2019-10-18 00:00:00;20;5;1;0;0;0;15;15;0;0;0;1;0;0;0
2019-10-18 00:15:00;20;13;2;1;0;0;17;17;0;0;0;0;0;0;0
2019-10-18 00:30:00;29;14;0;1;0;0;24;20;0;0;0;1;0;0;0
2019-10-18 00:45:00;11;15;3;0;0;0;17;13;0;0;0;0;0;0;0
2019-10-18 01:00:00;10;7;0;0;1;0;13;10;0;0;0;1;0;0;0
2019-10-18 01:15:00;11;6;0;0;2;0;23;19;0;0;0;2;0;0;0
2019-10-18 01:30:00;8;9;0;0;0;0;11;10;0;0;0;0;0;0;0
2019-10-18 01:45:00;5;1;0;0;0;0;22;19;0;0;0;0;0;0;0
2019-10-18 02:00:00;13;7;0;0;0;0;19;16;0;0;0;0;0;0;0
2019-10-18 02:15:00;5;3;0;0;0;0;5;4;0;0;0;0;0;0;0
2019-10-18 02:30:00;4;2;1;0;0;0;11;11;0;0;0;0;0;0;0
2019-10-18 02:45:00;7;7;0;0;0;0;7;7;0;0;0;0;0;0;0
2019-10-18 03:00:00;9;6;0;0;0;0;15;13;0;0;0;0;0;0;0
2019-10-18 03:15:00;7;2;0;0;0;0;12;13;0;0;0;0;0;0;0
2019-10-18 03:30:00;19;6;0;0;0;0;14;10;0;0;0;0;0;0;0
2019-10-18 03:45:00;8;12;0;0;0;0;12;10;0;0;0;0;0;0;0
2019-10-18 04:00:00;23;7;3;0;0;0;34;30;0;0;0;0;0;0;0
2019-10-18 04:15:00;10;8;1;0;1;0;53;55;0;0;0;1;0;0;0
2019-10-18 04:30:00;13;13;0;0;0;0;46;45;0;0;0;0;0;0;0
2019-10-18 04:45:00;44;28;0;0;0;0;32;32;0;0;0;0;0;0;0
2019-10-18 05:00:00;76;46;0;0;0;0;56;57;0;0;0;0;0;0;0
2019-10-18 05:15:00;131;87;2;1;0;0;52;54;0;0;0;0;0;0;0
2019-10-18 05:30:00;120;73;1;4;1;0;74;94;0;0;0;1;0;0;0
2019-10-18 05:45:00;114;62;0;2;2;0;66;94;0;0;0;2;0;0;0
