DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-12-03 00:00:00;3;2;9;0;0;0;0;0;0
2020-12-03 00:15:00;8;8;20;0;0;0;0;0;0
2020-12-03 00:30:00;9;7;13;1;1;0;0;0;0
2020-12-03 00:45:00;4;4;8;0;0;0;0;0;0
2020-12-03 01:00:00;4;3;8;2;2;0;0;0;0
2020-12-03 01:15:00;3;1;8;0;0;0;0;0;0
2020-12-03 01:30:00;8;1;8;0;0;0;0;0;0
2020-12-03 01:45:00;7;1;3;0;0;0;0;0;0
2020-12-03 02:00:00;6;2;5;0;0;0;0;0;0
2020-12-03 02:15:00;6;8;8;0;0;0;0;0;0
2020-12-03 02:30:00;3;1;2;0;0;0;0;0;0
2020-12-03 02:45:00;8;3;13;1;1;0;0;0;0
2020-12-03 03:00:00;9;6;8;1;1;0;0;0;0
2020-12-03 03:15:00;1;2;7;0;0;0;0;0;0
2020-12-03 03:30:00;5;3;3;0;0;0;0;0;0
2020-12-03 03:45:00;6;1;8;0;0;0;0;0;0
2020-12-03 04:00:00;6;4;14;0;0;0;0;0;0
2020-12-03 04:15:00;12;12;20;0;0;0;0;0;0
2020-12-03 04:30:00;16;3;18;0;1;0;0;0;0
2020-12-03 04:45:00;28;5;38;0;0;0;0;0;0
2020-12-03 05:00:00;45;13;95;0;0;0;0;0;0
2020-12-03 05:15:00;57;22;128;0;0;0;0;0;0
2020-12-03 05:30:00;57;19;109;2;4;0;0;0;0
2020-12-03 05:45:00;65;26;111;0;0;0;0;0;0
2020-12-03 06:00:00;85;35;116;1;1;0;0;0;0
2020-12-03 06:15:00;118;45;125;1;1;0;0;0;0
2020-12-03 06:30:00;89;38;191;1;1;0;0;0;0
2020-12-03 06:45:00;88;39;176;1;1;0;0;0;0
2020-12-03 07:00:00;92;45;197;1;1;0;0;0;0
2020-12-03 07:15:00;116;55;249;6;6;0;0;0;0
2020-12-03 07:30:00;111;66;243;1;2;0;0;0;0
2020-12-03 07:45:00;129;96;216;0;0;0;0;0;0
2020-12-03 08:00:00;95;74;178;2;1;2;0;0;0
2020-12-03 08:15:00;97;70;188;1;2;1;0;0;0
2020-12-03 08:30:00;103;61;206;3;3;1;0;0;0
2020-12-03 08:45:00;115;71;192;1;1;2;0;0;0
2020-12-03 09:00:00;95;72;187;1;1;0;0;0;0
2020-12-03 09:15:00;112;46;172;1;1;0;0;0;0
2020-12-03 09:30:00;115;70;186;1;1;0;0;0;0
2020-12-03 09:45:00;136;76;216;1;1;0;0;0;0
2020-12-03 10:00:00;116;73;184;3;3;0;0;0;0
2020-12-03 10:15:00;122;83;223;1;1;0;0;0;0
2020-12-03 10:30:00;139;78;197;2;2;0;0;0;0
2020-12-03 10:45:00;114;72;217;1;1;1;0;0;0
2020-12-03 11:00:00;108;81;197;1;1;0;0;0;0
2020-12-03 11:15:00;159;79;192;3;3;0;0;0;0
2020-12-03 11:30:00;144;74;183;2;2;0;0;0;0
2020-12-03 11:45:00;153;82;195;1;1;0;0;0;0
2020-12-03 12:00:00;167;90;200;1;1;1;0;0;0
2020-12-03 12:15:00;148;81;177;3;3;2;0;0;0
2020-12-03 12:30:00;140;73;174;0;1;2;0;0;0
2020-12-03 12:45:00;151;81;216;2;2;0;0;0;0
2020-12-03 13:00:00;159;73;208;3;3;0;0;0;0
2020-12-03 13:15:00;155;71;210;3;2;2;0;0;0
2020-12-03 13:30:00;153;89;224;4;4;2;0;0;0
2020-12-03 13:45:00;138;87;215;1;1;0;0;0;0
2020-12-03 14:00:00;165;70;195;1;1;1;0;0;0
2020-12-03 14:15:00;163;74;219;2;1;1;0;0;0
2020-12-03 14:30:00;156;82;244;1;1;2;0;0;0
2020-12-03 14:45:00;164;80;230;1;2;0;0;0;0
2020-12-03 15:00:00;163;62;223;0;0;1;0;0;0
2020-12-03 15:15:00;187;82;218;5;6;2;0;0;0
2020-12-03 15:30:00;197;100;208;1;1;2;0;0;0
2020-12-03 15:45:00;193;96;216;4;5;2;0;0;0
2020-12-03 16:00:00;171;80;195;1;1;1;0;0;0
2020-12-03 16:15:00;196;97;227;1;1;1;0;0;0
2020-12-03 16:30:00;179;73;236;4;3;1;0;0;0
2020-12-03 16:45:00;194;97;227;2;2;1;0;0;0
2020-12-03 17:00:00;184;73;254;1;1;1;0;0;0
2020-12-03 17:15:00;173;88;204;5;4;0;0;0;0
2020-12-03 17:30:00;147;62;198;2;2;0;0;0;0
2020-12-03 17:45:00;168;70;199;2;2;0;0;0;0
2020-12-03 18:00:00;168;96;157;3;3;0;0;0;0
2020-12-03 18:15:00;155;64;177;2;2;3;0;0;0
2020-12-03 18:30:00;143;69;155;0;0;1;0;0;0
2020-12-03 18:45:00;109;49;132;2;4;3;0;0;0
2020-12-03 19:00:00;110;51;118;0;1;1;0;0;0
2020-12-03 19:15:00;87;44;101;0;0;0;0;0;0
2020-12-03 19:30:00;78;42;93;2;2;0;0;0;0
2020-12-03 19:45:00;67;34;90;1;1;0;0;0;0
2020-12-03 20:00:00;76;32;71;1;1;1;0;0;0
2020-12-03 20:15:00;56;21;91;1;1;0;0;0;0
2020-12-03 20:30:00;69;38;78;1;1;0;0;0;0
2020-12-03 20:45:00;42;21;74;2;2;0;0;0;0
2020-12-03 21:00:00;40;19;99;1;1;0;0;0;0
2020-12-03 21:15:00;44;19;63;0;0;0;0;0;0
2020-12-03 21:30:00;36;15;51;2;2;0;0;0;0
2020-12-03 21:45:00;57;7;32;0;0;0;0;0;0
2020-12-03 22:00:00;77;19;45;2;2;0;0;0;0
2020-12-03 22:15:00;59;13;37;0;0;0;0;0;0
2020-12-03 22:30:00;30;14;39;1;1;0;0;0;0
2020-12-03 22:45:00;30;13;27;0;0;0;0;0;0
2020-12-03 23:00:00;19;8;28;1;1;0;0;0;0
2020-12-03 23:15:00;14;3;26;3;3;0;0;0;0
2020-12-03 23:30:00;22;3;23;0;0;0;0;0;0
2020-12-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
