DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-12-28 00:00:00;0;0;0;0;0;0;2;1;0;0;0;0;0
2020-12-28 00:15:00;0;0;0;0;2;3;2;1;2;2;0;0;0
2020-12-28 00:30:00;0;0;0;0;1;2;2;1;1;1;0;0;0
2020-12-28 00:45:00;0;1;0;0;1;1;1;1;1;0;0;0;0
2020-12-28 01:00:00;0;0;0;0;1;2;0;0;0;0;0;0;0
2020-12-28 01:15:00;1;0;0;0;1;1;2;0;0;0;0;0;0
2020-12-28 01:30:00;0;0;0;0;0;1;1;2;0;0;0;0;0
2020-12-28 01:45:00;0;0;0;0;0;0;4;2;0;0;0;0;0
2020-12-28 02:00:00;0;0;0;0;1;2;0;0;0;0;0;0;0
2020-12-28 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-28 02:30:00;0;0;0;0;1;1;0;0;0;0;0;0;0
2020-12-28 02:45:00;0;0;0;0;1;1;0;0;1;0;0;0;0
2020-12-28 03:00:00;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-28 03:15:00;0;0;0;0;4;0;2;1;0;0;0;0;0
2020-12-28 03:30:00;0;0;0;0;2;2;1;1;1;0;0;0;0
2020-12-28 03:45:00;0;0;0;0;0;0;2;1;0;1;0;0;0
2020-12-28 04:00:00;0;0;0;0;0;2;2;1;0;0;1;0;0
2020-12-28 04:15:00;1;0;0;0;3;1;2;0;0;0;0;0;0
2020-12-28 04:30:00;0;0;0;0;3;2;2;2;1;0;0;1;0
2020-12-28 04:45:00;0;1;1;0;4;6;1;0;1;0;10;0;0
2020-12-28 05:00:00;3;2;1;0;8;9;2;3;5;2;29;0;0
2020-12-28 05:15:00;3;0;0;0;5;4;17;7;3;2;2;0;0
2020-12-28 05:30:00;3;2;0;0;6;6;24;13;12;6;3;1;0
2020-12-28 05:45:00;4;3;0;1;7;8;20;15;13;4;2;0;1
2020-12-28 06:00:00;4;2;0;1;10;11;8;13;14;4;0;0;1
2020-12-28 06:15:00;4;2;0;0;11;9;15;13;18;9;4;1;3
2020-12-28 06:30:00;5;7;3;2;18;17;24;29;13;9;4;3;1
2020-12-28 06:45:00;6;3;0;1;12;16;18;14;22;12;1;1;1
2020-12-28 07:00:00;7;4;1;1;15;16;19;14;20;6;1;1;3
2020-12-28 07:15:00;6;4;2;1;16;16;25;17;21;7;12;0;0
2020-12-28 07:30:00;5;5;1;1;18;23;22;11;26;8;1;1;0
2020-12-28 07:45:00;8;5;0;1;17;17;23;13;21;7;5;0;1
2020-12-28 08:00:00;8;2;0;2;21;23;24;15;22;11;0;0;1
2020-12-28 08:15:00;7;4;1;1;19;19;21;11;18;9;3;1;0
2020-12-28 08:30:00;9;7;2;2;20;23;29;19;22;11;2;1;2
2020-12-28 08:45:00;9;8;0;1;27;27;38;14;28;11;5;0;0
2020-12-28 09:00:00;11;8;1;2;29;22;25;4;20;10;3;3;1
2020-12-28 09:15:00;17;6;0;2;24;23;34;11;28;9;1;0;1
2020-12-28 09:30:00;12;12;0;0;21;32;25;15;20;10;3;0;0
2020-12-28 09:45:00;14;17;2;1;38;35;27;7;25;9;2;0;1
2020-12-28 10:00:00;14;9;0;1;35;37;32;14;24;9;11;0;1
2020-12-28 10:15:00;14;8;0;0;41;40;28;11;28;11;4;0;2
2020-12-28 10:30:00;14;9;1;3;31;29;39;14;39;10;5;0;1
2020-12-28 10:45:00;15;13;1;1;38;33;35;15;33;10;5;0;2
2020-12-28 11:00:00;17;11;0;1;47;51;34;16;30;5;2;1;0
2020-12-28 11:15:00;19;17;2;2;43;50;38;22;25;15;4;2;3
