DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-06-18 00:00:00;3;1;1;0;7;3;0
2020-06-18 00:15:00;3;3;2;2;5;4;0
2020-06-18 00:30:00;3;1;2;4;4;5;0
2020-06-18 00:45:00;4;6;3;1;4;4;0
2020-06-18 01:00:00;6;5;2;0;3;1;0
2020-06-18 01:15:00;1;0;0;0;7;4;0
2020-06-18 01:30:00;2;2;1;0;5;5;0
2020-06-18 01:45:00;3;6;7;0;4;2;0
2020-06-18 02:00:00;1;1;0;1;6;1;0
2020-06-18 02:15:00;6;5;3;0;7;4;0
2020-06-18 02:30:00;2;1;1;1;4;2;0
2020-06-18 02:45:00;5;7;8;3;6;5;0
2020-06-18 03:00:00;0;1;1;2;3;3;0
2020-06-18 03:15:00;2;3;3;3;8;5;0
2020-06-18 03:30:00;6;8;3;1;7;3;0
2020-06-18 03:45:00;6;5;5;3;10;6;0
2020-06-18 04:00:00;2;2;1;6;7;6;0
2020-06-18 04:15:00;7;12;7;2;4;3;0
2020-06-18 04:30:00;7;9;10;0;8;7;0
2020-06-18 05:00:00;19;11;8;7;19;12;0
2020-06-18 05:15:00;25;18;14;11;28;14;0
2020-06-18 05:30:00;40;22;14;9;46;14;0
2020-06-18 05:45:00;50;39;35;18;65;20;0
2020-06-18 06:00:00;50;23;15;9;63;37;0
2020-06-18 06:15:00;89;47;40;20;68;31;0
2020-06-18 06:30:00;63;50;44;17;76;39;1
2020-06-18 06:45:00;107;61;62;35;106;51;0
2020-06-18 07:00:00;99;56;48;31;80;27;2
2020-06-18 07:15:00;112;58;54;37;93;39;0
2020-06-18 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 07:45:00;109;71;65;47;76;37;3
2020-06-18 08:00:00;79;44;42;47;86;30;5
2020-06-18 08:15:00;72;56;52;54;75;38;0
2020-06-18 08:30:00;80;54;49;23;76;44;2
2020-06-18 08:45:00;66;54;52;23;68;39;0
2020-06-18 09:00:00;66;39;31;32;66;46;0
2020-06-18 09:15:00;87;46;42;33;71;47;0
2020-06-18 09:30:00;83;41;36;42;91;37;1
2020-06-18 09:45:00;67;44;38;35;59;38;0
2020-06-18 10:00:00;68;47;44;49;70;49;0
2020-06-18 10:15:00;84;42;41;43;77;44;1
2020-06-18 10:30:00;76;39;32;35;83;41;0
2020-06-18 10:45:00;92;40;34;35;81;38;2
2020-06-18 11:00:00;94;59;50;37;79;51;0
2020-06-18 11:15:00;73;39;36;47;99;62;2
2020-06-18 11:30:00;102;56;43;38;103;54;4
2020-06-18 11:45:00;87;45;43;47;86;49;1
2020-06-18 12:00:00;87;60;48;65;93;63;4
2020-06-18 12:15:00;95;54;47;45;84;50;5
2020-06-18 12:30:00;80;50;43;41;79;50;2
2020-06-18 12:45:00;74;41;31;39;100;51;4
2020-06-18 13:00:00;72;42;40;64;96;48;4
2020-06-18 13:15:00;82;53;43;50;102;56;1
2020-06-18 13:30:00;72;45;40;43;100;59;0
2020-06-18 13:45:00;72;52;48;46;90;59;1
2020-06-18 14:00:00;89;60;59;53;88;55;11
2020-06-18 14:15:00;83;62;57;45;104;64;1
2020-06-18 14:30:00;97;68;59;40;105;54;0
2020-06-18 14:45:00;79;48;48;41;103;48;0
2020-06-18 15:00:00;88;69;55;49;103;59;2
2020-06-18 15:15:00;92;65;46;36;101;47;2
2020-06-18 15:30:00;86;43;40;60;93;58;4
2020-06-18 15:45:00;94;76;72;47;117;65;3
2020-06-18 16:00:00;90;52;55;66;132;60;0
2020-06-18 16:15:00;98;62;56;56;113;57;7
2020-06-18 16:30:00;121;66;54;60;137;72;4
2020-06-18 16:45:00;101;46;43;37;127;73;2
2020-06-18 17:00:00;101;51;51;62;133;63;3
2020-06-18 17:15:00;85;51;48;50;97;47;2
2020-06-18 17:30:00;76;53;46;41;103;48;2
2020-06-18 17:45:00;78;49;46;26;101;44;1
2020-06-18 18:00:00;61;42;31;32;77;46;1
2020-06-18 18:15:00;54;37;34;25;72;33;1
2020-06-18 18:30:00;60;41;33;20;74;34;0
2020-06-18 18:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 19:00:00;46;32;30;12;61;22;0
2020-06-18 19:15:00;37;17;12;6;60;30;0
2020-06-18 19:30:00;36;24;22;11;51;23;0
2020-06-18 19:45:00;32;13;8;16;41;15;0
2020-06-18 20:00:00;28;15;11;8;38;9;0
2020-06-18 20:15:00;24;12;9;12;28;12;0
2020-06-18 20:30:00;23;18;11;8;34;10;0
2020-06-18 20:45:00;28;19;15;9;29;11;0
2020-06-18 21:00:00;25;16;11;9;26;13;0
2020-06-18 21:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 21:30:00;16;11;9;3;23;9;0
2020-06-18 21:45:00;22;12;6;10;30;14;0
2020-06-18 22:00:00;13;14;12;2;24;8;0
2020-06-18 22:15:00;20;12;8;8;30;9;0
2020-06-18 22:30:00;12;5;2;3;13;11;0
2020-06-18 22:45:00;22;14;8;4;17;2;0
2020-06-18 23:00:00;14;6;5;3;11;1;0
2020-06-18 23:15:00;8;7;7;5;8;7;0
2020-06-18 23:30:00;6;6;4;4;10;9;0
2020-06-18 23:45:00;5;9;7;1;8;4;0
