DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2019-11-20 00:00:00;12;5;5;15;5;12;14;6;8;0;0;0
2019-11-20 00:15:00;18;10;8;15;6;8;18;9;5;0;0;1
2019-11-20 00:30:00;11;2;2;8;15;14;11;12;12;1;0;2
2019-11-20 00:45:00;7;4;7;3;8;7;10;13;7;1;0;0
2019-11-20 01:00:00;9;6;5;2;5;7;10;7;5;0;1;0
2019-11-20 01:15:00;7;6;2;2;5;5;8;6;5;0;0;0
2019-11-20 01:30:00;14;7;2;1;1;3;14;3;4;0;0;0
2019-11-20 01:45:00;9;8;2;5;4;2;10;4;0;0;0;0
2019-11-20 02:00:00;14;10;2;7;1;6;16;3;5;0;0;1
2019-11-20 02:15:00;10;4;0;1;3;7;11;2;4;0;0;0
2019-11-20 02:30:00;11;4;0;0;1;3;12;2;2;0;0;0
2019-11-20 02:45:00;11;7;2;1;4;9;12;6;5;1;0;0
2019-11-20 03:00:00;8;4;0;1;6;4;9;6;1;0;0;0
2019-11-20 03:15:00;8;6;0;4;4;5;8;4;5;0;0;0
2019-11-20 03:30:00;7;2;1;1;3;5;7;5;6;1;0;0
2019-11-20 03:45:00;9;3;1;0;5;7;10;7;10;2;0;0
2019-11-20 04:00:00;17;4;0;0;5;5;18;6;6;1;0;0
2019-11-20 04:15:00;28;11;0;1;11;6;26;10;8;1;0;0
2019-11-20 04:30:00;30;11;1;0;17;8;28;15;9;1;0;2
2019-11-20 04:45:00;19;9;3;0;22;31;19;28;28;0;0;1
2019-11-20 05:00:00;49;18;3;2;34;38;43;38;36;2;0;3
2019-11-20 05:15:00;80;22;4;0;79;78;78;92;73;1;0;6
2019-11-20 05:30:00;91;20;5;10;83;87;94;88;86;1;0;4
2019-11-20 05:45:00;178;29;8;10;60;85;179;73;81;2;0;6
2019-11-20 06:00:00;175;21;8;11;64;76;165;75;67;2;0;4
2019-11-20 06:15:00;215;40;6;21;76;100;220;95;91;0;0;7
2019-11-20 06:30:00;232;27;17;20;88;133;242;113;108;2;0;18
2019-11-20 06:45:00;193;31;13;12;97;149;177;114;118;4;1;12
2019-11-20 07:00:00;201;31;15;25;103;179;216;140;119;2;0;14
2019-11-20 07:15:00;238;36;19;13;142;225;266;167;177;2;1;6
2019-11-20 07:30:00;221;44;19;21;144;228;255;130;187;2;0;13
2019-11-20 07:45:00;222;46;18;16;152;196;251;130;174;2;0;25
2019-11-20 08:00:00;164;39;21;20;157;184;192;113;158;4;1;16
2019-11-20 08:15:00;200;48;27;28;139;190;240;116;162;2;0;7
2019-11-20 08:30:00;195;42;23;26;133;160;222;113;179;4;1;5
2019-11-20 08:45:00;222;46;28;35;128;178;255;129;165;1;1;9
2019-11-20 09:00:00;164;31;29;32;79;156;176;94;145;3;1;5
2019-11-20 09:15:00;185;33;15;29;99;138;199;76;136;2;0;3
2019-11-20 09:30:00;182;29;26;26;104;167;193;107;156;1;3;10
2019-11-20 09:45:00;205;36;27;36;103;149;228;104;133;5;1;5
2019-11-20 10:00:00;204;52;26;37;71;146;226;86;153;1;0;3
2019-11-20 10:15:00;178;31;41;33;86;134;201;114;133;2;0;8
2019-11-20 10:30:00;194;38;30;41;81;136;222;99;135;1;2;5
2019-11-20 10:45:00;190;33;44;52;106;159;207;113;166;5;1;8
2019-11-20 11:00:00;214;36;30;47;107;145;229;111;149;1;2;3
2019-11-20 11:15:00;217;39;40;57;65;101;243;114;129;3;3;4
2019-11-20 11:30:00;222;39;35;54;53;84;246;100;130;2;2;8
2019-11-20 11:45:00;237;38;40;58;72;85;255;116;136;2;1;5
2019-11-20 12:00:00;231;33;40;60;67;105;249;112;150;1;5;5
2019-11-20 12:15:00;240;39;35;54;61;62;255;110;137;1;1;12
2019-11-20 12:30:00;248;32;42;54;63;84;275;111;130;3;4;3
2019-11-20 12:45:00;253;31;35;69;64;51;263;107;132;3;2;9
2019-11-20 13:00:00;234;24;32;61;58;60;211;105;143;2;3;9
2019-11-20 13:15:00;256;30;38;69;87;96;185;133;161;6;5;9
2019-11-20 13:30:00;241;38;29;64;82;76;169;126;164;2;5;4
2019-11-20 13:45:00;269;22;47;55;90;95;216;124;164;2;1;10
2019-11-20 14:00:00;272;30;39;65;70;70;235;106;163;4;5;9
2019-11-20 14:15:00;280;27;42;73;57;84;189;106;148;3;1;10
2019-11-20 14:30:00;258;14;47;87;69;111;181;112;137;3;2;11
2019-11-20 14:45:00;266;28;39;69;66;127;226;122;153;2;3;13
2019-11-20 15:00:00;269;26;23;71;60;91;222;98;135;1;2;8
2019-11-20 15:15:00;269;13;31;104;74;72;219;98;149;1;0;4
2019-11-20 15:30:00;265;17;36;95;101;132;196;120;166;1;3;9
2019-11-20 15:45:00;249;20;41;88;73;103;225;116;161;2;2;22
2019-11-20 16:00:00;275;20;40;81;99;156;209;135;160;3;2;12
2019-11-20 16:15:00;271;20;35;100;109;132;268;135;161;1;2;10
2019-11-20 16:30:00;256;21;43;88;77;101;210;129;152;3;2;9
2019-11-20 16:45:00;270;20;46;89;73;110;224;135;175;1;5;13
2019-11-20 17:00:00;276;14;30;81;55;88;206;116;146;1;3;14
2019-11-20 17:15:00;272;19;50;95;50;111;245;116;162;4;1;18
2019-11-20 17:30:00;266;19;21;81;45;89;266;109;164;2;3;10
2019-11-20 17:45:00;281;24;33;85;57;104;252;102;139;4;2;13
2019-11-20 18:00:00;238;22;29;100;75;96;182;107;129;3;2;12
2019-11-20 18:15:00;295;21;31;77;71;85;224;104;128;4;3;14
2019-11-20 18:30:00;275;28;23;54;65;102;234;96;131;1;1;9
2019-11-20 18:45:00;225;39;18;65;44;63;205;92;109;6;6;12
2019-11-20 19:00:00;210;46;32;51;34;85;214;99;123;1;5;6
2019-11-20 19:15:00;222;39;26;63;59;55;248;91;102;0;3;7
2019-11-20 19:30:00;196;36;21;62;22;58;214;64;86;0;5;3
2019-11-20 19:45:00;173;24;23;55;28;33;182;68;78;1;2;2
2019-11-20 20:00:00;169;28;17;44;31;50;149;67;61;0;4;7
2019-11-20 20:15:00;204;24;12;38;26;46;180;50;56;1;5;4
2019-11-20 20:30:00;162;23;19;42;18;38;160;58;66;1;3;4
2019-11-20 20:45:00;103;17;16;49;29;35;108;62;60;0;1;1
2019-11-20 21:00:00;100;17;12;43;28;81;99;72;82;1;5;5
2019-11-20 21:15:00;107;29;20;53;34;68;108;81;84;0;3;4
2019-11-20 21:30:00;98;24;18;60;33;38;102;66;67;1;0;3
2019-11-20 21:45:00;165;29;20;52;23;34;165;46;45;1;0;1
2019-11-20 22:00:00;217;29;47;47;31;31;204;67;49;1;4;5
2019-11-20 22:15:00;195;25;17;42;26;26;186;37;40;0;5;4
2019-11-20 22:30:00;113;16;19;41;20;29;98;38;39;0;5;6
2019-11-20 22:45:00;78;15;9;34;19;21;76;28;28;0;0;1
2019-11-20 23:00:00;38;16;4;21;9;13;37;19;21;1;0;2
2019-11-20 23:15:00;33;13;5;9;10;20;34;11;21;0;1;0
2019-11-20 23:30:00;36;13;5;11;16;19;37;19;22;0;0;0
2019-11-20 23:45:00;21;11;3;8;17;19;23;15;16;0;1;3
