DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-01-26 00:00:00;5;15;33;3;0;20;0;0;0;0;0;0
2020-01-26 00:15:00;6;13;33;3;6;22;0;0;0;0;0;0
2020-01-26 00:30:00;2;10;32;6;0;23;0;0;0;0;0;0
2020-01-26 00:45:00;3;7;25;3;1;17;0;0;0;0;0;0
2020-01-26 01:00:00;6;12;27;1;0;15;0;0;0;0;0;0
2020-01-26 01:15:00;5;16;25;2;3;14;0;0;0;0;0;0
2020-01-26 01:30:00;4;12;22;0;1;13;0;0;0;0;0;0
2020-01-26 01:45:00;5;10;22;1;1;15;0;0;0;0;0;0
2020-01-26 02:00:00;5;10;21;1;0;13;0;0;0;0;0;0
2020-01-26 02:15:00;1;12;19;3;3;11;0;0;0;0;0;0
2020-01-26 02:30:00;2;6;13;0;0;9;0;0;0;0;0;0
2020-01-26 02:45:00;0;9;15;0;1;7;0;0;0;0;0;0
2020-01-26 03:00:00;4;8;14;1;0;7;0;0;0;0;0;0
2020-01-26 03:15:00;4;8;20;0;3;13;1;0;0;0;0;0
2020-01-26 03:30:00;2;8;12;0;0;5;0;0;0;0;0;0
2020-01-26 03:45:00;1;7;11;0;2;4;0;0;0;0;0;0
2020-01-26 04:00:00;4;6;14;0;1;9;0;0;0;0;0;0
2020-01-26 04:15:00;3;12;22;0;3;12;0;0;0;0;0;0
2020-01-26 04:30:00;3;8;12;1;0;4;0;0;0;0;0;0
2020-01-26 04:45:00;1;4;12;1;1;7;0;0;0;0;0;0
2020-01-26 05:00:00;7;14;19;0;0;6;0;0;0;0;0;0
2020-01-26 05:15:00;0;13;27;0;3;14;0;0;0;0;0;0
2020-01-26 05:30:00;5;11;17;0;0;11;0;0;0;0;0;0
2020-01-26 05:45:00;3;5;7;0;1;4;0;0;0;0;0;0
2020-01-26 06:00:00;4;6;10;0;0;6;0;0;0;0;0;0
2020-01-26 06:15:00;1;5;11;0;3;8;0;0;0;0;0;0
2020-01-26 06:30:00;3;6;11;0;0;6;0;0;0;0;0;0
2020-01-26 06:45:00;1;4;9;0;1;7;0;0;0;0;0;0
2020-01-26 07:00:00;9;9;10;0;0;5;0;0;0;0;0;0
2020-01-26 07:15:00;2;5;9;0;2;6;0;0;0;0;0;0
2020-01-26 07:30:00;3;10;15;0;1;7;0;0;0;0;0;0
2020-01-26 07:45:00;8;8;14;1;1;13;0;0;0;0;0;0
2020-01-26 08:00:00;5;12;17;5;3;6;0;0;0;0;0;0
2020-01-26 08:15:00;4;14;18;10;0;9;0;0;0;0;0;0
2020-01-26 08:30:00;10;17;20;8;3;14;0;0;0;0;0;0
2020-01-26 08:45:00;13;17;20;6;1;10;0;0;0;0;0;0
2020-01-26 09:00:00;7;16;24;1;3;13;0;0;0;0;0;0
2020-01-26 09:15:00;16;21;34;2;0;17;0;0;0;0;0;0
2020-01-26 09:30:00;14;22;28;8;5;14;0;0;0;0;0;0
2020-01-26 09:45:00;25;36;56;11;0;28;0;0;0;0;0;0
2020-01-26 10:00:00;10;16;27;5;6;12;0;0;0;0;0;0
2020-01-26 10:15:00;16;27;36;4;0;22;0;0;0;0;0;0
2020-01-26 10:30:00;11;14;36;10;3;26;1;0;0;0;0;0
2020-01-26 10:45:00;13;29;51;15;0;37;0;0;0;0;0;0
2020-01-26 11:00:00;18;24;65;19;5;42;0;1;1;0;0;0
2020-01-26 11:15:00;21;30;41;10;0;22;0;0;1;0;0;0
2020-01-26 11:30:00;23;24;47;6;5;36;0;0;1;0;0;0
2020-01-26 11:45:00;17;30;41;8;0;30;1;0;0;0;0;0
2020-01-26 12:00:00;19;25;50;14;5;30;1;0;0;0;0;0
2020-01-26 12:15:00;18;23;40;11;1;25;1;0;0;0;0;0
2020-01-26 12:30:00;15;18;49;26;6;30;0;0;0;0;0;0
2020-01-26 12:45:00;18;30;49;16;0;28;0;0;1;0;0;0
2020-01-26 13:00:00;15;20;41;11;5;29;0;0;1;0;0;0
2020-01-26 13:15:00;23;33;59;17;0;36;0;0;5;0;0;0
2020-01-26 13:30:00;18;28;48;18;5;36;0;0;0;0;0;0
2020-01-26 13:45:00;17;30;56;13;0;37;0;0;2;0;0;0
2020-01-26 14:00:00;16;31;57;15;4;40;2;0;2;0;0;0
2020-01-26 14:15:00;16;34;66;16;0;43;0;0;0;0;0;0
2020-01-26 14:30:00;24;40;76;21;5;46;0;1;0;0;0;0
2020-01-26 14:45:00;21;27;64;21;0;43;0;0;0;0;0;0
2020-01-26 15:00:00;17;32;53;20;5;40;0;0;0;0;0;0
2020-01-26 15:15:00;22;30;61;21;0;35;0;0;0;0;0;0
2020-01-26 15:30:00;24;34;54;17;5;32;0;0;8;0;0;0
2020-01-26 15:45:00;21;22;57;23;2;36;0;0;0;0;0;0
2020-01-26 16:00:00;16;35;67;19;4;40;0;0;0;0;0;0
2020-01-26 16:15:00;18;20;46;15;1;30;0;0;0;0;0;0
2020-01-26 16:30:00;13;19;63;25;4;31;0;0;12;0;0;0
2020-01-26 16:45:00;16;30;63;25;1;39;0;0;1;0;0;0
2020-01-26 17:00:00;18;26;50;18;4;36;0;0;0;6;0;0
2020-01-26 17:15:00;29;37;60;17;1;37;0;0;7;0;0;0
2020-01-26 17:30:00;20;34;75;19;5;46;7;0;0;0;0;0
2020-01-26 17:45:00;23;34;55;18;0;38;0;0;0;0;0;0
2020-01-26 18:00:00;15;26;64;9;4;46;0;0;0;3;0;0
2020-01-26 18:15:00;38;40;64;14;0;43;0;0;1;0;0;0
2020-01-26 18:30:00;33;38;48;10;4;22;0;0;0;1;0;0
2020-01-26 18:45:00;18;29;50;13;0;32;0;0;0;0;0;0
2020-01-26 19:00:00;12;18;35;12;5;24;0;0;0;0;0;0
2020-01-26 19:15:00;10;38;55;24;1;30;0;0;0;0;0;0
2020-01-26 19:30:00;7;31;51;18;5;34;0;0;0;0;0;0
2020-01-26 19:45:00;15;36;52;21;2;25;0;0;0;0;0;0
2020-01-26 20:00:00;13;22;35;1;5;21;0;0;0;0;0;0
2020-01-26 20:15:00;11;18;45;5;0;34;1;0;0;0;0;0
2020-01-26 20:30:00;8;17;35;7;2;26;0;0;0;0;0;0
2020-01-26 20:45:00;9;17;25;3;0;15;0;0;0;0;0;0
2020-01-26 21:00:00;4;11;20;2;4;12;0;0;0;0;0;0
2020-01-26 21:15:00;10;18;40;10;1;28;0;0;0;0;0;0
2020-01-26 21:30:00;0;3;13;2;1;8;0;0;0;0;0;0
2020-01-26 21:45:00;14;13;67;8;1;55;0;0;0;0;0;0
2020-01-26 22:00:00;5;11;35;4;5;25;0;0;0;0;0;0
2020-01-26 22:15:00;4;9;53;43;1;24;0;0;0;0;0;0
2020-01-26 22:30:00;1;6;18;6;1;7;1;0;0;0;0;0
2020-01-26 22:45:00;7;10;20;4;1;10;0;0;0;0;0;0
2020-01-26 23:00:00;3;4;19;6;4;14;0;0;0;0;0;0
2020-01-26 23:15:00;3;4;12;0;1;9;0;0;0;0;0;0
2020-01-26 23:30:00;3;9;15;0;1;8;0;0;0;0;0;0
2020-01-26 23:45:00;3;6;11;0;0;6;0;0;0;0;0;0
