DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-06-16 00:00:00;5;7;0;5;0;3;1;1;0;0;0
2020-06-16 00:15:00;11;7;0;6;0;1;0;0;0;0;0
2020-06-16 00:30:00;8;10;0;3;0;3;1;0;0;0;0
2020-06-16 00:45:00;5;6;0;4;2;3;0;0;0;0;0
2020-06-16 01:00:00;6;6;0;0;0;0;0;1;0;0;0
2020-06-16 01:15:00;3;3;0;0;0;0;0;0;0;0;0
2020-06-16 01:30:00;3;6;0;3;1;2;1;2;0;0;0
2020-06-16 01:45:00;2;1;0;0;0;0;0;0;0;0;0
2020-06-16 02:00:00;3;2;0;1;0;1;0;1;0;0;0
2020-06-16 02:15:00;6;4;0;1;0;1;0;0;0;0;0
2020-06-16 02:30:00;6;6;0;2;1;2;0;1;0;0;0
2020-06-16 03:00:00;4;5;0;2;1;2;0;0;0;0;0
2020-06-16 03:15:00;0;2;0;0;0;0;0;0;0;0;0
2020-06-16 03:30:00;4;5;0;1;0;1;0;0;0;0;0
2020-06-16 03:45:00;2;2;0;3;1;3;0;0;0;0;0
2020-06-16 04:00:00;9;8;0;0;0;0;1;1;0;0;0
2020-06-16 04:15:00;7;7;0;3;0;2;0;1;0;0;0
2020-06-16 04:30:00;8;8;0;2;1;2;0;1;0;0;0
2020-06-16 04:45:00;12;16;0;2;0;2;0;0;0;0;0
2020-06-16 05:00:00;38;44;0;3;2;2;1;4;0;0;0
2020-06-16 05:15:00;77;74;0;3;1;3;4;9;0;0;0
2020-06-16 05:30:00;69;67;0;11;4;7;3;7;0;0;0
2020-06-16 05:45:00;83;76;0;25;2;14;3;7;0;0;0
2020-06-16 06:00:00;67;73;0;36;11;25;0;10;3;0;0
2020-06-16 06:15:00;133;108;0;42;13;31;2;20;0;0;0
2020-06-16 06:30:00;167;110;0;38;15;30;2;18;1;0;0
2020-06-16 06:45:00;158;116;0;35;10;22;11;10;0;0;0
2020-06-16 07:00:00;175;136;0;40;18;31;6;34;1;0;0
2020-06-16 07:15:00;171;159;0;58;15;42;11;26;3;0;0
2020-06-16 07:30:00;67;168;0;100;29;63;12;38;1;0;0
2020-06-16 07:45:00;103;165;0;107;19;76;6;41;0;2;0
2020-06-16 08:00:00;159;180;0;74;9;45;6;33;0;0;0
2020-06-16 08:15:00;133;203;0;60;13;45;11;19;0;0;0
2020-06-16 08:30:00;102;178;0;69;12;43;6;26;2;0;0
2020-06-16 08:45:00;145;142;0;60;16;45;7;13;13;0;0
2020-06-16 09:00:00;132;117;0;59;13;39;7;14;3;0;1
2020-06-16 09:15:00;126;99;0;52;4;41;13;12;0;0;0
