DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2019-10-09 00:00:00;2;10;2;2;3;1;0;0;0;0
2019-10-09 00:15:00;8;6;2;2;1;2;0;0;0;0
2019-10-09 00:30:00;0;1;1;0;1;0;0;0;0;0
2019-10-09 00:45:00;2;2;2;6;4;1;0;0;0;0
2019-10-09 01:00:00;2;0;0;1;1;1;0;0;0;0
2019-10-09 01:15:00;0;2;2;1;0;2;0;0;0;0
2019-10-09 01:30:00;2;1;1;0;1;0;0;0;0;0
2019-10-09 01:45:00;0;1;0;1;1;0;0;0;0;0
2019-10-09 02:00:00;2;2;0;0;1;1;0;0;0;0
2019-10-09 02:15:00;0;1;0;1;0;0;0;0;0;0
2019-10-09 02:30:00;1;1;0;0;2;0;0;0;0;0
2019-10-09 02:45:00;0;0;0;1;0;0;0;0;0;0
2019-10-09 03:00:00;1;1;0;0;0;1;0;0;0;0
2019-10-09 03:15:00;0;0;1;1;0;0;0;0;0;0
2019-10-09 03:30:00;0;0;0;1;1;0;0;0;0;0
2019-10-09 03:45:00;0;0;0;0;1;1;0;0;0;0
2019-10-09 04:00:00;0;0;2;1;2;1;0;0;0;0
2019-10-09 04:15:00;1;3;0;0;4;1;0;0;0;0
2019-10-09 04:30:00;1;2;1;0;1;1;0;0;0;0
2019-10-09 04:45:00;3;2;0;1;0;2;0;0;0;0
2019-10-09 05:00:00;2;2;2;1;2;4;0;0;0;0
2019-10-09 05:15:00;1;3;3;8;5;8;0;0;0;0
2019-10-09 05:30:00;5;8;3;7;8;9;0;0;0;0
2019-10-09 05:45:00;6;15;8;7;6;14;0;0;0;0
2019-10-09 06:00:00;9;15;10;15;15;23;0;0;0;0
2019-10-09 06:15:00;15;19;23;10;26;32;0;0;0;0
2019-10-09 06:30:00;17;30;19;21;23;41;0;0;0;0
2019-10-09 06:45:00;19;34;28;12;62;53;0;0;0;0
2019-10-09 07:00:00;17;30;53;19;28;83;0;0;0;0
2019-10-09 07:15:00;28;36;93;30;48;111;0;0;0;0
2019-10-09 07:30:00;31;69;132;27;77;128;0;0;0;0
2019-10-09 07:45:00;38;77;98;32;71;109;0;0;0;0
2019-10-09 08:00:00;35;64;76;30;52;120;0;0;0;0
2019-10-09 08:15:00;22;62;64;23;69;106;0;0;0;0
2019-10-09 08:30:00;30;41;51;41;44;82;0;0;0;0
2019-10-09 08:45:00;35;51;55;54;53;67;0;0;0;0
2019-10-09 09:00:00;27;45;51;45;33;43;0;0;0;0
2019-10-09 09:15:00;27;53;50;48;44;34;0;0;0;0
2019-10-09 09:30:00;35;51;48;42;40;47;0;0;0;0
2019-10-09 09:45:00;36;43;51;44;28;42;0;0;0;0
2019-10-09 10:00:00;26;42;42;49;26;30;0;0;0;0
2019-10-09 10:15:00;29;76;31;61;30;44;0;0;0;0
2019-10-09 10:30:00;37;52;47;73;47;24;0;0;0;0
2019-10-09 10:45:00;32;45;50;70;40;42;0;0;0;0
2019-10-09 11:00:00;44;44;47;66;30;48;0;0;0;0
2019-10-09 11:15:00;38;41;33;73;42;21;0;0;0;0
2019-10-09 11:30:00;310;314;46;84;42;41;0;0;0;0
2019-10-09 11:45:00;34;51;47;80;34;39;0;0;0;0
2019-10-09 12:00:00;35;39;29;68;49;35;0;0;0;0
2019-10-09 12:15:00;61;60;56;66;28;46;0;0;0;0
2019-10-09 12:30:00;49;65;46;61;37;38;0;0;0;0
2019-10-09 12:45:00;39;50;46;57;41;45;0;0;0;0
2019-10-09 13:00:00;60;67;30;63;25;39;0;0;0;0
2019-10-09 13:15:00;80;75;45;67;36;42;0;0;0;0
2019-10-09 13:30:00;41;51;34;46;25;31;0;0;0;0
2019-10-09 13:45:00;61;72;38;52;30;30;0;0;0;0
2019-10-09 14:00:00;62;94;42;58;39;34;0;0;0;0
2019-10-09 14:15:00;82;318;32;65;21;47;0;0;0;0
2019-10-09 14:30:00;62;86;43;39;17;33;0;0;0;0
2019-10-09 14:45:00;81;106;37;68;28;58;0;0;0;0
2019-10-09 15:00:00;58;82;70;42;23;32;0;0;0;0
2019-10-09 15:15:00;74;85;51;55;27;35;0;0;0;0
2019-10-09 15:30:00;79;111;51;50;31;32;0;0;0;0
2019-10-09 15:45:00;82;94;55;76;23;44;0;0;0;0
2019-10-09 16:00:00;69;101;58;75;33;46;0;0;0;0
2019-10-09 16:15:00;79;121;54;44;22;42;0;0;0;0
2019-10-09 16:30:00;73;93;44;51;19;28;0;0;0;0
