DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-05-14 20:45:00;40;26;29;24;0;0;0;0;0;0;0;0
2020-05-14 21:00:00;28;17;24;22;8;0;0;0;0;0;0;0
2020-05-14 21:15:00;39;16;24;20;0;0;0;0;0;0;0;0
2020-05-14 21:30:00;24;12;24;17;0;0;0;0;0;0;0;0
2020-05-14 21:45:00;22;12;22;21;0;0;0;0;0;0;0;0
2020-05-14 22:00:00;33;14;23;17;0;0;0;0;0;0;0;0
2020-05-14 22:15:00;23;16;21;17;0;0;0;0;0;0;0;0
2020-05-14 22:30:00;14;11;17;11;0;0;0;0;0;0;0;0
2020-05-14 22:45:00;15;10;16;22;0;0;0;0;0;0;0;0
2020-05-14 23:00:00;8;3;18;11;0;0;0;0;0;0;0;0
2020-05-14 23:15:00;19;8;15;8;0;0;0;0;0;0;0;0
2020-05-14 23:30:00;13;5;12;10;0;0;0;0;0;0;0;0
2020-05-14 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
