DATUM;1(DA1);2(DA2);3(DC2);4(DC1);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC);13(MP12D01);14(MP12D02);15(MP12D03);16(MP12D04);17(MP12D05);18(MP12D06);19(MP12D07);20(MP12D08)
2020-08-17 14:15:00;119;106;61;153;9;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0
2020-08-17 14:30:00;75;46;89;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 14:45:00;65;51;76;155;13;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0
2020-08-17 15:00:00;61;38;86;157;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
2020-08-17 15:15:00;60;32;88;142;3;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 15:30:00;137;146;79;139;1;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 15:45:00;122;118;116;183;8;13;1;0;16;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 16:00:00;101;133;103;178;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-08-17 16:15:00;135;154;122;231;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 16:30:00;128;153;88;176;1;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 16:45:00;122;113;95;190;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0
2020-08-17 17:00:00;103;127;111;196;20;0;0;0;5;7;1;0;0;0;0;0;0;0;0;0
2020-08-17 17:15:00;113;135;91;200;1;20;0;0;7;1;0;0;0;0;0;0;0;0;0;0
2020-08-17 17:30:00;130;117;97;189;2;16;0;0;10;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 17:45:00;126;132;101;197;5;4;0;0;18;2;0;0;0;0;0;0;0;0;0;0
2020-08-17 18:00:00;93;102;65;158;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 18:15:00;99;98;72;153;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 18:30:00;83;94;72;139;0;5;0;0;8;4;0;0;0;0;0;0;0;0;0;0
2020-08-17 18:45:00;82;84;69;151;1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 19:00:00;73;63;60;117;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 19:15:00;65;81;61;130;3;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0
2020-08-17 19:30:00;59;60;65;115;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 19:45:00;51;54;67;120;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 20:00:00;52;59;65;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 20:15:00;47;58;44;83;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-08-17 20:30:00;52;54;43;78;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 20:45:00;45;48;29;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 21:00:00;50;51;36;74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 21:15:00;34;40;26;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 21:30:00;32;32;29;54;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 21:45:00;29;32;40;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 22:00:00;30;25;18;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 22:15:00;47;24;30;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 22:30:00;33;31;50;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 22:45:00;22;15;617;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 23:00:00;17;10;505;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 23:15:00;13;9;627;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 23:30:00;17;16;556;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-17 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
