DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-05-29 00:00:00;5;9;9;0;2;3;5;4
2020-05-29 00:15:00;5;9;9;2;1;3;9;10
2020-05-29 00:30:00;4;11;11;2;3;3;4;2
2020-05-29 00:45:00;5;11;11;0;2;10;9;5
2020-05-29 01:00:00;6;8;8;1;4;5;6;3
2020-05-29 01:15:00;1;4;4;1;0;4;2;1
2020-05-29 01:30:00;2;1;1;2;1;0;3;2
2020-05-29 01:45:00;3;5;5;0;0;2;1;1
2020-05-29 02:00:00;0;2;2;0;1;3;3;2
2020-05-29 02:15:00;0;3;3;1;1;0;1;3
2020-05-29 02:30:00;3;7;7;0;2;3;1;2
2020-05-29 02:45:00;2;6;6;1;3;3;2;3
2020-05-29 03:00:00;2;1;0;0;1;2;1;3
2020-05-29 03:15:00;5;3;3;1;1;1;1;2
2020-05-29 03:30:00;1;1;1;1;2;1;1;1
2020-05-29 03:45:00;5;5;6;1;2;3;2;0
2020-05-29 04:00:00;1;1;1;2;4;1;1;2
2020-05-29 04:15:00;0;7;7;2;2;3;3;3
2020-05-29 04:30:00;3;10;10;3;5;2;5;1
2020-05-29 04:45:00;6;17;18;6;8;5;5;2
2020-05-29 05:00:00;13;32;32;8;9;6;9;4
2020-05-29 05:15:00;40;83;84;9;16;15;36;13
2020-05-29 05:30:00;59;63;63;9;17;19;36;11
2020-05-29 05:45:00;50;71;77;25;36;27;39;21
2020-05-29 06:00:00;32;38;37;19;27;14;24;17
2020-05-29 06:15:00;67;58;61;17;28;18;35;28
2020-05-29 06:30:00;102;80;80;13;25;26;31;23
2020-05-29 06:45:00;71;78;76;5;14;15;40;19
2020-05-29 07:00:00;79;87;86;5;13;27;52;24
2020-05-29 07:15:00;101;80;78;9;37;23;55;31
2020-05-29 07:30:00;116;89;91;19;28;35;66;49
2020-05-29 08:00:00;84;78;79;13;21;25;67;41
2020-05-29 08:15:00;69;53;55;17;27;27;53;45
2020-05-29 08:30:00;64;64;63;14;26;21;50;27
2020-05-29 08:45:00;71;54;57;18;23;28;58;39
2020-05-29 09:00:00;58;54;56;11;26;15;58;28
2020-05-29 09:15:00;61;59;59;18;13;26;57;41
2020-05-29 09:30:00;54;60;59;13;19;28;80;58
2020-05-29 09:45:00;67;79;79;15;27;26;63;47
2020-05-29 10:00:00;73;54;54;12;21;26;58;40
2020-05-29 10:15:00;68;53;52;26;31;30;79;49
2020-05-29 10:30:00;72;63;63;17;36;28;70;47
2020-05-29 10:45:00;75;61;61;19;30;33;75;50
2020-05-29 11:00:00;74;66;66;18;32;34;78;62
2020-05-29 11:15:00;86;71;72;16;34;36;74;54
2020-05-29 11:30:00;85;79;74;34;53;30;97;61
2020-05-29 11:45:00;90;74;71;22;17;32;83;44
2020-05-29 12:00:00;82;66;67;24;38;29;75;63
2020-05-29 12:15:00;82;62;60;24;46;40;90;59
2020-05-29 12:30:00;96;67;64;25;37;25;104;70
2020-05-29 12:45:00;101;86;81;25;37;34;89;57
2020-05-29 13:00:00;96;94;95;17;31;35;98;63
2020-05-29 13:15:00;82;95;91;25;26;31;74;33
2020-05-29 13:30:00;118;118;115;20;30;40;90;59
2020-05-29 13:45:00;113;130;128;17;33;36;91;68
2020-05-29 14:00:00;106;110;109;21;42;39;95;70
2020-05-29 14:15:00;83;73;73;29;74;37;110;85
2020-05-29 14:30:00;91;66;74;24;70;49;101;75
2020-05-29 14:45:00;100;80;74;22;56;30;90;60
2020-05-29 15:00:00;83;59;56;21;28;32;91;54
2020-05-29 15:15:00;94;74;73;17;29;31;91;58
2020-05-29 15:30:00;78;65;63;24;32;32;82;49
2020-05-29 15:45:00;78;71;68;19;49;41;92;55
2020-05-29 16:00:00;74;65;65;23;25;22;83;56
2020-05-29 16:15:00;69;69;67;21;45;30;79;51
2020-05-29 16:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-29 16:45:00;85;68;67;23;30;30;80;50
2020-05-29 17:00:00;64;54;51;16;32;27;96;74
2020-05-29 17:15:00;83;64;62;16;23;22;87;62
2020-05-29 17:30:00;88;63;62;18;21;20;87;52
2020-05-29 17:45:00;68;48;50;15;37;22;75;49
2020-05-29 18:00:00;77;62;63;22;30;18;75;49
2020-05-29 18:15:00;75;63;61;16;31;30;74;49
2020-05-29 18:30:00;73;70;66;14;21;18;56;35
2020-05-29 18:45:00;57;47;46;14;27;22;76;50
2020-05-29 19:00:00;57;56;53;18;33;24;57;45
2020-05-29 19:15:00;47;46;46;12;20;15;38;32
2020-05-29 19:30:00;59;49;46;12;15;20;50;35
2020-05-29 19:45:00;41;45;41;13;9;30;54;36
2020-05-29 20:00:00;43;43;42;11;17;13;40;20
2020-05-29 20:15:00;55;40;37;9;13;22;42;27
2020-05-29 20:30:00;52;56;52;12;16;14;52;27
2020-05-29 20:45:00;43;37;40;8;11;14;48;27
2020-05-29 21:00:00;37;53;52;9;9;11;38;23
2020-05-29 21:15:00;50;66;65;14;18;12;40;21
2020-05-29 21:30:00;41;62;61;6;11;15;38;20
2020-05-29 21:45:00;29;45;44;20;35;9;46;32
2020-05-29 22:00:00;17;24;22;31;41;23;60;45
2020-05-29 22:15:00;19;35;35;23;26;21;41;37
2020-05-29 22:30:00;23;16;17;8;9;16;29;17
2020-05-29 22:45:00;12;19;18;3;4;9;23;13
2020-05-29 23:00:00;16;25;24;5;7;9;26;14
2020-05-29 23:15:00;11;34;33;3;5;3;17;7
2020-05-29 23:30:00;16;26;29;4;13;8;19;9
2020-05-29 23:45:00;13;16;13;2;2;5;15;9
