DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-12-04 00:00:00;0;1;2;1;0;1;1;1;0;0;0;0;0;0
2020-12-04 00:15:00;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-12-04 00:30:00;0;2;2;2;1;1;1;1;0;0;0;0;0;0
2020-12-04 00:45:00;0;2;2;2;2;0;0;0;0;0;0;0;0;0
2020-12-04 01:00:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-04 01:15:00;0;2;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-04 01:30:00;0;1;1;1;0;1;1;1;0;0;0;0;0;0
2020-12-04 01:45:00;2;0;0;0;0;1;1;1;0;0;0;0;0;0
2020-12-04 02:00:00;1;1;1;1;4;0;0;0;0;0;0;0;0;0
2020-12-04 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-04 02:30:00;1;0;0;0;0;1;1;1;0;0;0;0;0;0
2020-12-04 02:45:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-04 03:00:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-04 03:15:00;2;0;0;0;0;2;2;2;0;0;0;0;0;0
2020-12-04 03:30:00;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-12-04 03:45:00;0;2;2;3;3;2;1;1;0;0;0;0;0;0
2020-12-04 04:00:00;2;1;1;1;1;2;1;1;0;0;0;0;0;0
2020-12-04 04:15:00;3;1;1;2;5;2;2;2;0;0;0;0;0;0
2020-12-04 04:30:00;1;1;1;1;1;1;2;2;0;0;0;0;0;0
2020-12-04 04:45:00;3;2;2;2;7;1;1;1;0;0;0;0;0;0
2020-12-04 05:00:00;2;5;5;5;9;10;10;11;0;0;0;0;0;0
2020-12-04 05:15:00;2;8;9;7;24;7;5;3;0;0;0;0;0;0
2020-12-04 05:30:00;4;5;5;5;21;7;7;7;0;0;0;0;0;0
2020-12-04 05:45:00;9;13;11;11;22;9;10;8;0;0;0;0;0;0
2020-12-04 06:00:00;10;6;7;6;20;5;8;8;0;0;0;0;0;0
2020-12-04 06:15:00;5;8;10;9;26;10;10;5;0;0;0;0;0;0
2020-12-04 06:30:00;11;20;21;18;61;25;22;23;0;0;0;0;0;0
2020-12-04 06:45:00;18;12;13;11;40;22;22;15;0;0;0;0;0;0
2020-12-04 07:00:00;22;25;19;19;67;28;25;21;0;0;0;0;0;0
2020-12-04 07:15:00;11;20;16;21;90;38;33;27;0;2;0;0;13;5
