DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-11-06 00:00:00;8;7;0;0;6;6;0;0;6;0;0
2020-11-06 00:15:00;3;6;0;0;2;4;0;0;4;0;0
2020-11-06 00:30:00;6;8;1;0;13;7;0;0;12;0;0
2020-11-06 00:45:00;4;5;0;0;9;5;0;0;6;0;0
2020-11-06 01:00:00;4;3;0;0;4;4;0;0;5;0;0
2020-11-06 01:15:00;1;2;0;0;11;2;0;0;6;0;0
2020-11-06 01:30:00;5;7;1;0;7;4;0;0;3;0;0
2020-11-06 01:45:00;9;8;0;0;4;3;0;0;5;0;0
2020-11-06 02:00:00;11;10;1;0;6;2;0;0;4;0;0
2020-11-06 02:15:00;4;3;0;0;2;3;0;0;2;0;0
2020-11-06 02:30:00;7;6;0;0;7;3;0;0;4;0;0
2020-11-06 02:45:00;5;4;0;0;5;1;0;0;2;0;0
2020-11-06 03:00:00;8;7;1;0;4;3;0;0;5;0;0
2020-11-06 03:15:00;4;2;1;0;4;0;0;0;4;0;0
2020-11-06 03:30:00;11;8;1;0;5;0;0;0;1;0;0
2020-11-06 03:45:00;3;2;0;0;8;7;1;0;7;0;0
2020-11-06 04:00:00;9;6;0;0;5;1;0;0;1;0;0
2020-11-06 04:15:00;8;5;0;0;4;3;0;0;5;0;0
2020-11-06 04:30:00;13;12;0;0;7;2;0;0;4;0;0
2020-11-06 04:45:00;19;23;3;0;14;6;0;0;12;0;0
2020-11-06 05:00:00;28;23;0;0;27;9;0;0;11;0;0
2020-11-06 05:15:00;32;25;5;0;30;17;0;0;17;0;0
2020-11-06 05:30:00;55;68;9;0;46;25;0;0;34;0;0
2020-11-06 05:45:00;58;45;5;0;52;36;1;0;37;0;0
2020-11-06 06:00:00;68;86;22;0;61;31;1;0;36;0;0
2020-11-06 06:15:00;69;80;31;0;78;40;4;0;48;0;0
2020-11-06 06:30:00;77;95;17;0;127;83;3;0;92;0;9
2020-11-06 06:45:00;91;102;15;0;104;92;6;0;99;1;3
2020-11-06 07:00:00;70;79;7;0;80;74;7;0;80;4;4
2020-11-06 07:15:00;79;105;7;0;101;108;9;0;107;3;7
2020-11-06 07:30:00;72;112;8;0;98;98;8;0;105;4;0
2020-11-06 07:45:00;85;104;16;0;92;87;6;0;99;4;4
2020-11-06 08:00:00;56;94;13;0;65;70;13;0;73;9;3
2020-11-06 08:15:00;43;128;15;0;79;73;9;0;80;6;1
2020-11-06 08:30:00;48;129;17;0;87;75;8;0;70;2;5
2020-11-06 08:45:00;28;106;8;0;80;71;6;0;82;7;1
2020-11-06 09:00:00;46;135;13;0;74;60;9;0;71;7;2
2020-11-06 09:15:00;44;121;12;0;75;63;3;0;71;4;3
2020-11-06 09:30:00;61;152;21;0;76;84;11;0;83;3;3
2020-11-06 09:45:00;54;150;16;0;80;78;7;0;95;9;7
2020-11-06 10:00:00;69;133;13;0;89;88;13;0;95;7;7
2020-11-06 10:15:00;63;143;28;0;79;83;5;0;88;6;18
2020-11-06 10:30:00;64;168;18;0;86;91;7;0;102;8;26
2020-11-06 10:45:00;88;130;13;0;98;114;8;0;118;8;9
2020-11-06 11:00:00;64;160;14;0;104;94;10;0;107;8;9
2020-11-06 11:15:00;61;164;15;0;103;115;14;0;122;5;17
2020-11-06 11:30:00;91;120;16;0;96;97;8;0;97;7;34
2020-11-06 11:45:00;99;118;13;0;91;103;9;0;109;14;1
2020-11-06 12:00:00;97;123;15;0;112;107;5;0;114;6;7
2020-11-06 12:15:00;101;118;15;0;106;102;4;0;106;9;5
2020-11-06 12:30:00;100;126;10;0;102;138;11;0;143;8;5
2020-11-06 12:45:00;107;144;11;0;108;112;8;0;117;5;7
2020-11-06 13:00:00;100;137;15;0;90;103;2;0;105;2;8
2020-11-06 13:15:00;104;158;13;0;115;122;9;0;118;15;2
2020-11-06 13:30:00;111;145;14;0;112;103;9;0;111;7;16
2020-11-06 13:45:00;111;148;16;0;101;121;10;0;126;10;3
2020-11-06 14:00:00;101;117;10;0;105;116;6;0;116;1;0
2020-11-06 14:15:00;112;142;10;0;112;128;6;0;134;11;9
2020-11-06 14:30:00;114;133;13;0;101;109;5;0;115;7;3
2020-11-06 14:45:00;119;156;16;0;106;119;5;0;112;9;6
2020-11-06 15:00:00;114;150;17;0;116;108;7;0;110;9;7
2020-11-06 15:15:00;104;151;17;0;135;144;11;0;153;11;2
2020-11-06 15:30:00;90;176;16;0;99;125;7;0;121;14;3
2020-11-06 15:45:00;116;147;17;0;112;139;10;0;138;13;31
2020-11-06 16:00:00;112;143;15;0;116;130;9;0;154;13;7
2020-11-06 16:15:00;105;139;12;0;113;145;8;0;193;11;14
2020-11-06 16:30:00;117;143;16;0;108;125;7;0;125;14;2
2020-11-06 16:45:00;102;126;12;0;119;142;8;0;138;12;8
2020-11-06 17:00:00;103;139;16;0;100;131;7;0;134;13;8
2020-11-06 17:15:00;88;118;13;0;120;129;9;0;127;10;15
2020-11-06 17:30:00;91;118;11;0;111;111;4;0;112;2;7
2020-11-06 17:45:00;94;107;12;0;101;107;3;0;115;5;2
2020-11-06 18:00:00;78;87;8;0;91;92;1;0;97;4;0
2020-11-06 18:15:00;77;88;7;0;74;85;1;0;82;0;4
2020-11-06 18:30:00;71;83;6;0;83;81;0;0;76;2;0
2020-11-06 18:45:00;64;81;2;0;72;66;3;0;68;2;4
2020-11-06 19:00:00;47;49;4;0;76;80;4;0;83;0;0
2020-11-06 19:15:00;53;63;4;0;72;67;2;0;64;0;6
2020-11-06 19:30:00;41;47;2;0;51;50;2;0;52;0;0
2020-11-06 19:45:00;29;34;3;0;50;49;1;0;46;3;0
2020-11-06 20:00:00;33;42;3;0;59;50;0;0;44;0;0
2020-11-06 20:15:00;35;31;2;0;44;53;2;0;49;0;0
2020-11-06 20:30:00;26;36;2;0;36;35;0;0;34;0;0
2020-11-06 20:45:00;21;24;1;0;27;24;2;0;26;0;0
2020-11-06 21:00:00;29;32;2;0;42;33;2;0;36;0;0
2020-11-06 21:15:00;26;32;1;0;31;25;1;0;31;0;0
2020-11-06 21:30:00;22;22;3;0;44;25;0;0;30;0;0
2020-11-06 21:45:00;24;15;0;0;31;24;2;0;28;0;0
2020-11-06 22:00:00;27;22;1;0;21;23;1;0;24;0;0
2020-11-06 22:15:00;23;22;1;0;24;24;1;0;25;0;0
2020-11-06 22:30:00;20;9;0;0;31;22;1;0;30;1;0
2020-11-06 22:45:00;7;12;1;0;19;14;1;0;13;0;0
2020-11-06 23:00:00;11;9;0;0;18;12;0;0;12;0;0
2020-11-06 23:15:00;21;17;1;0;23;15;0;0;14;0;0
2020-11-06 23:30:00;15;10;1;0;16;8;0;0;9;0;0
2020-11-06 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
