DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-09-11 00:00:00;15;4;6;3;5;4;3;20;0;0;0;0;0
2020-09-11 00:15:00;14;8;7;4;2;2;4;21;0;0;0;0;0
2020-09-11 00:30:00;14;7;11;3;0;0;0;21;0;0;0;0;0
2020-09-11 00:45:00;8;2;2;2;0;0;1;8;0;0;0;0;0
2020-09-11 01:00:00;10;8;10;5;0;0;0;13;0;0;0;0;0
2020-09-11 01:15:00;12;4;5;1;0;0;0;10;0;0;0;0;0
2020-09-11 01:30:00;13;2;2;1;0;0;1;5;0;0;0;0;0
2020-09-11 01:45:00;10;1;1;1;0;0;1;6;0;0;0;0;0
2020-09-11 02:00:00;13;3;3;1;0;0;0;9;0;0;0;0;0
2020-09-11 02:15:00;9;3;3;2;0;0;0;2;0;0;0;0;0
2020-09-11 02:30:00;4;2;2;1;1;1;1;4;0;0;0;0;0
2020-09-11 02:45:00;6;4;1;1;0;0;0;2;0;0;0;0;0
2020-09-11 03:00:00;6;1;2;2;1;1;1;5;0;0;0;0;0
2020-09-11 03:15:00;6;3;3;2;1;1;0;4;0;0;0;0;0
2020-09-11 03:30:00;5;2;3;1;0;0;0;1;0;0;0;0;0
2020-09-11 03:45:00;1;2;1;1;1;1;0;4;0;0;0;0;0
2020-09-11 04:00:00;7;1;1;1;0;0;0;6;0;0;0;0;0
2020-09-11 04:15:00;8;1;0;0;0;0;0;8;0;0;0;0;0
2020-09-11 04:30:00;14;2;3;0;0;0;0;10;0;0;0;0;0
2020-09-11 04:45:00;14;4;3;3;2;3;1;12;0;0;0;0;0
2020-09-11 05:00:00;16;9;12;8;7;6;8;28;0;0;0;0;0
2020-09-11 05:15:00;27;9;14;8;5;5;3;45;0;0;0;0;0
2020-09-11 05:30:00;60;10;13;8;5;5;9;89;0;0;0;0;0
2020-09-11 05:45:00;56;9;14;6;5;6;2;82;0;0;0;0;0
2020-09-11 06:00:00;73;14;20;8;7;6;3;75;0;0;0;0;0
2020-09-11 06:15:00;86;16;17;12;4;5;10;75;0;0;0;0;0
2020-09-11 06:30:00;129;10;18;12;11;14;4;121;0;2;0;0;0
2020-09-11 06:45:00;108;19;24;14;9;9;18;151;0;3;0;0;0
