DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-11-05 00:00:00;11;5;1;3;0;6;9;2;0;2;0
2019-11-05 00:15:00;14;2;2;3;1;4;14;2;0;4;0
2019-11-05 00:30:00;9;2;3;3;1;3;16;3;0;4;0
2019-11-05 00:45:00;8;1;0;3;0;3;11;3;0;2;0
2019-11-05 01:00:00;6;7;2;1;0;0;12;0;0;3;0
2019-11-05 01:15:00;6;5;0;0;0;0;7;1;0;0;0
2019-11-05 01:30:00;4;2;0;0;0;0;7;2;0;0;0
2019-11-05 01:45:00;1;1;0;1;0;3;5;1;0;0;0
2019-11-05 02:00:00;5;6;1;0;0;1;10;4;0;0;0
2019-11-05 02:15:00;2;2;0;1;0;1;7;2;0;1;0
2019-11-05 02:30:00;3;3;1;1;0;2;9;1;0;0;0
2019-11-05 02:45:00;8;4;2;1;1;1;14;3;0;2;0
2019-11-05 03:00:00;5;5;1;1;0;1;7;2;0;0;0
2019-11-05 03:15:00;2;3;1;1;0;1;17;3;0;1;0
2019-11-05 03:30:00;4;4;0;0;0;3;8;1;0;1;0
2019-11-05 03:45:00;1;3;1;0;0;1;12;1;0;0;0
2019-11-05 04:00:00;7;10;3;1;0;3;12;2;0;2;0
2019-11-05 04:15:00;13;11;1;0;1;3;12;4;0;1;0
2019-11-05 04:30:00;16;14;4;1;0;3;31;11;0;1;0
2019-11-05 04:45:00;21;16;3;0;0;1;54;24;0;2;0
2019-11-05 05:00:00;34;17;9;1;0;8;98;72;1;2;0
2019-11-05 05:15:00;33;27;13;5;1;10;124;118;1;2;0
2019-11-05 05:30:00;58;31;26;10;1;17;128;113;0;3;0
2019-11-05 05:45:00;78;34;30;20;5;29;133;141;1;4;0
2019-11-05 06:00:00;93;55;37;19;8;29;146;148;1;4;0
2019-11-05 06:15:00;92;42;31;33;12;52;155;173;1;4;1
2019-11-05 06:30:00;72;52;48;33;19;55;139;150;0;9;1
2019-11-05 06:45:00;103;60;56;40;20;57;125;157;1;13;0
2019-11-05 07:00:00;83;47;51;59;33;98;140;157;4;11;2
2019-11-05 07:15:00;98;45;56;72;58;104;132;162;5;28;1
2019-11-05 07:30:00;120;40;58;74;49;99;101;110;7;24;2
2019-11-05 07:45:00;103;38;50;49;20;68;106;123;3;13;1
2019-11-05 08:00:00;97;50;63;35;22;52;134;151;13;25;2
2019-11-05 08:15:00;81;41;33;53;18;71;102;117;11;22;3
2019-11-05 08:30:00;112;41;59;41;18;59;107;114;2;14;3
2019-11-05 08:45:00;97;47;51;38;15;53;97;98;4;16;1
2019-11-05 09:00:00;105;36;38;45;14;59;101;106;1;10;3
2019-11-05 09:15:00;97;36;53;29;6;39;94;90;2;9;0
2019-11-05 09:30:00;88;39;27;33;13;53;99;92;3;8;3
2019-11-05 09:45:00;105;38;35;22;3;29;90;81;0;6;0
2019-11-05 10:00:00;103;43;33;25;9;34;79;67;0;7;1
2019-11-05 10:15:00;108;39;37;21;5;29;105;70;3;5;1
2019-11-05 10:30:00;107;52;41;27;5;39;98;94;2;6;4
2019-11-05 10:45:00;107;45;38;16;3;21;90;86;3;13;1
2019-11-05 11:00:00;108;42;48;18;5;26;92;71;1;9;1
2019-11-05 11:15:00;132;44;44;16;10;27;106;80;2;12;1
2019-11-05 11:30:00;126;40;33;8;4;14;86;82;2;9;0
