DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFBA);11(TAFBB);12(TAFGC);13(TAFBC);14(TAFBD)
2020-11-16 00:00:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-16 00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 00:30:00;0;0;1;1;0;0;1;1;0;0;0;0;0;0
2020-11-16 00:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-16 01:00:00;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-16 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:30:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:00:00;0;0;1;3;0;0;2;2;0;0;0;0;0;0
2020-11-16 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:30:00;0;0;1;1;0;0;1;1;0;0;0;0;0;0
2020-11-16 03:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-16 04:00:00;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-16 04:15:00;0;0;1;1;0;0;2;2;0;0;0;0;0;0
2020-11-16 04:30:00;0;0;2;3;0;0;3;3;0;0;0;0;0;0
2020-11-16 04:45:00;0;0;3;3;0;0;2;3;0;0;0;0;0;0
2020-11-16 05:00:00;0;0;1;1;0;0;6;6;0;0;0;0;0;0
2020-11-16 05:15:00;0;0;6;5;0;0;12;13;0;0;0;0;0;0
2020-11-16 05:30:00;0;0;2;2;0;0;7;11;0;0;0;0;0;0
2020-11-16 05:45:00;0;0;7;7;0;0;8;8;0;0;0;0;0;0
2020-11-16 06:00:00;0;0;9;8;0;0;6;8;0;0;0;0;0;0
2020-11-16 06:15:00;0;0;10;10;0;0;7;13;0;0;0;0;0;0
2020-11-16 06:30:00;0;0;21;19;0;0;20;22;0;0;0;0;0;0
2020-11-16 06:45:00;0;0;25;10;0;0;6;7;0;0;0;0;0;0
2020-11-16 07:00:00;0;0;13;12;0;0;16;21;0;0;0;1;0;0
2020-11-16 07:15:00;0;0;25;23;0;0;12;22;2;0;0;2;0;0
2020-11-16 07:30:00;0;0;29;24;0;0;13;18;0;0;1;0;0;0
2020-11-16 07:45:00;0;0;28;23;0;0;12;14;0;0;0;0;0;0
2020-11-16 08:00:00;0;0;29;28;0;0;16;16;1;0;0;0;0;0
2020-11-16 08:15:00;0;0;31;25;0;0;16;19;0;0;0;0;0;0
2020-11-16 08:30:00;0;0;23;19;0;0;12;16;0;0;0;0;0;0
2020-11-16 08:45:00;0;0;24;22;0;0;13;13;1;0;0;0;0;0
2020-11-16 09:00:00;0;0;17;18;0;0;12;11;0;0;0;0;0;0
2020-11-16 09:15:00;0;0;17;16;0;0;11;13;0;0;0;0;0;0
2020-11-16 09:30:00;0;0;20;18;0;0;9;8;0;0;0;0;0;0
2020-11-16 09:45:00;0;0;25;24;0;0;13;12;4;5;0;0;0;0
2020-11-16 10:00:00;0;0;19;17;0;0;9;9;1;1;0;0;0;0
2020-11-16 10:15:00;0;0;20;19;0;0;3;5;0;0;0;0;0;0
2020-11-16 10:30:00;0;0;14;13;0;0;15;15;0;0;0;0;0;0
2020-11-16 10:45:00;0;0;15;10;0;0;8;10;1;0;0;0;0;0
2020-11-16 11:00:00;0;0;16;10;0;0;11;11;0;0;0;0;0;0
2020-11-16 11:15:00;0;0;15;17;0;0;13;15;0;0;0;1;0;0
2020-11-16 11:30:00;0;0;29;25;0;0;12;14;2;0;0;0;0;0
2020-11-16 11:45:00;0;0;22;21;0;0;8;7;1;1;10;1;1;0
2020-11-16 12:00:00;0;0;23;23;0;0;9;8;0;0;0;0;0;0
2020-11-16 12:15:00;0;0;23;24;0;0;11;14;0;0;0;0;0;0
2020-11-16 12:30:00;0;0;21;16;0;0;9;11;0;0;0;0;0;0
2020-11-16 12:45:00;0;0;17;16;0;0;17;20;0;0;0;0;0;0
2020-11-16 13:00:00;0;0;29;24;0;0;9;13;1;2;0;1;0;0
2020-11-16 13:15:00;0;0;16;18;0;0;8;7;1;1;1;0;0;0
2020-11-16 13:30:00;0;0;20;20;0;0;14;16;0;0;0;3;0;0
2020-11-16 13:45:00;0;0;26;20;0;0;20;17;1;4;0;1;0;0
2020-11-16 14:00:00;0;0;33;25;0;0;11;11;0;0;0;0;0;0
2020-11-16 14:15:00;0;0;33;27;0;0;12;13;0;1;0;0;1;0
2020-11-16 14:30:00;0;0;29;23;0;0;19;17;0;0;1;8;22;0
2020-11-16 14:45:00;0;0;28;21;0;0;13;15;1;1;0;0;0;0
2020-11-16 15:00:00;0;0;40;35;0;0;11;11;0;0;0;2;0;0
2020-11-16 15:15:00;0;0;26;22;0;0;16;18;2;0;0;1;0;0
2020-11-16 15:30:00;0;0;32;24;0;0;6;8;0;0;0;0;0;0
2020-11-16 15:45:00;0;0;25;23;0;0;12;13;0;0;0;0;0;0
2020-11-16 16:00:00;0;0;21;19;0;0;12;8;1;0;0;0;0;1
2020-11-16 16:15:00;0;0;31;24;0;0;9;11;0;0;0;0;0;0
2020-11-16 16:30:00;0;0;30;26;0;0;8;10;0;0;0;0;0;0
