DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-11-02 00:00:00;2;0;1;2;3;1;3;3;2;0;0
2020-11-02 00:15:00;0;1;0;5;3;2;6;3;4;0;0
2020-11-02 00:30:00;0;1;1;2;1;0;3;4;5;1;0
2020-11-02 00:45:00;6;1;0;3;4;1;0;7;6;1;1
2020-11-02 01:00:00;0;1;0;4;3;2;0;5;3;0;0
2020-11-02 01:15:00;0;1;0;2;1;0;2;4;5;1;1
2020-11-02 01:30:00;0;0;0;3;0;0;0;2;1;0;0
2020-11-02 01:45:00;0;0;0;4;1;0;0;2;2;0;0
2020-11-02 02:00:00;2;2;0;1;0;1;0;0;2;0;0
2020-11-02 02:15:00;0;0;0;2;1;1;1;1;2;0;0
2020-11-02 02:30:00;0;0;0;2;2;1;0;2;2;0;0
2020-11-02 02:45:00;1;2;0;1;3;3;0;2;1;0;0
2020-11-02 03:00:00;0;0;0;3;1;1;1;1;1;0;0
2020-11-02 03:15:00;0;1;0;2;2;0;1;1;1;0;0
2020-11-02 03:30:00;0;1;0;2;1;1;0;1;2;1;0
2020-11-02 03:45:00;0;2;0;1;1;1;0;1;1;1;1
2020-11-02 04:00:00;1;2;0;3;0;0;1;3;5;2;1
2020-11-02 04:15:00;0;2;0;5;4;1;2;3;3;1;1
2020-11-02 04:30:00;1;5;0;6;4;4;1;4;12;4;4
2020-11-02 04:45:00;1;2;0;7;2;1;3;8;11;3;4
2020-11-02 05:00:00;2;6;0;10;8;3;3;14;11;6;5
2020-11-02 05:15:00;7;16;1;19;13;5;4;55;53;27;23
2020-11-02 05:30:00;5;24;0;20;18;7;7;62;51;19;16
2020-11-02 05:45:00;6;33;7;23;19;5;6;46;68;27;23
2020-11-02 06:00:00;1;15;6;22;13;5;12;40;50;15;10
2020-11-02 06:15:00;5;31;3;40;20;12;10;47;59;14;7
2020-11-02 06:30:00;5;29;5;51;40;8;19;78;99;29;17
2020-11-02 06:45:00;8;39;3;49;32;9;9;82;122;19;13
2020-11-02 07:00:00;9;37;5;58;26;5;16;75;94;8;4
2020-11-02 07:15:00;10;29;4;50;46;11;26;70;102;15;11
2020-11-02 07:30:00;6;35;5;89;60;11;28;98;99;13;11
2020-11-02 07:45:00;9;22;3;66;40;12;33;80;114;17;16
2020-11-02 08:00:00;12;23;3;77;51;16;23;78;74;9;6
2020-11-02 08:15:00;9;29;4;73;37;12;27;66;96;17;9
2020-11-02 08:30:00;11;26;2;85;41;24;20;80;88;17;15
2020-11-02 08:45:00;8;28;1;72;44;41;19;65;76;10;8
2020-11-02 09:00:00;10;26;5;89;40;21;18;68;66;5;1
2020-11-02 09:15:00;9;28;9;69;48;129;17;69;59;10;9
2020-11-02 09:30:00;12;24;6;87;49;14;26;56;60;3;3
2020-11-02 09:45:00;10;30;9;90;63;68;24;71;75;8;7
2020-11-02 10:00:00;7;21;1;83;47;17;31;59;54;10;10
2020-11-02 10:15:00;12;22;8;107;69;3;34;78;76;10;10
2020-11-02 10:30:00;25;19;3;92;53;54;31;79;67;7;5
2020-11-02 10:45:00;13;37;3;93;64;45;34;70;77;10;9
2020-11-02 11:00:00;10;35;3;92;59;45;22;66;57;5;6
2020-11-02 11:15:00;13;39;3;102;75;53;32;70;53;9;7
2020-11-02 11:30:00;12;30;4;98;84;28;36;72;60;15;9
2020-11-02 11:45:00;11;23;7;97;78;21;27;71;53;12;10
2020-11-02 12:00:00;15;30;4;90;73;46;47;77;63;6;7
2020-11-02 12:15:00;14;28;6;98;78;48;30;63;63;9;6
2020-11-02 12:30:00;4;26;4;101;90;56;32;75;58;3;4
2020-11-02 12:45:00;14;31;6;98;62;29;39;64;60;8;8
2020-11-02 13:00:00;8;21;2;95;56;66;36;61;48;3;5
2020-11-02 13:15:00;8;24;3;91;75;18;43;73;69;15;14
2020-11-02 13:30:00;11;32;6;105;65;18;40;77;76;21;15
2020-11-02 13:45:00;13;43;1;121;65;9;36;58;77;14;9
2020-11-02 14:00:00;9;28;5;100;89;21;37;84;77;14;14
2020-11-02 14:15:00;12;22;4;143;116;14;44;69;62;20;14
2020-11-02 14:30:00;12;21;1;174;146;25;31;85;86;23;28
2020-11-02 14:45:00;11;17;4;166;132;27;38;83;67;15;11
2020-11-02 15:00:00;11;27;10;152;129;29;39;70;59;13;12
2020-11-02 15:15:00;6;31;3;189;153;12;35;87;79;10;9
2020-11-02 15:30:00;11;37;4;161;115;24;30;79;87;15;10
2020-11-02 15:45:00;11;37;3;139;115;25;35;92;91;8;6
2020-11-02 16:00:00;12;32;4;182;165;18;48;73;71;13;11
2020-11-02 16:15:00;13;35;3;177;158;20;35;74;81;11;8
2020-11-02 16:30:00;18;18;3;172;145;41;41;94;90;15;11
2020-11-02 16:45:00;14;26;6;171;149;42;36;82;67;11;8
2020-11-02 17:00:00;19;44;5;157;152;24;46;75;76;13;11
2020-11-02 17:15:00;10;33;1;156;139;19;44;85;75;14;12
2020-11-02 17:30:00;16;27;8;132;125;21;42;80;77;13;11
2020-11-02 17:45:00;14;19;4;116;91;17;36;65;51;13;13
2020-11-02 18:00:00;17;41;6;100;110;58;41;57;67;17;13
2020-11-02 18:15:00;11;23;6;89;75;14;28;58;54;14;12
2020-11-02 18:30:00;6;20;4;91;60;14;32;42;50;19;18
2020-11-02 18:45:00;13;22;1;71;57;8;32;39;41;11;6
2020-11-02 19:00:00;9;16;6;60;39;47;32;34;34;9;7
2020-11-02 19:15:00;8;14;6;65;44;13;20;39;37;11;9
2020-11-02 19:30:00;8;15;2;51;35;6;15;26;35;13;13
2020-11-02 19:45:00;5;13;2;28;30;9;15;26;32;6;6
2020-11-02 20:00:00;4;12;1;41;35;9;13;40;33;10;8
2020-11-02 20:15:00;4;4;3;35;26;9;14;29;20;5;5
2020-11-02 20:30:00;2;11;1;25;20;8;9;17;16;4;4
2020-11-02 20:45:00;1;9;1;28;18;2;12;20;22;5;5
2020-11-02 21:00:00;4;10;2;24;19;8;15;22;22;4;3
2020-11-02 21:15:00;4;7;1;26;19;6;15;27;18;6;5
2020-11-02 21:30:00;1;8;0;14;18;7;7;25;25;4;3
2020-11-02 21:45:00;1;6;0;19;9;6;7;11;8;0;0
2020-11-02 22:00:00;1;0;0;40;26;7;11;14;15;2;1
2020-11-02 22:15:00;3;5;5;34;23;9;9;18;8;3;3
2020-11-02 22:30:00;2;1;0;16;5;2;11;15;7;3;2
2020-11-02 22:45:00;3;3;3;12;6;0;4;10;9;1;1
2020-11-02 23:00:00;1;0;0;10;9;3;5;6;5;1;1
2020-11-02 23:15:00;0;0;2;5;8;3;6;8;9;1;1
2020-11-02 23:30:00;1;0;0;4;6;5;4;5;3;0;0
2020-11-02 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
