DATUM;1(DA1);2(DA2RES);3(DB1);4(DC1);5(DC2RES);6(DD1);7(TAFBA);8(TAFGB);9(TAFBB);10(TAFBC);11(TAFGD);12(TAFBD);13(TAFGB2);14(TAFBB2)
2020-11-19 00:00:00;0;0;4;0;0;6;0;0;0;0;0;0;0;0
2020-11-19 00:15:00;0;0;5;0;0;8;0;0;0;0;0;0;0;0
2020-11-19 00:30:00;0;0;2;0;0;4;0;0;0;0;0;0;0;0
2020-11-19 00:45:00;0;0;4;0;1;1;0;0;0;0;0;0;0;0
2020-11-19 01:00:00;0;0;3;0;0;2;0;0;0;0;0;0;0;0
2020-11-19 01:15:00;0;0;2;0;0;1;0;0;0;0;0;0;0;0
2020-11-19 01:30:00;0;0;1;0;0;3;0;0;0;0;0;0;0;0
2020-11-19 01:45:00;0;0;1;0;0;4;0;0;0;0;0;0;0;0
2020-11-19 02:00:00;0;0;2;0;0;4;0;0;0;0;0;0;0;0
2020-11-19 02:15:00;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-19 02:30:00;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-11-19 02:45:00;0;0;3;0;0;1;0;0;0;0;0;0;0;0
2020-11-19 03:00:00;0;0;1;0;0;2;0;0;0;0;0;0;0;0
2020-11-19 03:15:00;0;0;3;0;0;2;0;0;0;0;0;0;0;0
2020-11-19 03:30:00;1;0;2;1;1;3;0;0;0;0;0;0;0;0
2020-11-19 03:45:00;1;0;5;0;0;7;0;0;0;0;0;0;0;0
2020-11-19 04:00:00;0;0;9;0;0;2;0;0;0;0;0;0;0;0
2020-11-19 04:15:00;0;0;16;0;1;2;0;0;0;0;0;0;0;0
2020-11-19 04:30:00;1;0;15;1;1;6;0;0;0;0;0;0;0;0
2020-11-19 04:45:00;1;0;29;0;1;10;0;0;0;0;0;0;0;0
2020-11-19 05:00:00;0;0;68;2;2;9;0;0;0;0;0;0;0;0
2020-11-19 05:15:00;0;0;123;3;4;8;0;0;0;0;0;0;0;0
2020-11-19 05:30:00;0;0;156;4;5;15;0;0;0;0;0;0;0;0
2020-11-19 05:45:00;2;0;143;3;4;53;0;0;0;0;0;0;0;0
2020-11-19 06:00:00;1;0;93;1;2;76;0;0;0;0;0;0;0;0
2020-11-19 06:15:00;0;0;184;1;2;49;0;1;0;0;0;0;0;0
2020-11-19 06:30:00;3;0;203;7;9;64;0;0;0;0;0;0;1;0
2020-11-19 06:45:00;0;0;241;9;14;71;0;0;0;0;0;0;0;0
2020-11-19 07:00:00;2;0;234;11;11;77;0;3;0;0;0;0;0;0
2020-11-19 07:15:00;2;0;260;31;40;96;0;2;0;0;0;0;0;0
2020-11-19 07:30:00;4;0;226;64;64;101;0;1;0;0;1;0;0;0
2020-11-19 07:45:00;9;0;241;27;29;156;0;1;0;0;0;0;0;0
2020-11-19 08:00:00;3;0;192;17;18;128;0;1;0;0;0;0;0;0
2020-11-19 08:15:00;1;0;161;13;13;76;0;1;0;0;0;0;0;0
2020-11-19 08:30:00;1;0;177;10;11;94;0;2;0;0;0;0;1;0
2020-11-19 08:45:00;4;0;153;9;13;92;0;1;0;0;0;0;0;0
2020-11-19 09:00:00;1;0;119;5;8;74;0;2;0;0;0;0;1;0
2020-11-19 09:15:00;1;0;118;8;9;90;0;2;0;0;0;0;0;0
2020-11-19 09:30:00;1;0;164;11;12;90;0;0;0;0;1;0;1;0
2020-11-19 09:45:00;0;0;154;12;16;98;0;4;0;0;0;0;0;0
2020-11-19 10:00:00;1;0;118;12;16;98;0;3;0;0;0;0;0;0
2020-11-19 10:15:00;2;0;122;14;16;115;0;2;0;0;1;0;0;0
2020-11-19 10:30:00;6;0;137;11;12;108;0;1;0;0;1;0;0;0
2020-11-19 10:45:00;3;0;135;102;11;119;0;2;0;0;1;0;0;0
2020-11-19 11:00:00;1;0;113;8;15;120;0;2;0;0;2;0;0;0
2020-11-19 11:15:00;0;0;128;3;11;139;0;1;0;0;0;0;0;0
2020-11-19 11:30:00;4;0;137;6;7;163;0;1;0;0;2;0;0;0
2020-11-19 11:45:00;4;0;147;11;13;182;0;1;0;0;2;0;2;0
2020-11-19 12:00:00;2;0;110;17;19;138;0;1;0;0;0;0;0;0
2020-11-19 12:15:00;0;0;132;6;14;163;0;2;0;0;1;0;0;0
2020-11-19 12:30:00;2;0;144;7;9;169;0;0;0;0;0;0;3;0
2020-11-19 12:45:00;3;0;135;19;20;135;0;0;0;0;0;0;0;0
2020-11-19 13:00:00;3;0;172;21;23;184;0;1;0;0;0;0;0;0
2020-11-19 13:15:00;3;0;160;10;18;143;0;1;0;0;1;0;0;0
2020-11-19 13:30:00;2;0;155;11;13;150;0;1;0;0;0;0;1;0
2020-11-19 13:45:00;3;0;152;10;17;179;0;0;0;0;0;0;0;0
2020-11-19 14:00:00;1;0;146;15;15;217;0;7;0;0;0;0;0;0
2020-11-19 14:15:00;1;0;117;10;18;188;0;2;0;0;0;0;0;0
2020-11-19 14:30:00;1;0;134;9;9;240;0;3;0;0;0;0;0;0
2020-11-19 14:45:00;4;0;124;6;10;230;0;2;0;0;0;0;0;0
2020-11-19 15:00:00;1;0;146;17;19;222;0;1;0;0;0;0;1;0
2020-11-19 15:15:00;5;0;144;5;11;219;0;3;0;0;1;0;0;0
2020-11-19 15:30:00;1;0;165;13;17;235;0;4;0;0;1;0;0;0
2020-11-19 15:45:00;3;0;141;9;12;206;0;4;0;0;0;0;0;0
2020-11-19 16:00:00;3;0;135;12;12;220;0;2;0;0;2;0;0;0
2020-11-19 16:15:00;3;0;117;15;17;248;0;1;0;0;0;0;0;0
2020-11-19 16:30:00;6;0;146;15;18;244;0;2;0;0;0;0;0;0
2020-11-19 16:45:00;3;0;139;14;18;221;0;4;0;0;2;0;1;0
2020-11-19 17:00:00;3;0;153;7;16;247;0;4;0;0;1;0;0;0
2020-11-19 17:15:00;1;0;145;9;17;235;0;4;0;0;0;0;0;0
2020-11-19 17:30:00;5;0;119;9;14;227;0;3;0;0;0;0;1;0
2020-11-19 17:45:00;3;0;111;12;12;203;0;2;0;0;0;0;2;0
2020-11-19 18:00:00;4;0;113;3;10;210;0;1;0;0;1;0;0;0
2020-11-19 18:15:00;3;0;90;6;13;169;0;3;0;0;0;0;1;0
2020-11-19 18:30:00;4;0;82;11;10;134;0;4;0;0;1;0;0;0
2020-11-19 18:45:00;4;0;72;8;10;141;0;0;0;0;0;0;0;0
2020-11-19 19:00:00;5;0;62;4;8;118;0;1;0;0;0;0;0;0
2020-11-19 19:15:00;0;0;60;5;11;121;0;2;0;0;0;0;1;0
2020-11-19 19:30:00;1;0;53;3;7;97;0;0;0;0;0;0;0;0
2020-11-19 19:45:00;0;0;56;1;5;88;0;1;0;0;1;0;1;0
2020-11-19 20:00:00;2;0;43;1;4;74;0;1;0;0;0;0;0;0
2020-11-19 20:15:00;1;0;48;4;6;70;0;1;0;0;0;0;0;0
2020-11-19 20:30:00;1;0;46;2;3;58;0;1;0;0;0;0;0;0
2020-11-19 20:45:00;1;0;42;2;2;45;0;1;0;0;0;0;0;0
2020-11-19 21:00:00;0;0;88;3;4;36;0;2;0;0;0;0;1;0
2020-11-19 21:15:00;1;0;61;1;3;34;0;0;0;0;0;0;0;0
2020-11-19 21:30:00;0;0;34;1;2;52;0;0;0;0;0;0;0;0
2020-11-19 21:45:00;0;0;19;1;1;68;0;0;0;0;0;0;0;0
2020-11-19 22:00:00;0;0;16;2;3;87;0;0;0;0;0;0;0;0
2020-11-19 22:15:00;1;0;27;1;1;74;0;0;0;0;0;0;0;0
2020-11-19 22:30:00;1;0;13;0;1;28;0;0;0;0;0;0;0;0
2020-11-19 22:45:00;0;0;12;1;1;17;0;0;0;0;0;0;0;0
2020-11-19 23:00:00;1;0;9;1;1;13;0;0;0;0;0;0;0;0
2020-11-19 23:15:00;0;0;10;1;1;20;0;0;0;0;0;0;0;0
2020-11-19 23:30:00;0;0;9;1;1;7;0;0;0;0;0;0;0;0
2020-11-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
