DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2019-11-25 00:00:00;0;1;4;0;0;5;2;2;2;3;3
2019-11-25 00:15:00;0;3;9;0;0;4;7;1;2;3;1
2019-11-25 00:30:00;0;2;5;1;1;1;4;0;0;1;1
2019-11-25 00:45:00;0;0;7;1;1;2;2;1;0;2;4
2019-11-25 01:00:00;3;0;0;1;3;1;1;2;0;1;0
2019-11-25 01:15:00;1;0;2;0;0;0;0;0;0;2;0
2019-11-25 01:30:00;0;0;1;0;0;0;1;0;0;1;0
2019-11-25 01:45:00;0;0;1;0;0;0;0;0;0;1;0
2019-11-25 02:00:00;0;1;2;0;0;0;2;1;0;2;0
2019-11-25 02:15:00;0;1;0;0;0;0;1;0;0;2;0
2019-11-25 02:30:00;0;0;3;0;0;0;1;1;0;3;0
2019-11-25 02:45:00;0;0;1;0;0;0;2;1;0;1;2
2019-11-25 03:00:00;0;1;1;0;0;0;1;0;0;0;1
2019-11-25 03:15:00;0;2;3;0;0;0;2;0;0;2;2
2019-11-25 03:30:00;0;0;1;0;0;0;1;0;0;3;0
2019-11-25 03:45:00;0;1;0;0;0;2;2;1;0;3;0
2019-11-25 04:00:00;1;0;3;0;0;0;2;0;0;2;2
2019-11-25 04:15:00;0;2;3;0;1;0;0;0;2;0;0
2019-11-25 04:30:00;0;6;3;0;0;0;2;0;0;0;1
2019-11-25 04:45:00;1;5;8;1;2;0;2;0;1;2;4
2019-11-25 05:00:00;0;11;14;0;0;0;4;1;1;0;6
2019-11-25 05:15:00;4;32;27;0;3;4;10;0;1;1;10
2019-11-25 05:30:00;5;49;37;3;6;3;9;2;4;11;11
2019-11-25 05:45:00;3;34;40;2;5;2;7;3;4;17;14
2019-11-25 06:00:00;4;27;36;2;7;6;9;2;5;20;10
2019-11-25 06:15:00;8;26;17;4;11;8;17;4;8;18;15
2019-11-25 06:30:00;5;55;58;6;9;11;19;3;12;16;37
2019-11-25 06:45:00;3;49;46;8;10;11;18;8;17;32;23
2019-11-25 07:00:00;9;69;59;14;17;6;32;13;19;40;32
2019-11-25 07:15:00;5;56;61;26;30;10;43;20;48;71;28
2019-11-25 07:30:00;10;65;74;50;57;25;42;33;65;90;23
2019-11-25 07:45:00;10;64;75;21;33;36;53;43;57;71;52
2019-11-25 08:00:00;6;60;93;20;25;21;39;22;31;47;37
2019-11-25 08:15:00;13;43;90;15;23;13;38;20;32;43;35
2019-11-25 08:30:00;11;38;77;13;25;23;30;19;41;58;30
2019-11-25 08:45:00;12;43;76;14;21;12;28;10;34;36;27
2019-11-25 09:00:00;6;34;68;20;24;16;30;17;31;37;24
2019-11-25 09:15:00;12;34;54;9;18;13;36;18;31;39;16
2019-11-25 09:30:00;11;31;45;13;24;18;34;21;32;41;19
2019-11-25 09:45:00;4;36;40;13;16;17;36;23;31;46;17
2019-11-25 10:00:00;4;43;39;11;14;18;30;22;27;27;26
2019-11-25 10:15:00;9;23;40;6;14;20;29;20;25;38;28
2019-11-25 10:30:00;6;36;45;12;17;16;41;24;24;41;24
2019-11-25 10:45:00;8;47;34;6;11;28;35;30;25;35;22
2019-11-25 11:00:00;9;21;28;13;20;16;37;24;30;43;12
2019-11-25 11:15:00;7;23;35;10;13;18;44;32;35;35;17
2019-11-25 11:30:00;6;46;31;7;13;21;44;32;36;35;26
2019-11-25 11:45:00;4;41;36;9;10;14;34;38;31;34;27
2019-11-25 12:00:00;7;39;46;6;11;29;45;21;22;30;25
2019-11-25 12:15:00;6;42;41;5;10;28;42;29;25;35;27
2019-11-25 12:30:00;8;32;44;15;18;21;35;19;17;31;19
2019-11-25 12:45:00;9;40;35;20;29;20;41;28;43;46;18
2019-11-25 13:00:00;6;53;38;10;14;31;68;39;26;38;28
2019-11-25 13:15:00;9;57;49;10;19;22;39;32;21;22;26
2019-11-25 13:30:00;12;47;41;13;20;14;44;15;25;26;20
