DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DD1);9(DD2);10(DD3);11(TAFBA);12(TAFBA2);13(TAFBB);14(TAFBC);15(TAFBC2);16(TAFBD);17(TAFBE)
2019-09-29 00:00:00;9;8;11;18;13;11;3;5;10;5;0;0;2;0;0;0;0
2019-09-29 00:15:00;15;3;14;12;9;5;9;7;12;6;0;0;1;0;0;0;0
2019-09-29 00:30:00;10;4;5;9;1;1;10;6;9;7;0;0;0;0;0;0;0
2019-09-29 00:45:00;15;7;5;4;6;4;4;5;5;7;0;0;0;10;0;0;0
2019-09-29 01:00:00;6;5;4;10;6;2;5;7;5;5;0;0;0;0;0;1;0
2019-09-29 01:15:00;14;5;9;8;3;6;7;2;8;3;0;0;0;0;0;0;0
2019-09-29 01:30:00;14;8;4;8;1;4;3;7;12;8;0;1;0;0;0;0;0
2019-09-29 01:45:00;8;4;6;9;4;3;6;3;5;3;0;0;0;0;0;0;0
2019-09-29 02:00:00;4;1;5;4;3;6;6;0;1;4;0;0;0;0;0;0;0
2019-09-29 02:15:00;5;7;6;9;1;1;3;0;1;1;0;0;0;0;0;0;0
2019-09-29 02:30:00;12;8;4;7;3;1;3;1;2;5;0;0;2;0;0;0;0
2019-09-29 02:45:00;0;2;5;4;1;4;5;3;1;2;0;0;0;0;0;0;0
2019-09-29 03:00:00;0;3;2;5;4;3;2;5;12;4;0;0;0;0;0;0;0
2019-09-29 03:15:00;2;3;2;5;4;2;2;1;2;0;0;0;0;0;0;0;0
2019-09-29 03:30:00;3;2;2;3;1;5;3;2;6;3;0;0;0;0;0;0;0
2019-09-29 03:45:00;3;2;1;6;1;2;1;2;4;2;0;0;0;0;0;0;0
2019-09-29 04:00:00;1;0;1;2;2;3;4;5;7;0;0;0;0;0;0;0;0
2019-09-29 04:15:00;4;2;3;3;0;4;2;3;1;0;0;0;0;0;0;0;0
