DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2019-10-18 00:00:00;8;9;0;6;7;2;4;5;3;0;0;0;0;0
2019-10-18 00:15:00;9;17;0;8;13;2;4;7;2;0;0;0;0;0
2019-10-18 00:30:00;14;20;0;4;11;2;1;3;2;0;0;0;0;0
2019-10-18 00:45:00;5;18;0;8;11;4;5;1;1;0;0;0;0;0
2019-10-18 01:00:00;7;12;0;5;6;2;3;3;1;0;0;0;0;0
2019-10-18 01:15:00;5;8;0;6;12;4;2;2;3;0;0;0;0;0
2019-10-18 01:30:00;6;9;0;1;8;1;3;2;1;0;0;0;0;0
2019-10-18 01:45:00;1;4;0;7;20;4;0;3;0;0;0;0;0;0
2019-10-18 02:00:00;6;10;0;3;12;2;2;5;2;0;0;0;0;0
2019-10-18 02:15:00;5;6;0;1;4;1;4;7;0;0;0;0;0;0
2019-10-18 02:30:00;3;2;0;1;7;2;2;0;2;0;0;0;0;0
2019-10-18 02:45:00;4;6;0;3;5;0;0;2;0;0;0;0;0;0
2019-10-18 03:00:00;2;7;0;8;5;2;2;3;1;0;0;0;0;0
2019-10-18 03:15:00;4;2;0;7;6;2;0;0;0;0;0;0;0;0
2019-10-18 03:30:00;11;6;0;4;5;0;0;0;0;0;0;0;0;0
2019-10-18 03:45:00;7;10;0;5;9;2;0;1;0;0;0;0;0;0
2019-10-18 04:00:00;17;7;0;11;21;0;1;2;0;1;0;0;0;0
2019-10-18 04:15:00;8;6;0;20;49;2;0;0;0;1;0;0;0;0
2019-10-18 04:30:00;7;13;0;19;32;1;1;1;0;0;0;0;0;0
2019-10-18 04:45:00;26;38;0;14;22;2;1;0;1;0;0;0;0;0
2019-10-18 05:00:00;47;60;0;22;36;2;2;1;0;0;0;0;0;0
2019-10-18 05:15:00;117;152;0;30;44;10;1;2;1;0;0;0;0;0
2019-10-18 05:30:00;100;117;0;32;71;4;2;5;1;1;0;0;0;0
2019-10-18 05:45:00;111;143;0;39;77;11;0;5;1;0;0;0;0;0
2019-10-18 06:00:00;82;107;1;59;88;16;1;3;3;0;0;0;0;0
2019-10-18 06:15:00;110;143;0;67;105;25;1;8;7;4;0;0;0;0
2019-10-18 06:30:00;156;176;0;78;101;39;4;8;2;2;0;0;0;0
2019-10-18 06:45:00;153;174;0;75;91;42;4;23;8;7;0;0;0;0
2019-10-18 07:00:00;176;183;0;78;101;48;5;15;2;5;1;0;0;0
2019-10-18 07:15:00;172;184;0;103;103;89;19;31;10;16;2;55;4;0
2019-10-18 07:30:00;138;144;1;155;103;129;36;30;12;36;0;34;5;0
2019-10-18 07:45:00;161;168;0;114;111;97;56;54;20;23;3;11;4;3
2019-10-18 08:00:00;163;173;1;71;74;79;15;32;9;17;0;1;3;0
2019-10-18 08:15:00;134;147;2;73;90;78;14;31;7;12;1;0;0;0
2019-10-18 08:30:00;130;165;2;89;108;76;14;26;11;16;9;0;6;0
2019-10-18 08:45:00;126;147;2;77;102;71;14;26;9;20;1;3;0;0
2019-10-18 09:00:00;115;145;6;70;76;58;16;23;9;4;0;0;0;3
2019-10-18 09:15:00;97;149;1;89;98;50;9;12;9;13;0;0;8;3
2019-10-18 09:30:00;115;164;2;91;92;70;21;23;8;13;9;0;9;3
2019-10-18 09:45:00;96;145;3;89;99;60;20;25;9;18;3;0;0;1
2019-10-18 10:00:00;99;156;4;94;118;70;10;22;10;17;3;0;3;1
2019-10-18 10:15:00;94;150;3;97;109;63;16;28;9;14;6;0;0;3
2019-10-18 10:30:00;88;142;4;104;111;65;22;35;6;11;0;0;7;0
2019-10-18 10:45:00;114;138;3;92;116;66;26;40;16;13;5;2;7;8
2019-10-18 11:00:00;96;164;3;105;123;55;19;26;13;19;1;1;1;1
2019-10-18 11:15:00;96;132;2;93;120;59;26;46;14;9;0;9;4;2
2019-10-18 11:30:00;121;155;0;92;116;66;19;27;12;6;2;0;0;0
2019-10-18 11:45:00;108;150;4;102;119;71;28;34;16;5;11;0;21;2
2019-10-18 12:00:00;114;171;5;125;136;78;24;32;16;11;3;0;1;2
2019-10-18 12:15:00;105;144;4;96;109;81;26;36;11;2;12;0;7;18
2019-10-18 12:30:00;129;169;6;122;106;92;27;45;16;11;9;20;1;0
2019-10-18 12:45:00;129;176;4;125;107;111;17;32;8;18;4;0;57;8
2019-10-18 13:00:00;148;167;1;122;124;97;45;51;24;9;14;7;35;39
2019-10-18 13:15:00;164;159;3;119;106;98;42;44;20;9;4;9;26;2
2019-10-18 13:30:00;175;186;1;109;113;73;24;49;14;7;8;5;5;23
2019-10-18 13:45:00;160;175;2;126;118;87;37;48;16;10;6;0;1;13
2019-10-18 14:00:00;145;153;4;122;107;83;20;42;18;14;9;3;16;12
2019-10-18 14:15:00;112;153;2;111;100;99;18;33;9;9;1;15;8;1
2019-10-18 14:30:00;106;156;4;108;91;103;13;29;12;21;1;0;5;2
2019-10-18 14:45:00;148;169;4;120;107;124;17;36;11;14;9;6;11;5
2019-10-18 15:00:00;119;161;3;118;106;93;20;37;14;11;3;0;11;0
2019-10-18 15:15:00;129;173;5;92;88;111;13;29;15;13;5;0;12;7
2019-10-18 15:30:00;111;163;7;122;99;118;19;34;10;6;4;0;10;4
2019-10-18 15:45:00;125;158;3;132;108;101;21;35;10;12;6;16;2;0
2019-10-18 16:00:00;130;162;2;126;110;85;28;41;13;14;3;0;9;0
2019-10-18 16:15:00;136;181;1;134;101;96;32;49;12;14;0;22;40;0
2019-10-18 16:30:00;135;156;0;110;98;93;18;31;5;13;3;6;11;0
2019-10-18 16:45:00;118;168;1;119;108;81;24;34;13;15;7;2;3;2
2019-10-18 17:00:00;116;169;1;120;126;65;23;29;13;11;1;0;17;0
2019-10-18 17:15:00;128;150;2;133;129;85;24;39;13;9;4;7;8;2
2019-10-18 17:30:00;137;184;3;107;119;69;16;31;8;14;0;19;9;0
2019-10-18 17:45:00;130;170;0;125;117;74;17;28;10;12;3;13;4;3
2019-10-18 18:00:00;127;174;0;117;125;58;25;31;10;8;4;8;9;81
2019-10-18 18:15:00;113;135;0;109;113;68;16;31;11;10;3;5;4;0
2019-10-18 18:30:00;110;156;0;134;134;78;17;25;11;2;2;5;9;4
2019-10-18 18:45:00;107;149;0;110;110;109;12;29;12;9;4;0;9;3
