DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-04-03 00:00:00;7;1;2;2;4;0;2
2020-04-03 00:15:00;13;4;5;4;3;3;5
2020-04-03 00:30:00;14;3;5;1;2;8;2
2020-04-03 00:45:00;8;3;5;1;5;1;7
2020-04-03 01:00:00;6;2;6;2;3;1;5
2020-04-03 01:15:00;4;2;5;2;3;3;3
2020-04-03 01:30:00;8;0;9;4;5;2;2
2020-04-03 01:45:00;1;1;7;0;1;7;4
2020-04-03 02:00:00;7;1;4;3;4;2;0
2020-04-03 02:15:00;7;2;11;1;3;2;3
2020-04-03 02:30:00;0;2;3;3;4;2;3
2020-04-03 02:45:00;9;0;3;1;2;5;4
2020-04-03 03:00:00;8;1;2;0;3;9;6
2020-04-03 03:15:00;6;2;5;0;5;5;2
2020-04-03 03:30:00;4;2;4;1;5;3;1
2020-04-03 03:45:00;7;4;6;0;5;9;1
2020-04-03 04:00:00;2;4;4;1;2;6;10
2020-04-03 04:15:00;5;3;16;7;2;1;3
2020-04-03 04:30:00;6;1;7;0;3;1;1
2020-04-03 04:45:00;6;5;21;2;0;2;0
2020-04-03 05:00:00;13;12;20;4;0;1;1
2020-04-03 05:15:00;27;11;35;12;0;2;0
2020-04-03 05:30:00;24;15;73;28;1;0;0
2020-04-03 05:45:00;31;24;73;41;3;1;0
2020-04-03 06:00:00;38;11;61;22;2;0;0
2020-04-03 06:15:00;53;31;75;34;5;0;0
2020-04-03 06:30:00;66;34;124;46;2;0;0
2020-04-03 06:45:00;81;40;112;64;6;0;2
2020-04-03 07:00:00;90;44;86;46;8;2;1
2020-04-03 07:15:00;105;58;106;49;8;3;0
2020-04-03 07:30:00;92;51;109;48;7;0;1
2020-04-03 07:45:00;115;52;111;46;7;1;1
2020-04-03 08:00:00;83;47;86;35;4;2;1
2020-04-03 08:15:00;84;49;74;37;1;0;0
2020-04-03 08:30:00;81;46;75;46;11;2;0
2020-04-03 08:45:00;63;36;76;34;3;1;1
2020-04-03 09:00:00;69;44;71;38;8;0;1
2020-04-03 09:15:00;79;49;97;42;5;2;1
2020-04-03 09:30:00;82;61;98;46;3;0;0
2020-04-03 09:45:00;86;44;110;37;2;3;0
2020-04-03 10:00:00;58;58;107;43;6;0;0
2020-04-03 10:15:00;84;82;105;37;9;3;0
2020-04-03 10:30:00;93;71;109;53;4;3;0
2020-04-03 10:45:00;99;83;114;43;7;1;3
2020-04-03 11:00:00;94;67;113;59;7;7;2
2020-04-03 11:15:00;91;73;108;47;6;3;1
2020-04-03 11:30:00;108;84;105;63;7;1;2
2020-04-03 11:45:00;78;64;119;43;5;1;1
2020-04-03 12:00:00;110;73;126;57;10;1;2
2020-04-03 12:15:00;123;86;118;44;12;3;1
2020-04-03 12:30:00;120;90;134;67;6;2;1
2020-04-03 12:45:00;102;91;107;65;12;1;4
2020-04-03 13:00:00;108;68;142;60;6;5;5
2020-04-03 13:15:00;126;97;113;65;4;3;1
2020-04-03 13:30:00;95;88;130;60;5;1;4
2020-04-03 13:45:00;119;96;123;45;9;1;8
2020-04-03 14:00:00;123;89;134;56;6;4;2
2020-04-03 14:15:00;119;92;138;66;8;5;4
2020-04-03 14:30:00;109;88;134;79;4;1;3
2020-04-03 14:45:00;97;82;125;61;6;2;2
2020-04-03 15:00:00;114;66;103;52;9;3;3
2020-04-03 15:15:00;115;74;117;74;7;3;2
2020-04-03 15:30:00;114;81;135;55;8;2;1
2020-04-03 15:45:00;110;93;110;49;5;1;1
2020-04-03 16:00:00;93;69;136;48;2;1;2
2020-04-03 16:15:00;103;66;127;52;5;3;2
2020-04-03 16:30:00;84;74;106;46;5;2;7
2020-04-03 16:45:00;113;95;130;50;9;3;0
2020-04-03 17:00:00;95;80;103;51;6;1;4
2020-04-03 17:15:00;81;76;94;40;4;2;2
2020-04-03 17:30:00;69;54;100;52;4;2;3
2020-04-03 17:45:00;94;67;100;45;3;4;2
2020-04-03 18:00:00;86;65;97;32;7;3;2
2020-04-03 18:15:00;66;46;86;37;8;1;0
2020-04-03 18:30:00;69;43;88;33;6;2;1
2020-04-03 18:45:00;58;46;79;22;3;3;2
2020-04-03 19:00:00;58;54;68;24;10;6;2
2020-04-03 19:15:00;60;44;68;25;9;2;1
2020-04-03 19:30:00;47;35;66;20;4;1;1
2020-04-03 19:45:00;56;37;44;14;3;0;1
2020-04-03 20:00:00;44;25;65;19;1;3;1
2020-04-03 20:15:00;52;38;52;11;3;0;0
2020-04-03 20:30:00;33;22;52;13;2;2;1
2020-04-03 20:45:00;29;24;35;15;5;1;1
2020-04-03 21:00:00;21;22;37;10;2;0;2
2020-04-03 21:15:00;30;14;36;12;0;0;3
2020-04-03 21:30:00;35;17;32;10;0;1;0
2020-04-03 21:45:00;29;19;26;8;3;0;0
2020-04-03 22:00:00;27;18;12;2;2;2;2
2020-04-03 22:15:00;22;11;28;4;3;0;0
2020-04-03 22:30:00;17;8;15;6;2;2;1
2020-04-03 22:45:00;17;13;17;1;0;0;1
2020-04-03 23:00:00;17;16;10;1;2;1;2
2020-04-03 23:15:00;9;4;8;1;2;2;2
2020-04-03 23:30:00;10;6;11;1;2;1;1
2020-04-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
