DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2020-04-25 00:00:00;6;1;0;0;7;2;2;1;0;0;0;0;0;7;8;0;0;0;0;0;0;0;0
2020-04-25 00:15:00;14;6;0;2;10;7;0;2;2;1;1;3;3;17;13;0;0;0;0;0;0;0;0
2020-04-25 00:30:00;5;8;0;0;0;2;0;0;0;1;1;0;0;7;1;0;0;0;0;0;0;0;0
2020-04-25 00:45:00;6;2;2;0;8;3;1;0;2;0;0;3;3;6;9;0;0;0;0;0;0;0;0
2020-04-25 01:00:00;4;5;0;4;10;4;0;3;3;0;0;0;0;5;10;0;0;0;0;0;0;0;0
2020-04-25 01:15:00;8;3;1;2;7;3;0;1;2;0;0;0;0;9;10;0;0;0;0;0;0;0;0
2020-04-25 01:30:00;6;3;0;0;8;2;1;0;0;0;0;0;0;7;9;0;0;0;0;0;0;0;0
2020-04-25 01:45:00;4;12;2;1;4;3;2;0;2;0;0;0;0;11;4;0;0;0;0;0;0;0;0
2020-04-25 02:00:00;4;2;1;0;5;4;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0
2020-04-25 02:15:00;5;3;1;1;7;7;0;3;3;0;0;1;1;7;9;0;0;0;0;0;0;0;0
2020-04-25 02:30:00;3;2;1;2;2;2;1;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0;0
2020-04-25 02:45:00;1;4;0;0;4;2;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0
2020-04-25 03:00:00;2;1;1;3;2;4;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
2020-04-25 03:15:00;3;3;0;0;10;7;1;1;0;0;0;0;0;4;11;0;0;0;0;0;0;0;0
2020-04-25 03:30:00;2;1;0;1;5;3;0;0;1;0;0;3;2;3;5;0;0;0;0;0;0;0;0
2020-04-25 03:45:00;1;1;1;0;2;3;1;1;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
