DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DD1);11(DD2);12(TAFGA);13(TAFBA);14(TAFBB);15(TAFGC);16(TAFBC);17(TAFBDRES)
2020-06-22 00:00:00;5;5;1;3;2;1;4;3;4;0;0;0;0;0;0;0;0
2020-06-22 00:15:00;6;8;5;1;5;1;3;6;6;3;3;0;0;0;0;0;0
2020-06-22 00:30:00;2;10;3;1;2;1;4;4;4;1;2;0;0;0;0;0;0
2020-06-22 00:45:00;0;2;3;1;2;0;3;2;2;1;1;0;0;0;0;0;0
2020-06-22 01:00:00;1;1;4;3;5;2;0;0;0;0;0;0;0;0;0;0;0
2020-06-22 01:15:00;2;1;1;1;0;0;4;5;6;1;1;0;0;0;0;0;0
2020-06-22 01:30:00;1;0;1;0;1;0;2;2;2;0;0;0;0;0;0;0;0
2020-06-22 01:45:00;1;3;2;1;2;0;1;1;1;0;0;0;0;0;0;0;0
2020-06-22 02:00:00;1;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0
2020-06-22 02:15:00;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-06-22 02:30:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-22 03:00:00;0;1;1;1;3;1;1;1;1;1;1;0;0;0;0;0;0
2020-06-22 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-22 03:30:00;1;2;0;1;1;1;2;1;1;2;2;0;0;0;0;0;0
2020-06-22 03:45:00;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
2020-06-22 04:00:00;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
2020-06-22 04:15:00;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
2020-06-22 04:30:00;3;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-06-22 05:00:00;1;1;0;0;0;0;12;12;15;0;0;0;0;0;0;0;0
2020-06-22 05:15:00;5;2;1;0;1;0;10;19;21;0;0;0;0;0;0;0;0
2020-06-22 05:30:00;6;6;0;0;0;1;16;23;26;1;0;0;0;0;0;0;0
2020-06-22 05:45:00;11;12;0;0;0;0;14;19;19;0;0;0;0;0;0;0;0
2020-06-22 06:00:00;14;8;0;0;0;1;16;18;20;0;0;0;0;0;0;0;0
2020-06-22 06:15:00;11;7;0;3;1;1;8;16;16;0;0;0;0;0;0;0;0
2020-06-22 06:30:00;21;7;1;1;0;0;8;24;24;0;0;0;0;0;0;0;0
2020-06-22 06:45:00;23;14;3;5;3;3;24;28;30;0;0;0;0;0;0;0;0
2020-06-22 07:00:00;32;21;5;7;5;4;19;26;28;1;1;0;0;0;0;0;0
2020-06-22 07:15:00;46;28;2;5;3;3;28;32;36;0;0;0;0;0;2;0;0
2020-06-22 07:30:00;55;36;9;7;7;3;29;39;40;1;1;0;0;0;0;0;0
2020-06-22 07:45:00;44;33;2;2;3;4;31;35;40;0;0;0;0;0;0;0;0
2020-06-22 08:00:00;43;31;9;8;6;2;27;27;32;0;1;0;0;0;0;0;0
2020-06-22 08:15:00;47;33;10;11;4;5;21;41;41;1;2;0;0;0;1;0;0
2020-06-22 08:30:00;44;34;6;6;4;4;20;27;30;0;0;1;0;0;2;0;0
2020-06-22 08:45:00;43;36;10;6;8;5;23;32;35;3;2;0;0;0;0;0;0
2020-06-22 09:00:00;37;28;12;7;6;3;24;32;31;2;1;0;0;0;0;0;0
2020-06-22 09:15:00;52;57;14;8;9;6;33;37;37;2;2;2;0;0;0;0;0
2020-06-22 09:30:00;47;47;18;6;10;4;31;45;46;5;3;0;0;0;1;0;0
2020-06-22 09:45:00;50;56;15;13;6;6;38;52;56;9;7;0;0;0;3;0;0
2020-06-22 10:00:00;58;43;23;12;10;7;36;58;57;6;3;3;0;0;3;0;0
2020-06-22 10:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-22 10:30:00;47;44;26;20;13;13;38;55;54;19;10;2;0;0;0;0;0
2020-06-22 10:45:00;63;50;29;14;11;13;41;60;62;19;13;2;0;0;5;0;0
