DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2020-12-03 12:45:00;106;126;12;25;110;119;15;35;21;22;18;18;15;127;137;0;0;0;0;0;0;0;0
2020-12-03 13:00:00;139;128;10;34;107;117;13;23;43;16;18;16;18;154;138;0;0;0;0;0;0;0;0
2020-12-03 13:15:00;131;141;12;32;111;121;7;24;38;20;18;17;17;161;129;0;0;0;0;2;0;0;0
2020-12-03 13:30:00;124;125;9;35;100;119;12;39;31;14;13;12;14;149;138;0;0;0;0;0;0;0;0
2020-12-03 13:45:00;117;102;11;32;108;128;15;26;33;16;18;15;14;146;134;2;0;0;0;0;0;0;0
2020-12-03 14:00:00;128;111;9;36;113;112;13;34;26;18;16;11;9;142;147;1;0;0;0;2;0;0;0
2020-12-03 14:15:00;118;108;9;35;117;144;8;37;33;10;9;17;16;145;146;0;0;0;0;0;1;0;0
2020-12-03 14:30:00;118;119;16;31;135;136;16;35;37;11;12;12;17;141;166;1;7;0;0;2;0;0;1
2020-12-03 14:45:00;116;121;17;22;134;151;9;36;41;16;12;16;13;137;161;0;5;0;0;0;0;0;0
2020-12-03 15:00:00;128;124;17;34;152;149;8;37;30;14;17;23;21;144;164;0;0;0;0;0;5;0;0
2020-12-03 15:15:00;140;124;12;39;139;160;15;37;40;17;12;17;18;155;175;0;1;0;0;0;0;0;0
2020-12-03 15:30:00;129;133;11;41;128;132;8;43;45;21;18;18;16;139;143;0;0;0;0;2;0;0;0
2020-12-03 15:45:00;134;135;13;38;165;153;13;31;33;21;15;10;10;141;187;0;0;0;0;0;0;0;0
2020-12-03 16:00:00;135;111;11;40;155;167;12;37;40;18;38;18;23;154;176;0;0;0;0;0;1;0;0
2020-12-03 16:15:00;156;139;9;29;157;183;10;35;44;16;12;16;16;174;171;0;10;0;0;0;0;0;0
2020-12-03 16:30:00;130;123;11;29;148;159;14;49;33;10;9;17;15;141;171;0;0;0;0;9;0;0;0
2020-12-03 16:45:00;149;115;19;40;160;180;16;50;45;14;10;18;22;159;185;0;0;0;0;0;0;0;0
2020-12-03 17:00:00;149;122;9;36;142;137;12;35;55;15;12;19;18;163;176;0;0;0;0;0;0;0;0
2020-12-03 17:15:00;125;109;12;38;139;164;10;47;49;16;14;10;13;115;177;6;3;0;0;0;0;0;0
2020-12-03 17:30:00;123;122;16;30;123;139;13;31;34;8;7;11;13;138;151;0;0;0;0;0;0;0;0
2020-12-03 17:45:00;104;107;12;31;131;148;14;36;35;12;12;14;15;123;171;0;1;0;0;0;0;0;0
2020-12-03 18:00:00;111;90;13;36;127;127;10;34;26;6;10;8;8;136;146;0;0;0;0;4;0;0;1
2020-12-03 18:15:00;108;96;15;32;115;101;10;30;26;20;19;6;4;146;148;0;0;0;0;0;0;0;0
2020-12-03 18:30:00;97;76;12;14;107;107;3;29;22;15;49;6;8;117;134;0;0;0;0;0;0;0;0
2020-12-03 18:45:00;81;79;7;17;82;83;7;17;18;8;13;8;8;109;108;0;0;0;0;0;0;0;0
2020-12-03 19:00:00;97;78;8;17;93;81;9;17;19;9;17;10;10;116;128;0;0;0;0;0;0;0;0
2020-12-03 19:15:00;72;55;8;18;73;72;7;19;17;7;7;10;7;91;99;0;0;0;0;0;0;0;0
2020-12-03 19:30:00;57;49;7;16;75;60;8;22;13;10;8;7;8;71;90;0;0;0;0;0;0;0;0
2020-12-03 19:45:00;59;52;4;22;58;45;5;18;17;12;9;7;7;72;82;0;0;0;0;0;0;0;0
2020-12-03 20:00:00;52;58;7;14;52;44;3;13;15;2;3;6;4;74;68;0;0;0;0;0;0;0;0
2020-12-03 20:15:00;46;47;1;9;47;35;4;10;8;6;4;5;5;67;58;0;0;0;0;0;0;0;0
2020-12-03 20:30:00;51;45;4;12;52;35;4;9;11;6;6;8;11;66;71;0;0;0;1;0;2;0;0
2020-12-03 20:45:00;46;39;7;5;36;29;6;9;9;11;7;4;4;54;47;0;0;0;0;0;0;0;0
2020-12-03 21:00:00;67;62;2;11;44;23;1;10;8;9;9;7;8;84;55;0;0;0;0;0;0;0;0
2020-12-03 21:15:00;34;52;0;9;40;28;2;15;4;5;9;3;6;55;52;0;0;0;0;0;0;0;0
2020-12-03 21:30:00;30;35;2;2;30;23;3;8;7;4;4;5;5;47;39;0;0;0;0;0;0;0;0
2020-12-03 21:45:00;24;23;4;6;53;51;2;7;4;7;6;2;2;35;77;0;0;0;0;0;0;0;0
2020-12-03 22:00:00;23;27;0;3;49;50;2;4;3;4;5;5;4;32;70;0;0;0;0;0;0;0;0
2020-12-03 22:15:00;26;24;3;6;68;52;9;6;7;6;6;2;2;39;90;0;0;0;0;0;0;0;0
2020-12-03 22:30:00;22;18;4;2;22;18;1;6;4;3;4;5;5;31;28;0;0;0;0;0;0;0;0
2020-12-03 22:45:00;15;11;3;5;26;17;1;2;3;4;3;3;2;18;34;0;0;0;0;0;0;0;0
2020-12-03 23:00:00;24;12;0;2;15;11;1;1;1;3;2;4;4;26;20;0;0;0;0;0;0;0;0
2020-12-03 23:15:00;21;15;0;0;20;14;0;4;4;3;2;4;4;24;26;0;0;0;0;0;0;0;0
2020-12-03 23:30:00;14;18;2;2;16;7;2;1;3;3;2;4;4;15;17;0;0;0;0;0;0;0;0
2020-12-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
