DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-02-17 00:00:00;9;5;12;11;0;0
2020-02-17 00:15:00;13;5;12;9;0;0
2020-02-17 00:30:00;6;2;9;8;0;0
2020-02-17 00:45:00;10;6;5;1;0;0
2020-02-17 01:00:00;6;6;12;6;0;0
2020-02-17 01:15:00;7;4;8;6;0;0
2020-02-17 01:30:00;4;5;5;3;0;0
2020-02-17 01:45:00;5;4;5;2;0;0
2020-02-17 02:00:00;6;6;0;0;0;0
2020-02-17 02:15:00;7;5;3;2;0;0
2020-02-17 02:30:00;10;4;5;2;0;0
2020-02-17 02:45:00;4;5;3;5;0;0
2020-02-17 03:00:00;3;3;13;8;0;0
2020-02-17 03:15:00;5;4;1;3;0;0
2020-02-17 03:30:00;5;3;12;7;0;0
2020-02-17 03:45:00;2;0;12;3;0;0
2020-02-17 04:00:00;10;5;5;2;0;0
2020-02-17 04:15:00;14;8;19;8;0;0
2020-02-17 04:30:00;15;10;12;9;0;0
2020-02-17 04:45:00;19;11;61;17;0;0
2020-02-17 05:00:00;33;28;114;67;0;0
2020-02-17 05:15:00;41;48;163;138;0;0
2020-02-17 05:30:00;54;48;154;150;0;0
2020-02-17 05:45:00;65;54;147;154;0;0
2020-02-17 06:00:00;63;61;127;137;0;0
2020-02-17 06:15:00;61;67;142;148;0;0
2020-02-17 06:30:00;79;102;187;206;0;0
2020-02-17 06:45:00;69;90;165;179;4;2
2020-02-17 07:00:00;78;76;148;163;0;0
2020-02-17 07:15:00;84;90;127;146;8;4
2020-02-17 07:30:00;81;88;125;146;9;1
2020-02-17 07:45:00;83;99;126;141;7;4
2020-02-17 08:00:00;87;100;117;140;6;1
2020-02-17 08:15:00;102;95;138;133;52;0
2020-02-17 08:30:00;89;92;136;163;4;0
2020-02-17 08:45:00;87;99;137;148;2;0
2020-02-17 09:00:00;76;85;105;115;27;0
2020-02-17 09:15:00;97;75;107;114;7;0
2020-02-17 09:30:00;79;83;102;108;9;0
2020-02-17 09:45:00;96;115;118;129;6;0
2020-02-17 10:00:00;96;88;86;81;8;0
2020-02-17 10:15:00;99;99;101;100;34;20
2020-02-17 10:30:00;89;88;98;120;9;0
2020-02-17 10:45:00;110;109;134;99;11;0
2020-02-17 11:00:00;106;119;104;73;15;0
2020-02-17 11:15:00;86;95;94;90;7;0
2020-02-17 11:30:00;118;128;107;105;7;1
2020-02-17 11:45:00;110;128;109;90;21;0
2020-02-17 12:00:00;109;111;97;77;18;3
2020-02-17 12:15:00;112;144;108;77;7;4
2020-02-17 12:30:00;99;127;90;99;6;1
2020-02-17 12:45:00;112;115;114;101;4;2
2020-02-17 13:00:00;101;110;108;112;17;1
2020-02-17 13:15:00;122;122;146;171;34;5
2020-02-17 13:30:00;105;124;156;164;16;0
2020-02-17 13:45:00;121;133;128;138;6;0
2020-02-17 14:00:00;93;165;115;114;7;2
2020-02-17 14:15:00;175;196;108;107;14;4
2020-02-17 14:30:00;200;229;95;106;8;1
2020-02-17 14:45:00;155;184;106;109;5;1
2020-02-17 15:00:00;174;197;92;75;20;0
2020-02-17 15:15:00;130;204;87;85;4;0
2020-02-17 15:30:00;194;236;113;106;6;0
2020-02-17 15:45:00;190;244;101;99;4;1
2020-02-17 16:00:00;161;203;95;97;7;0
2020-02-17 16:15:00;183;221;131;132;19;6
2020-02-17 16:30:00;115;199;106;119;2;1
2020-02-17 16:45:00;41;189;100;114;5;8
2020-02-17 17:00:00;200;238;109;105;15;1
2020-02-17 17:15:00;173;225;118;116;23;4
2020-02-17 17:30:00;140;188;100;98;6;0
2020-02-17 17:45:00;176;221;116;99;19;0
2020-02-17 18:00:00;144;190;81;84;3;0
2020-02-17 18:15:00;160;172;105;81;1;0
2020-02-17 18:30:00;123;147;89;78;2;4
2020-02-17 18:45:00;85;123;69;91;6;0
2020-02-17 19:00:00;88;105;70;59;6;0
2020-02-17 19:15:00;75;102;64;61;8;0
2020-02-17 19:30:00;72;67;45;51;0;0
2020-02-17 19:45:00;59;56;59;42;0;0
2020-02-17 20:00:00;70;77;42;42;0;0
2020-02-17 20:15:00;64;83;59;48;0;0
2020-02-17 20:30:00;39;47;50;40;0;0
2020-02-17 20:45:00;35;33;65;53;0;0
2020-02-17 21:00:00;41;43;117;85;0;0
2020-02-17 21:15:00;37;46;114;101;2;0
2020-02-17 21:30:00;48;45;56;53;0;0
2020-02-17 21:45:00;92;112;37;25;0;0
2020-02-17 22:00:00;150;175;38;31;0;0
2020-02-17 22:15:00;91;98;39;27;0;0
2020-02-17 22:30:00;49;43;28;27;0;0
2020-02-17 22:45:00;20;18;20;12;0;0
2020-02-17 23:00:00;23;14;23;18;0;0
2020-02-17 23:15:00;19;13;19;14;0;0
2020-02-17 23:30:00;14;13;16;6;0;0
2020-02-17 23:45:00;12;11;22;11;0;0
