DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2019-10-31 21:00:00;24;24;42;13;4;21;0;0;1;0;0;0
2019-10-31 21:15:00;17;19;71;19;1;42;0;0;0;0;0;0
2019-10-31 21:30:00;17;20;71;12;1;49;1;0;0;0;0;0
2019-10-31 21:45:00;13;25;52;1;2;34;0;0;0;0;0;0
2019-10-31 22:00:00;11;21;50;2;4;31;0;0;0;0;0;0
2019-10-31 22:15:00;12;19;46;8;2;28;0;0;0;0;0;0
2019-10-31 22:30:00;10;14;59;13;4;33;0;0;0;0;0;0
2019-10-31 22:45:00;14;18;47;4;2;32;0;0;0;0;0;0
2019-10-31 23:00:00;9;8;42;4;6;30;0;0;0;0;0;0
2019-10-31 23:15:00;10;23;42;3;1;23;0;0;0;0;0;0
2019-10-31 23:30:00;6;7;35;4;1;25;0;0;0;0;0;0
2019-10-31 23:45:00;12;16;47;7;0;29;0;0;0;0;0;0
