DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-07-31 00:00:00;2;7;12;2;0;6;0;0;0;0;0;0
2020-07-31 00:15:00;1;5;10;1;5;8;0;0;0;0;0;0
2020-07-31 00:30:00;2;5;8;2;0;4;1;0;0;0;0;0
2020-07-31 00:45:00;4;4;8;1;0;6;0;0;0;0;0;0
2020-07-31 01:00:00;2;2;5;1;0;5;0;0;0;0;0;0
2020-07-31 01:15:00;1;3;9;1;0;5;0;0;0;0;0;0
2020-07-31 01:30:00;4;3;3;0;0;3;0;0;0;0;0;0
2020-07-31 01:45:00;1;3;6;1;0;4;0;0;0;0;0;0
2020-07-31 02:00:00;0;1;6;4;0;3;0;0;0;0;0;0
2020-07-31 02:15:00;0;0;1;3;0;4;0;0;0;0;0;0
2020-07-31 02:30:00;0;1;3;0;0;2;0;0;0;0;0;0
2020-07-31 02:45:00;1;2;3;0;0;2;0;0;0;0;0;0
2020-07-31 03:00:00;2;1;4;0;0;3;0;0;0;0;0;0
2020-07-31 03:15:00;0;0;2;0;0;2;0;0;0;0;0;0
2020-07-31 03:30:00;0;0;4;0;0;3;1;0;0;0;0;0
2020-07-31 03:45:00;1;0;1;0;0;1;0;0;0;0;0;0
2020-07-31 04:00:00;1;2;4;0;0;3;0;0;0;0;0;0
2020-07-31 04:15:00;2;4;5;0;0;1;0;0;0;0;0;0
2020-07-31 04:30:00;2;2;0;0;0;1;0;0;0;0;0;0
2020-07-31 04:45:00;1;1;5;0;0;5;0;0;0;0;0;0
2020-07-31 05:00:00;2;3;8;1;0;7;0;0;0;0;0;0
2020-07-31 05:15:00;4;4;6;1;0;5;0;0;0;0;0;0
2020-07-31 05:30:00;7;10;11;2;4;6;0;0;0;0;0;0
2020-07-31 05:45:00;14;18;23;0;4;12;0;0;0;0;0;0
2020-07-31 06:00:00;16;10;26;3;8;22;0;0;0;0;0;0
2020-07-31 06:15:00;27;36;47;12;5;28;1;0;0;0;0;0
2020-07-31 06:30:00;24;16;42;8;10;32;0;0;0;0;0;0
2020-07-31 06:45:00;30;35;52;11;7;37;0;0;0;0;0;0
2020-07-31 07:00:00;23;47;58;30;9;19;0;0;0;0;0;0
2020-07-31 07:15:00;23;65;66;30;7;33;1;0;0;0;0;0
2020-07-31 07:30:00;49;55;78;28;9;51;1;0;0;0;0;0
2020-07-31 07:45:00;58;74;78;19;9;41;1;0;1;0;0;0
2020-07-31 08:00:00;39;41;68;14;7;44;0;0;0;0;0;0
2020-07-31 08:15:00;50;48;62;12;8;45;0;0;0;1;0;0
2020-07-31 08:30:00;45;51;56;8;9;45;2;0;0;0;0;0
2020-07-31 08:45:00;38;55;69;13;4;48;4;0;0;0;0;0
2020-07-31 09:00:00;34;51;54;15;7;32;0;0;0;0;0;0
2020-07-31 09:15:00;47;65;77;13;6;50;1;0;0;0;0;0
2020-07-31 09:30:00;40;52;69;18;9;46;1;0;0;0;0;0
2020-07-31 09:45:00;41;48;69;13;6;64;1;0;0;0;0;0
2020-07-31 10:00:00;41;47;78;16;7;64;1;0;1;0;0;0
2020-07-31 10:15:00;42;50;84;15;8;63;1;0;1;0;0;0
2020-07-31 10:30:00;39;36;72;17;8;70;0;0;0;0;0;0
2020-07-31 10:45:00;34;43;84;26;12;56;1;0;0;0;0;0
2020-07-31 11:00:00;43;50;79;22;7;51;1;0;0;0;0;0
2020-07-31 11:15:00;39;50;78;15;8;58;1;0;1;0;0;0
2020-07-31 11:30:00;43;41;95;21;10;74;2;0;0;0;0;0
