DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2019-11-05 00:00:00;0;1;2;1;0;1;0;1;0;0;0;0;0
2019-11-05 00:15:00;0;1;1;1;0;1;0;0;0;0;0;0;0
2019-11-05 00:30:00;0;0;1;1;0;0;0;0;0;0;0;0;0
2019-11-05 00:45:00;1;1;2;2;0;0;0;2;0;0;0;0;0
2019-11-05 01:00:00;0;1;2;2;2;2;2;2;0;0;0;0;0
2019-11-05 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-05 01:30:00;1;1;0;0;0;1;0;0;0;0;0;0;0
2019-11-05 01:45:00;0;0;2;2;0;1;0;0;0;0;0;0;0
2019-11-05 02:00:00;1;0;1;1;1;1;1;1;0;0;0;0;0
2019-11-05 02:15:00;0;1;1;1;0;0;0;2;0;0;0;0;0
2019-11-05 02:30:00;0;1;1;1;1;0;2;0;0;0;0;0;0
2019-11-05 02:45:00;2;0;1;1;1;0;0;1;0;0;0;0;0
2019-11-05 03:00:00;1;0;3;2;2;2;2;1;0;0;0;0;0
2019-11-05 03:15:00;1;2;0;0;0;1;0;0;0;0;0;0;0
2019-11-05 03:30:00;0;2;3;3;0;1;0;0;0;0;0;0;0
2019-11-05 03:45:00;4;0;0;0;0;2;0;2;0;0;0;0;0
2019-11-05 04:00:00;0;1;2;2;0;1;0;3;0;0;0;0;0
2019-11-05 04:15:00;2;4;5;5;0;0;0;2;0;0;0;0;0
2019-11-05 04:30:00;0;2;15;15;0;0;0;7;0;0;0;0;0
2019-11-05 04:45:00;3;21;35;35;3;4;2;5;0;0;0;0;0
2019-11-05 05:00:00;3;27;75;75;3;11;3;16;0;0;0;0;0
2019-11-05 05:15:00;10;74;132;134;13;19;13;27;0;0;0;0;0
2019-11-05 05:30:00;10;77;149;149;7;23;7;16;0;0;0;0;0
2019-11-05 05:45:00;5;56;91;94;5;23;8;35;0;0;0;0;0
2019-11-05 06:00:00;8;26;49;50;4;22;4;35;0;0;0;0;0
2019-11-05 06:15:00;5;38;54;53;12;22;13;27;0;0;0;0;0
2019-11-05 06:30:00;9;43;60;61;12;23;10;27;0;0;0;0;0
2019-11-05 06:45:00;14;28;72;72;13;30;12;28;0;0;0;0;0
2019-11-05 07:00:00;4;34;77;79;19;29;21;24;0;0;0;0;0
2019-11-05 07:15:00;14;26;62;60;13;32;9;33;0;0;0;0;0
2019-11-05 07:30:00;9;17;70;70;19;39;24;34;0;0;0;0;0
2019-11-05 07:45:00;15;34;58;59;30;67;29;40;0;0;0;0;0
2019-11-05 08:00:00;5;31;60;61;29;54;30;46;0;0;0;0;0
2019-11-05 08:15:00;5;35;45;46;30;56;32;34;0;0;0;0;0
2019-11-05 08:30:00;7;30;45;45;14;46;18;35;0;0;0;0;0
2019-11-05 08:45:00;6;26;45;45;17;27;17;41;0;0;0;0;0
2019-11-05 09:00:00;7;29;32;34;12;41;12;19;0;0;0;0;0
2019-11-05 09:15:00;9;20;36;35;13;22;13;30;0;0;0;0;0
2019-11-05 09:30:00;6;29;20;21;15;28;15;29;0;0;0;0;0
2019-11-05 09:45:00;5;26;41;43;12;30;12;33;0;0;0;0;0
2019-11-05 10:00:00;8;22;38;39;10;35;11;34;0;0;0;0;0
2019-11-05 10:15:00;1;25;30;32;17;21;19;30;0;0;0;0;0
2019-11-05 10:30:00;4;24;27;25;15;33;16;30;0;0;0;0;0
2019-11-05 10:45:00;10;25;30;31;15;25;17;30;0;0;0;0;0
2019-11-05 11:00:00;3;20;28;31;16;31;13;31;0;0;0;0;0
2019-11-05 11:15:00;4;19;38;38;9;26;8;41;0;0;0;0;0
2019-11-05 11:30:00;1;24;22;24;9;28;10;37;0;0;0;0;0
2019-11-05 11:45:00;4;26;33;32;15;31;14;49;0;0;0;0;0
2019-11-05 12:00:00;4;28;23;24;15;48;16;40;0;0;0;0;0
2019-11-05 12:15:00;5;20;20;22;11;28;26;16;0;0;0;0;0
2019-11-05 12:30:00;1;31;48;49;13;30;13;24;0;0;0;0;0
2019-11-05 12:45:00;4;29;45;44;25;41;24;30;0;0;0;0;0
2019-11-05 13:00:00;4;40;57;56;22;50;26;34;0;0;0;0;0
2019-11-05 13:15:00;7;66;90;92;25;50;30;22;0;0;0;0;0
2019-11-05 13:30:00;13;65;72;71;31;66;34;26;0;0;0;0;0
2019-11-05 13:45:00;9;69;83;83;28;58;66;46;0;0;0;0;0
2019-11-05 14:00:00;6;64;53;55;27;140;27;18;0;0;0;0;0
2019-11-05 14:15:00;5;37;44;40;24;179;37;36;0;0;0;0;0
2019-11-05 14:30:00;1;38;30;29;19;78;23;21;0;0;0;0;0
2019-11-05 14:45:00;3;43;35;35;10;68;10;54;0;0;0;0;0
2019-11-05 15:00:00;2;33;45;46;12;80;18;76;0;0;0;0;0
2019-11-05 15:15:00;5;61;56;53;17;68;16;66;0;0;0;0;0
2019-11-05 15:30:00;3;39;40;40;12;71;12;49;0;0;0;0;0
2019-11-05 15:45:00;3;54;33;36;8;58;8;52;0;0;0;0;0
2019-11-05 16:00:00;2;49;25;25;16;69;14;42;0;0;0;0;0
2019-11-05 16:15:00;1;57;24;29;14;41;11;61;0;0;0;0;0
2019-11-05 16:30:00;1;49;36;37;11;48;11;35;0;0;0;0;0
2019-11-05 16:45:00;1;43;36;36;13;40;13;76;0;0;0;0;0
2019-11-05 17:00:00;1;49;25;28;15;37;16;35;0;0;0;0;0
2019-11-05 17:15:00;0;55;29;30;4;41;4;43;0;0;0;0;0
2019-11-05 17:30:00;2;53;24;25;10;34;9;32;0;0;0;0;0
2019-11-05 17:45:00;0;41;28;31;11;22;9;41;0;0;0;0;0
2019-11-05 18:00:00;1;42;19;23;8;23;5;36;0;0;0;0;0
2019-11-05 18:15:00;2;32;11;13;10;20;7;35;0;0;0;0;0
2019-11-05 18:30:00;1;29;18;17;10;22;9;47;0;0;0;0;0
2019-11-05 18:45:00;0;33;14;15;9;23;13;25;0;0;0;0;0
2019-11-05 19:00:00;1;18;17;17;5;22;5;32;0;0;0;0;0
2019-11-05 19:15:00;2;22;8;8;9;19;8;17;0;0;0;0;0
2019-11-05 19:30:00;0;20;8;7;4;9;2;17;0;0;0;0;0
2019-11-05 19:45:00;1;25;7;8;8;11;7;12;0;0;0;0;0
2019-11-05 20:00:00;1;17;7;7;6;11;7;11;0;0;0;0;0
2019-11-05 20:15:00;0;15;11;13;3;10;2;9;0;0;0;0;0
2019-11-05 20:30:00;0;14;19;19;5;13;5;11;0;0;0;0;0
2019-11-05 20:45:00;2;16;29;30;11;11;8;16;0;0;0;0;0
2019-11-05 21:00:00;2;28;58;57;5;6;4;15;0;0;0;0;0
2019-11-05 21:15:00;0;43;64;64;7;11;4;20;0;0;0;0;0
2019-11-05 21:30:00;0;25;38;38;5;23;5;31;0;0;0;0;0
2019-11-05 21:45:00;2;31;21;20;12;69;13;27;0;0;0;0;0
2019-11-05 22:00:00;0;40;28;29;15;94;12;30;0;0;0;0;0
2019-11-05 22:15:00;0;20;7;8;11;34;10;33;0;0;0;0;0
2019-11-05 22:30:00;0;6;7;7;6;13;6;10;0;0;0;0;0
2019-11-05 22:45:00;1;13;2;3;6;2;4;3;0;0;0;0;0
2019-11-05 23:00:00;0;11;2;2;2;10;2;1;0;0;0;0;0
2019-11-05 23:15:00;0;6;2;2;1;5;0;5;0;0;0;0;0
2019-11-05 23:30:00;0;7;3;3;0;3;0;2;0;0;0;0;0
2019-11-05 23:45:00;0;5;1;2;3;8;3;6;0;0;0;0;0
