DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-08-06 00:00:00;32;6;4;0;0;0;0;0;0;0
2020-08-06 00:15:00;49;6;5;0;1;0;0;0;0;0
2020-08-06 00:30:00;54;3;5;0;0;0;0;0;0;0
2020-08-06 00:45:00;60;7;4;0;0;0;0;0;0;0
2020-08-06 01:00:00;62;2;1;0;0;0;0;0;0;0
2020-08-06 01:15:00;57;2;0;0;0;0;0;0;0;0
2020-08-06 01:30:00;67;3;2;0;0;0;0;0;0;0
2020-08-06 01:45:00;45;0;1;0;0;0;0;0;0;0
2020-08-06 02:00:00;65;2;0;0;0;0;0;0;0;0
2020-08-06 02:15:00;52;2;3;0;0;0;0;0;0;0
2020-08-06 02:30:00;67;1;3;0;0;0;0;0;0;0
2020-08-06 02:45:00;67;1;1;0;0;0;0;0;0;0
2020-08-06 03:00:00;62;3;2;0;0;0;0;0;0;0
2020-08-06 03:15:00;56;2;0;0;0;0;0;0;0;0
2020-08-06 03:30:00;66;3;2;0;0;0;0;0;0;0
2020-08-06 03:45:00;62;3;1;0;0;0;0;0;0;0
2020-08-06 04:00:00;61;3;2;0;0;0;0;0;0;0
2020-08-06 04:15:00;52;1;1;0;0;0;0;0;0;0
2020-08-06 04:30:00;85;4;1;0;1;0;0;0;0;0
2020-08-06 04:45:00;64;2;2;0;0;0;0;0;0;0
2020-08-06 05:00:00;83;3;10;0;1;0;0;0;0;0
2020-08-06 05:15:00;56;9;19;0;1;0;0;0;0;0
2020-08-06 05:30:00;75;33;32;0;0;0;0;2;0;0
2020-08-06 05:45:00;67;31;35;0;0;0;0;0;0;0
2020-08-06 06:00:00;71;34;37;0;0;0;0;0;0;0
2020-08-06 06:15:00;86;35;53;0;0;0;0;1;0;0
2020-08-06 06:30:00;51;41;56;0;1;0;0;0;0;0
2020-08-06 06:45:00;58;54;63;0;3;0;0;2;0;0
2020-08-06 07:00:00;73;46;54;0;0;3;1;0;0;0
2020-08-06 07:15:00;51;54;60;0;2;0;0;0;0;0
2020-08-06 07:30:00;77;66;74;0;1;0;0;0;1;0
2020-08-06 07:45:00;60;60;64;0;1;0;0;0;0;0
2020-08-06 08:00:00;69;60;71;0;1;0;0;0;0;0
2020-08-06 08:15:00;65;59;68;0;4;0;0;0;0;0
2020-08-06 08:30:00;51;68;57;0;0;2;1;0;0;0
2020-08-06 08:45:00;83;81;57;0;2;1;0;0;0;0
