DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2020-11-05 00:00:00;1;2;1;1;0;0;0;0;0;0
2020-11-05 00:15:00;5;4;1;1;6;1;0;0;0;0
2020-11-05 00:30:00;0;0;0;1;1;2;0;0;0;0
2020-11-05 00:45:00;0;4;0;0;3;1;0;0;0;0
2020-11-05 01:00:00;1;1;1;1;0;0;0;0;0;0
2020-11-05 01:15:00;1;2;1;1;0;0;0;0;0;0
2020-11-05 01:30:00;0;0;0;2;2;2;0;0;0;0
2020-11-05 01:45:00;0;0;1;1;0;1;0;0;0;0
2020-11-05 02:00:00;3;1;0;0;0;0;0;0;0;0
2020-11-05 02:15:00;1;2;0;1;0;0;0;0;0;0
2020-11-05 02:30:00;1;1;0;0;2;1;0;0;0;0
2020-11-05 02:45:00;1;0;1;0;1;1;0;0;0;0
2020-11-05 03:00:00;2;1;0;0;0;2;0;0;0;0
2020-11-05 03:15:00;0;0;0;0;1;1;0;0;0;0
2020-11-05 03:30:00;1;1;0;0;0;0;0;0;0;0
2020-11-05 03:45:00;0;0;0;0;0;0;0;0;0;0
2020-11-05 04:00:00;0;0;0;0;3;0;0;0;0;0
2020-11-05 04:15:00;1;0;1;0;1;1;0;0;0;0
2020-11-05 04:30:00;1;0;1;2;0;2;0;0;0;0
2020-11-05 04:45:00;0;0;0;2;1;0;0;0;0;0
2020-11-05 05:00:00;2;2;1;0;2;3;0;0;0;0
2020-11-05 05:15:00;0;7;3;1;1;4;0;0;0;0
2020-11-05 05:30:00;4;8;3;9;8;5;0;0;0;0
2020-11-05 05:45:00;7;8;7;9;16;24;0;0;0;0
2020-11-05 06:00:00;11;19;13;7;13;23;0;0;0;0
2020-11-05 06:15:00;14;21;14;12;16;15;0;0;0;0
2020-11-05 06:30:00;13;18;18;10;33;20;0;0;0;0
2020-11-05 06:45:00;15;34;22;20;35;49;0;0;0;0
2020-11-05 07:00:00;13;20;31;14;23;48;0;0;0;0
2020-11-05 07:15:00;27;27;27;20;41;57;0;0;0;0
2020-11-05 07:30:00;17;25;38;18;33;40;0;0;0;0
2020-11-05 07:45:00;12;27;39;24;39;45;0;0;0;0
2020-11-05 08:00:00;31;34;22;24;32;37;0;0;0;0
2020-11-05 08:15:00;19;24;24;18;30;41;0;0;0;0
2020-11-05 08:30:00;23;18;23;26;28;33;0;0;0;0
2020-11-05 08:45:00;16;17;21;30;30;27;0;0;0;0
2020-11-05 09:00:00;22;20;15;35;21;18;0;0;0;0
2020-11-05 09:15:00;17;26;26;38;23;37;0;0;0;0
2020-11-05 09:30:00;18;31;21;41;35;34;0;0;0;0
2020-11-05 09:45:00;22;20;22;49;26;37;0;0;0;0
2020-11-05 10:00:00;21;25;21;39;23;27;0;0;0;0
2020-11-05 10:15:00;19;24;22;45;24;23;0;0;0;0
2020-11-05 10:30:00;23;23;33;46;26;24;0;0;0;0
2020-11-05 10:45:00;27;21;26;45;32;24;0;0;0;0
2020-11-05 11:00:00;33;30;22;51;21;19;0;0;0;0
2020-11-05 11:15:00;34;35;21;53;29;16;0;0;0;0
2020-11-05 11:30:00;30;32;18;42;25;21;0;0;0;0
2020-11-05 11:45:00;29;24;18;34;27;29;0;0;0;0
2020-11-05 12:00:00;45;41;29;60;26;26;0;0;0;0
2020-11-05 12:15:00;31;34;23;44;29;23;0;0;0;0
2020-11-05 12:30:00;30;47;16;41;21;20;0;0;0;0
2020-11-05 12:45:00;33;32;21;54;26;23;0;0;0;0
2020-11-05 13:00:00;37;27;31;35;29;24;0;0;0;0
2020-11-05 13:15:00;33;30;32;47;15;22;0;0;0;0
2020-11-05 13:30:00;37;26;279;46;36;32;0;0;0;0
2020-11-05 13:45:00;19;20;36;47;27;22;0;0;0;0
2020-11-05 14:00:00;28;42;22;41;24;25;0;0;0;0
2020-11-05 14:15:00;33;39;29;46;24;26;0;0;0;0
2020-11-05 14:30:00;45;70;30;51;30;31;0;0;0;0
2020-11-05 14:45:00;56;66;23;56;21;22;0;0;0;0
2020-11-05 15:00:00;55;53;26;61;21;40;0;0;0;0
2020-11-05 15:15:00;63;58;28;53;24;27;0;0;0;0
2020-11-05 15:30:00;54;55;43;60;32;35;0;0;0;0
2020-11-05 15:45:00;54;52;30;60;21;30;0;0;0;0
2020-11-05 16:00:00;51;64;27;66;30;19;0;0;0;0
2020-11-05 16:15:00;57;72;44;69;23;32;0;0;0;0
2020-11-05 16:30:00;60;66;46;57;17;20;0;0;0;0
2020-11-05 16:45:00;57;57;37;48;26;22;0;0;0;0
2020-11-05 17:00:00;35;66;23;60;18;37;0;0;0;0
2020-11-05 17:15:00;62;60;38;74;26;36;0;0;0;0
2020-11-05 17:30:00;44;49;33;58;22;23;0;0;0;0
2020-11-05 17:45:00;33;31;25;49;22;24;0;0;0;0
2020-11-05 18:00:00;45;44;26;63;14;21;0;0;0;0
2020-11-05 18:15:00;34;36;25;52;20;23;0;0;0;0
2020-11-05 18:30:00;33;18;25;29;15;18;0;0;0;0
2020-11-05 18:45:00;26;20;16;28;15;20;0;0;0;0
2020-11-05 19:00:00;31;18;8;33;9;16;0;0;0;0
2020-11-05 19:15:00;22;20;14;35;8;12;0;0;0;0
2020-11-05 19:30:00;17;20;10;16;15;29;0;0;0;0
2020-11-05 19:45:00;19;13;15;18;6;15;0;0;0;0
2020-11-05 20:00:00;19;13;9;18;12;10;0;0;0;0
2020-11-05 20:15:00;19;11;8;21;6;5;0;0;0;0
2020-11-05 20:30:00;15;12;5;16;6;8;0;0;0;0
2020-11-05 20:45:00;13;16;9;15;6;6;0;0;0;0
2020-11-05 21:00:00;11;6;6;19;6;4;0;0;0;0
2020-11-05 21:15:00;15;4;4;12;1;8;0;0;0;0
2020-11-05 21:30:00;6;8;4;3;2;4;0;0;0;0
2020-11-05 21:45:00;4;8;5;12;6;6;0;0;0;0
2020-11-05 22:00:00;10;11;2;6;2;5;0;0;0;0
2020-11-05 22:15:00;7;1;1;5;4;6;0;0;0;0
2020-11-05 22:30:00;6;5;7;6;1;2;0;0;0;0
2020-11-05 22:45:00;6;9;4;11;4;3;0;0;0;0
2020-11-05 23:00:00;6;2;3;3;3;1;0;0;0;0
2020-11-05 23:15:00;1;6;1;1;1;1;0;0;0;0
2020-11-05 23:30:00;0;3;2;2;2;0;0;0;0;0
2020-11-05 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
