DATUM;1(DA1);2(DA2RES);3(DB1);4(DC1);5(DC2RES);6(DD1);7(TAFBA);8(TAFGB);9(TAFBB);10(TAFBC);11(TAFGD);12(TAFBD);13(TAFGB2);14(TAFBB2)
2020-10-02 00:00:00;0;0;3;0;0;6;0;0;0;0;0;0;0;0
2020-10-02 00:15:00;1;0;5;0;0;13;0;0;0;0;0;0;0;0
2020-10-02 00:30:00;2;0;4;0;0;9;0;0;0;0;0;0;0;0
2020-10-02 00:45:00;0;0;5;0;0;9;0;0;0;0;0;0;0;0
2020-10-02 01:00:00;0;0;3;0;0;7;0;0;0;0;0;0;0;0
2020-10-02 01:15:00;0;0;4;0;0;9;0;0;0;0;0;0;0;0
2020-10-02 01:30:00;0;0;2;0;0;5;0;0;0;0;0;0;0;0
2020-10-02 01:45:00;0;0;3;1;1;4;0;0;0;0;0;0;0;0
2020-10-02 02:00:00;0;0;4;0;0;7;0;0;0;0;0;0;0;0
2020-10-02 02:15:00;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-10-02 02:30:00;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-10-02 02:45:00;0;0;2;0;0;5;0;0;0;0;0;0;0;0
2020-10-02 03:00:00;0;0;6;0;0;3;0;0;0;0;0;0;0;0
2020-10-02 03:15:00;2;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-10-02 03:30:00;0;0;2;0;0;4;0;0;0;0;0;0;0;0
2020-10-02 03:45:00;0;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-10-02 04:00:00;0;0;3;0;0;1;0;0;0;0;0;0;0;0
2020-10-02 04:15:00;0;0;4;0;0;1;0;0;0;0;0;0;0;0
2020-10-02 04:30:00;0;0;10;0;1;8;0;0;0;0;0;0;0;0
2020-10-02 04:45:00;0;0;30;0;1;7;0;0;0;0;0;0;0;0
2020-10-02 05:00:00;2;0;58;3;3;9;0;0;0;0;0;0;0;0
2020-10-02 05:15:00;1;0;124;1;2;10;0;0;0;0;0;0;0;0
2020-10-02 05:30:00;0;0;139;4;5;15;0;0;0;0;0;0;0;0
2020-10-02 05:45:00;2;0;127;1;3;59;0;0;0;0;0;0;0;0
2020-10-02 06:00:00;0;0;106;2;3;67;0;0;0;0;0;0;0;0
2020-10-02 06:15:00;1;0;153;4;4;62;0;0;0;0;0;0;0;0
2020-10-02 06:30:00;2;0;273;7;7;56;0;0;0;0;0;0;0;0
