DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-04-25 00:00:00;11;4;8;2;5;2;2
2020-04-25 00:15:00;12;5;14;3;5;3;3
2020-04-25 00:30:00;16;5;11;4;2;3;4
2020-04-25 00:45:00;10;3;6;4;6;8;4
2020-04-25 01:00:00;13;3;10;0;0;1;4
2020-04-25 01:15:00;10;4;5;0;2;3;4
2020-04-25 01:30:00;4;2;7;2;2;2;2
2020-04-25 01:45:00;2;0;7;2;6;3;3
2020-04-25 02:00:00;7;2;7;2;1;3;3
2020-04-25 02:15:00;9;3;7;3;5;5;5
2020-04-25 02:30:00;7;0;5;1;1;3;1
2020-04-25 02:45:00;8;1;4;1;4;6;8
2020-04-25 03:00:00;10;3;5;0;2;4;4
2020-04-25 03:15:00;6;4;5;0;3;7;2
2020-04-25 03:30:00;3;2;4;1;4;3;1
2020-04-25 03:45:00;7;0;8;3;2;7;2
2020-04-25 04:00:00;1;0;3;0;1;8;6
2020-04-25 04:15:00;2;1;7;1;4;2;3
2020-04-25 04:30:00;4;4;4;4;3;1;1
2020-04-25 04:45:00;5;3;8;2;1;4;1
2020-04-25 05:00:00;5;7;9;2;2;0;0
2020-04-25 05:15:00;13;4;16;4;3;3;2
2020-04-25 05:30:00;15;6;15;2;0;0;0
2020-04-25 05:45:00;21;12;16;4;2;3;1
2020-04-25 06:00:00;20;7;17;6;1;0;1
2020-04-25 06:15:00;13;17;28;7;1;0;0
2020-04-25 06:30:00;13;16;28;4;2;0;0
2020-04-25 06:45:00;23;20;27;6;5;1;0
2020-04-25 07:00:00;18;22;20;9;1;1;1
2020-04-25 07:15:00;36;16;33;9;4;3;2
2020-04-25 07:30:00;40;23;34;10;6;1;0
2020-04-25 07:45:00;52;34;48;23;2;0;1
2020-04-25 08:00:00;42;25;47;9;3;1;0
2020-04-25 08:15:00;42;30;65;33;4;0;0
2020-04-25 08:30:00;39;32;66;26;2;1;1
2020-04-25 08:45:00;66;46;80;23;4;3;0
2020-04-25 09:00:00;53;38;67;20;4;1;1
2020-04-25 09:15:00;66;49;88;35;3;2;1
2020-04-25 09:30:00;62;37;77;38;6;0;2
2020-04-25 09:45:00;88;49;98;51;3;2;1
2020-04-25 10:00:00;63;56;93;44;4;0;0
2020-04-25 10:15:00;86;71;99;43;8;1;0
2020-04-25 10:30:00;92;59;104;51;6;0;0
2020-04-25 10:45:00;118;80;125;60;8;1;1
2020-04-25 11:00:00;96;64;119;69;4;1;3
2020-04-25 11:15:00;94;78;127;59;8;2;2
2020-04-25 11:30:00;81;65;103;37;2;1;0
2020-04-25 11:45:00;91;67;122;56;2;1;4
2020-04-25 12:00:00;90;80;114;46;7;0;0
2020-04-25 12:15:00;90;73;139;54;11;1;1
2020-04-25 12:30:00;98;73;102;52;5;1;0
2020-04-25 12:45:00;100;77;151;74;7;1;1
2020-04-25 13:00:00;101;80;132;61;6;1;1
2020-04-25 13:15:00;91;96;116;49;6;0;1
2020-04-25 13:30:00;97;64;108;45;9;0;2
2020-04-25 13:45:00;100;101;153;62;6;1;1
2020-04-25 14:00:00;91;64;124;57;9;0;0
2020-04-25 14:15:00;106;57;136;64;2;0;1
2020-04-25 14:30:00;90;75;111;46;8;0;0
2020-04-25 14:45:00;91;92;122;59;6;0;2
2020-04-25 15:00:00;99;61;99;54;4;1;0
2020-04-25 15:15:00;92;79;123;51;6;0;0
2020-04-25 15:30:00;84;64;93;44;3;1;1
2020-04-25 15:45:00;87;62;120;60;7;0;0
2020-04-25 16:00:00;92;65;98;50;3;1;1
2020-04-25 16:15:00;101;67;117;48;1;3;1
2020-04-25 16:30:00;98;69;95;39;4;0;0
2020-04-25 16:45:00;90;56;105;59;3;0;1
2020-04-25 17:00:00;87;63;107;42;5;1;0
2020-04-25 17:15:00;83;63;113;60;5;0;1
2020-04-25 17:30:00;83;62;109;62;1;2;0
2020-04-25 17:45:00;97;55;101;40;5;0;0
2020-04-25 18:00:00;74;51;88;48;4;2;2
2020-04-25 18:15:00;97;67;113;49;3;0;0
2020-04-25 18:30:00;81;61;99;44;7;1;0
2020-04-25 18:45:00;86;56;107;42;3;0;0
2020-04-25 19:00:00;79;50;83;27;4;2;0
2020-04-25 19:15:00;82;59;95;45;5;1;0
2020-04-25 19:30:00;69;53;82;26;1;2;0
2020-04-25 19:45:00;58;37;89;31;3;0;0
2020-04-25 20:00:00;55;50;82;37;3;0;2
2020-04-25 20:15:00;62;39;82;26;3;0;0
2020-04-25 20:30:00;42;36;57;32;1;2;0
2020-04-25 20:45:00;42;33;55;17;1;0;0
2020-04-25 21:00:00;35;26;45;9;1;0;0
2020-04-25 21:15:00;31;28;49;16;1;0;0
2020-04-25 21:30:00;23;19;46;15;1;0;0
2020-04-25 21:45:00;27;18;35;14;1;1;0
2020-04-25 22:00:00;21;20;34;9;0;0;0
2020-04-25 22:15:00;26;21;40;11;1;0;0
2020-04-25 22:30:00;20;15;25;8;1;0;0
2020-04-25 22:45:00;28;12;18;9;0;0;0
2020-04-25 23:00:00;11;13;24;10;0;0;0
2020-04-25 23:15:00;23;8;25;8;0;0;0
2020-04-25 23:30:00;12;13;13;6;1;0;0
2020-04-25 23:45:00;19;11;13;2;1;0;1
