DATUM;1(TAFGA);2(TAFBA)
2019-08-22 00:00:00;0;0
2019-08-22 00:15:00;0;0
2019-08-22 00:30:00;0;0
2019-08-22 00:45:00;0;0
2019-08-22 01:00:00;0;0
2019-08-22 01:15:00;0;0
2019-08-22 01:30:00;0;0
2019-08-22 01:45:00;0;0
2019-08-22 02:00:00;0;0
2019-08-22 02:15:00;0;0
2019-08-22 02:30:00;0;0
2019-08-22 02:45:00;0;0
2019-08-22 03:00:00;0;0
2019-08-22 03:15:00;0;0
2019-08-22 03:30:00;0;0
2019-08-22 03:45:00;0;0
2019-08-22 04:00:00;0;0
2019-08-22 04:15:00;0;0
2019-08-22 04:30:00;0;0
2019-08-22 04:45:00;0;0
2019-08-22 05:00:00;0;0
2019-08-22 05:15:00;0;0
2019-08-22 05:30:00;1;0
2019-08-22 05:45:00;3;5
2019-08-22 06:00:00;2;1
2019-08-22 06:15:00;13;11
2019-08-22 06:30:00;3;0
2019-08-22 06:45:00;8;0
2019-08-22 07:00:00;8;1
2019-08-22 07:15:00;10;0
2019-08-22 07:30:00;9;2
2019-08-22 07:45:00;11;2
2019-08-22 08:00:00;12;0
2019-08-22 08:15:00;14;5
2019-08-22 08:30:00;14;0
2019-08-22 08:45:00;10;3
2019-08-22 09:00:00;16;14
2019-08-22 09:15:00;14;2
2019-08-22 09:30:00;14;3
2019-08-22 09:45:00;12;1
2019-08-22 10:00:00;20;0
2019-08-22 10:15:00;17;2
2019-08-22 10:30:00;18;2
2019-08-22 10:45:00;17;1
2019-08-22 11:00:00;22;1
2019-08-22 11:15:00;24;4
2019-08-22 11:30:00;20;1
2019-08-22 11:45:00;20;1
2019-08-22 12:00:00;22;2
2019-08-22 12:15:00;20;5
2019-08-22 12:30:00;28;4
2019-08-22 12:45:00;29;5
2019-08-22 13:00:00;15;3
2019-08-22 13:15:00;19;5
2019-08-22 13:30:00;19;3
2019-08-22 13:45:00;27;7
2019-08-22 14:00:00;19;6
2019-08-22 14:15:00;22;10
2019-08-22 14:30:00;22;8
2019-08-22 14:45:00;16;13
2019-08-22 15:00:00;15;9
2019-08-22 15:15:00;23;7
2019-08-22 15:30:00;24;2
2019-08-22 15:45:00;24;6
2019-08-22 16:00:00;24;13
2019-08-22 16:15:00;23;2
2019-08-22 16:30:00;18;30
2019-08-22 16:45:00;21;8
2019-08-22 17:00:00;18;14
2019-08-22 17:15:00;18;6
2019-08-22 17:30:00;21;27
2019-08-22 17:45:00;18;3
2019-08-22 18:00:00;18;2
2019-08-22 18:15:00;17;6
2019-08-22 18:30:00;19;4
2019-08-22 18:45:00;14;4
2019-08-22 19:00:00;18;5
2019-08-22 19:15:00;15;6
2019-08-22 19:30:00;18;3
2019-08-22 19:45:00;16;2
2019-08-22 20:00:00;21;9
2019-08-22 20:15:00;12;3
2019-08-22 20:30:00;15;4
2019-08-22 20:45:00;5;2
2019-08-22 21:00:00;16;47
2019-08-22 21:15:00;4;0
2019-08-22 21:30:00;2;6
2019-08-22 21:45:00;6;4
2019-08-22 22:00:00;3;1
2019-08-22 22:15:00;2;0
2019-08-22 22:30:00;4;1
2019-08-22 22:45:00;3;3
2019-08-22 23:00:00;0;0
2019-08-22 23:15:00;0;0
2019-08-22 23:30:00;0;0
2019-08-22 23:45:00;0;0
