DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-06-23 00:00:00;0;1;0;0;0;0;0;0;0;0;0;0
2020-06-23 00:15:00;1;2;0;1;1;0;0;0;0;0;0;0
2020-06-23 00:30:00;1;0;0;0;2;1;0;0;0;0;0;0
2020-06-23 00:45:00;0;0;0;2;2;1;0;0;0;0;0;0
2020-06-23 01:00:00;0;1;0;0;2;0;0;0;0;0;0;0
2020-06-23 01:15:00;0;1;0;1;3;0;0;0;0;0;0;0
2020-06-23 01:30:00;1;0;0;0;1;0;0;0;0;0;0;0
2020-06-23 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-23 02:00:00;1;3;0;1;2;1;0;0;0;0;0;0
2020-06-23 02:15:00;0;3;0;0;0;0;0;0;0;0;0;0
2020-06-23 02:30:00;0;1;0;0;0;0;0;0;0;0;0;0
2020-06-23 02:45:00;0;2;0;0;0;0;0;0;0;0;0;0
2020-06-23 03:00:00;1;1;0;0;2;0;0;0;0;0;0;0
2020-06-23 03:15:00;3;5;0;0;0;0;0;0;0;0;0;0
2020-06-23 03:30:00;0;3;0;0;2;0;0;0;0;0;0;0
2020-06-23 03:45:00;2;1;0;0;0;0;0;0;0;0;0;0
2020-06-23 04:00:00;1;1;0;0;2;1;0;0;0;0;0;0
2020-06-23 04:15:00;1;2;1;3;1;0;0;0;0;0;0;0
2020-06-23 04:30:00;0;0;0;2;2;0;0;0;0;0;0;0
2020-06-23 04:45:00;2;1;0;0;0;0;0;0;0;0;0;0
2020-06-23 05:00:00;4;3;0;3;2;0;0;0;0;0;0;0
2020-06-23 05:15:00;1;1;0;4;6;0;0;0;0;0;0;0
2020-06-23 05:30:00;1;1;2;10;8;1;0;0;0;0;0;0
2020-06-23 05:45:00;4;5;1;9;13;0;0;0;0;0;0;0
2020-06-23 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-23 06:15:00;6;3;0;32;17;4;0;0;0;0;0;0
2020-06-23 06:30:00;5;7;0;31;31;8;0;0;0;0;0;0
2020-06-23 06:45:00;9;16;0;69;39;1;0;0;0;0;0;0
2020-06-23 07:00:00;9;9;0;58;30;6;0;0;0;0;0;0
2020-06-23 07:15:00;13;18;2;47;29;4;0;0;0;0;0;0
