DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-12-13 00:00:00;6;4;5;3;2;0;3;2
2019-12-13 00:15:00;7;5;4;2;2;7;20;7
2019-12-13 00:30:00;2;5;2;5;2;12;16;5
2019-12-13 00:45:00;13;9;5;1;3;2;12;4
2019-12-13 01:00:00;6;4;0;0;0;2;6;4
2019-12-13 01:15:00;7;7;5;3;1;2;7;3
2019-12-13 01:30:00;5;5;1;2;0;2;5;2
2019-12-13 01:45:00;1;3;3;3;5;3;6;2
2019-12-13 02:00:00;4;5;1;5;3;0;4;0
2019-12-13 02:15:00;2;0;0;0;1;1;6;1
2019-12-13 02:30:00;5;2;0;2;3;5;6;0
2019-12-13 02:45:00;1;1;1;3;2;2;1;0
2019-12-13 03:00:00;4;0;0;2;2;1;3;2
2019-12-13 03:15:00;1;2;0;1;3;1;5;0
2019-12-13 03:30:00;7;3;0;2;3;3;3;0
2019-12-13 03:45:00;2;2;1;2;0;2;3;1
2019-12-13 04:00:00;2;2;0;2;2;3;1;0
2019-12-13 04:15:00;5;2;2;1;7;3;3;1
2019-12-13 04:30:00;5;3;3;4;6;3;6;0
2019-12-13 04:45:00;9;11;10;4;6;5;12;5
2019-12-13 05:00:00;12;13;16;10;4;12;11;6
2019-12-13 05:15:00;15;33;53;4;5;22;45;9
2019-12-13 05:30:00;18;33;56;14;9;24;42;19
2019-12-13 05:45:00;45;43;57;33;20;25;42;23
2019-12-13 06:00:00;30;28;53;27;19;17;26;17
2019-12-13 06:15:00;42;36;66;17;16;26;34;24
2019-12-13 06:30:00;67;42;58;18;16;27;50;27
2019-12-13 06:45:00;59;49;99;18;14;36;31;41
2019-12-13 07:00:00;89;45;76;19;81;40;68;45
2019-12-13 07:15:00;106;56;68;31;66;39;57;64
2019-12-13 07:30:00;119;86;92;30;58;50;67;53
2019-12-13 07:45:00;123;92;93;25;37;70;82;79
2019-12-13 08:00:00;106;77;95;31;56;50;61;48
2019-12-13 08:15:00;105;68;74;25;49;44;69;47
2019-12-13 08:30:00;74;59;59;39;40;44;65;45
2019-12-13 08:45:00;68;60;47;33;39;34;63;42
2019-12-13 09:00:00;54;38;34;39;82;30;69;48
2019-12-13 09:15:00;58;58;37;24;45;35;51;38
2019-12-13 09:30:00;55;43;24;32;43;32;45;35
2019-12-13 09:45:00;69;43;32;25;37;29;63;42
2019-12-13 10:00:00;74;53;25;22;31;27;61;37
