DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-08-30 00:00:00;5;6;5;19;9;3;0;0;0;0;0;0;0
2019-08-30 00:15:00;3;12;13;20;6;2;0;0;0;0;0;0;0
2019-08-30 00:30:00;1;5;4;13;6;2;0;0;0;0;0;0;0
2019-08-30 00:45:00;5;6;4;14;3;2;0;0;0;0;0;0;0
2019-08-30 01:00:00;1;3;4;17;8;1;0;0;0;0;0;0;0
2019-08-30 01:15:00;3;9;8;8;7;0;0;0;0;0;0;0;0
2019-08-30 01:30:00;2;3;3;6;3;1;0;0;0;0;0;0;0
2019-08-30 01:45:00;4;4;3;7;3;1;0;0;0;0;0;0;0
2019-08-30 02:00:00;1;3;2;2;4;0;0;0;0;0;0;0;0
2019-08-30 02:15:00;1;3;4;11;5;2;0;0;0;0;0;0;0
2019-08-30 02:30:00;1;2;1;4;3;0;0;0;0;0;0;0;0
2019-08-30 02:45:00;0;2;4;9;4;0;0;0;0;0;0;0;0
2019-08-30 03:00:00;3;3;4;6;4;0;0;0;0;0;0;0;0
2019-08-30 03:15:00;3;5;2;5;4;1;0;0;0;0;0;0;0
2019-08-30 03:30:00;0;3;2;1;0;0;0;0;0;0;0;0;0
2019-08-30 03:45:00;3;3;3;4;5;0;0;0;0;0;0;0;0
2019-08-30 04:00:00;1;4;3;9;4;0;0;0;0;0;0;0;0
2019-08-30 04:15:00;1;8;8;14;10;0;0;0;0;0;0;0;0
2019-08-30 04:30:00;4;14;5;13;4;0;0;0;0;0;0;0;0
2019-08-30 04:45:00;6;9;6;23;19;0;0;0;0;0;0;0;0
2019-08-30 05:00:00;5;14;3;38;28;1;0;0;0;0;0;0;0
2019-08-30 05:15:00;10;24;5;71;65;0;0;0;0;0;0;0;0
2019-08-30 05:30:00;17;35;12;53;57;7;0;0;0;0;0;0;0
2019-08-30 05:45:00;30;54;16;76;80;2;0;0;1;0;0;0;0
2019-08-30 06:00:00;35;46;26;76;61;3;0;1;0;0;0;0;0
2019-08-30 06:15:00;30;49;29;70;72;3;0;0;0;0;0;0;0
2019-08-30 06:30:00;26;42;29;104;117;7;0;0;2;1;0;0;0
2019-08-30 06:45:00;22;51;36;106;111;7;0;1;3;0;0;0;0
