DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2020-03-13 00:00:00;10;4;6;3;3;5;7;5;0;0;0;0;0;0
2020-03-13 00:15:00;8;10;4;2;7;6;1;1;0;0;0;0;0;0
2020-03-13 00:30:00;7;8;4;2;4;6;2;1;0;0;0;0;0;0
2020-03-13 00:45:00;8;2;7;1;6;7;4;3;0;0;0;0;0;0
2020-03-13 01:00:00;11;9;4;0;4;4;0;1;0;0;0;0;0;0
2020-03-13 01:15:00;7;4;4;1;3;8;2;2;0;0;0;0;0;0
2020-03-13 01:30:00;9;3;0;0;5;3;3;2;0;0;0;0;0;0
2020-03-13 01:45:00;4;0;3;1;6;4;1;0;0;0;0;0;0;0
2020-03-13 02:00:00;7;2;2;1;8;5;3;2;0;0;0;0;0;0
2020-03-13 02:15:00;1;3;3;0;2;6;0;1;0;0;0;0;0;0
2020-03-13 02:30:00;5;2;4;0;4;5;3;2;0;0;0;0;0;0
2020-03-13 02:45:00;3;2;4;0;5;3;2;0;0;0;0;0;0;0
2020-03-13 03:00:00;9;4;3;1;3;6;3;1;0;0;0;0;0;0
2020-03-13 03:15:00;5;0;4;0;3;3;3;2;0;0;0;0;0;0
2020-03-13 03:30:00;6;4;2;1;2;3;3;1;0;0;0;0;0;0
2020-03-13 03:45:00;3;3;5;1;3;6;1;1;0;0;0;0;0;0
2020-03-13 04:00:00;7;2;0;0;3;6;2;4;0;0;0;0;0;0
2020-03-13 04:15:00;6;2;7;1;6;5;3;4;0;0;0;0;0;0
2020-03-13 04:30:00;14;4;8;1;9;8;6;6;0;0;0;0;0;0
2020-03-13 04:45:00;15;5;18;4;10;9;6;6;0;0;0;0;0;0
2020-03-13 05:00:00;35;15;48;4;23;17;14;10;0;1;0;0;0;0
2020-03-13 05:15:00;51;22;95;5;13;23;14;18;0;0;0;0;0;0
2020-03-13 05:30:00;54;44;86;15;27;40;26;28;0;0;0;0;0;0
2020-03-13 05:45:00;67;66;75;18;37;59;66;37;0;0;0;0;0;0
2020-03-13 06:00:00;62;53;42;12;43;66;92;65;0;0;0;0;0;0
2020-03-13 06:15:00;67;64;59;13;49;79;53;32;0;0;0;0;0;0
2020-03-13 06:30:00;73;65;69;28;58;99;38;31;0;0;0;0;0;0
2020-03-13 06:45:00;75;93;78;32;74;120;20;24;0;0;1;0;0;0
2020-03-13 07:00:00;94;94;63;32;70;90;43;25;0;0;7;0;0;0
2020-03-13 07:15:00;89;104;64;34;87;94;45;29;0;0;0;0;3;0
2020-03-13 07:30:00;119;140;92;43;106;123;55;33;0;0;0;0;0;0
2020-03-13 07:45:00;111;125;94;41;103;125;47;29;0;0;0;0;0;0
2020-03-13 08:00:00;94;108;75;38;78;110;45;32;0;0;0;3;0;0
2020-03-13 08:15:00;87;94;54;29;65;96;38;24;0;0;1;0;0;3
2020-03-13 08:30:00;100;102;52;37;67;78;52;32;0;0;0;0;1;0
2020-03-13 08:45:00;90;100;49;27;67;99;40;28;0;0;0;0;0;0
2020-03-13 09:00:00;99;94;51;25;66;82;35;26;0;0;4;0;1;0
2020-03-13 09:15:00;77;92;42;27;68;97;46;30;0;0;0;0;0;0
2020-03-13 09:30:00;88;104;44;25;63;83;52;21;0;0;0;0;0;0
2020-03-13 09:45:00;101;111;41;29;74;91;57;33;0;0;0;0;0;0
2020-03-13 10:00:00;72;79;28;15;84;98;32;29;0;0;0;0;0;0
