DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-10-11 08:00:00;26;12;40;0;0;0;0;0;0
2020-10-11 08:15:00;42;21;40;1;1;0;0;0;0
2020-10-11 08:30:00;31;11;56;0;0;0;0;0;0
2020-10-11 08:45:00;41;23;77;1;1;0;0;0;0
2020-10-11 09:00:00;38;21;79;1;1;0;0;0;0
2020-10-11 09:15:00;51;28;90;0;0;0;0;0;0
2020-10-11 09:30:00;56;26;126;2;2;0;0;0;0
2020-10-11 09:45:00;55;33;109;1;1;0;0;0;0
2020-10-11 10:00:00;63;31;86;0;0;0;0;0;0
2020-10-11 10:15:00;70;37;104;1;1;1;0;0;0
2020-10-11 10:30:00;78;31;117;2;2;0;0;0;0
2020-10-11 10:45:00;79;36;113;1;1;0;0;0;0
2020-10-11 11:00:00;109;34;106;0;0;0;0;0;0
2020-10-11 11:15:00;105;39;126;2;2;0;0;0;0
2020-10-11 11:30:00;87;47;124;1;1;0;0;0;0
2020-10-11 11:45:00;116;54;131;1;1;0;0;0;0
2020-10-11 12:00:00;91;44;136;0;0;0;0;0;0
2020-10-11 12:15:00;101;40;119;1;1;3;0;0;0
2020-10-11 12:30:00;68;31;159;2;2;0;0;0;0
2020-10-11 12:45:00;84;40;168;2;2;0;0;0;0
2020-10-11 13:00:00;104;37;152;0;1;0;0;0;0
2020-10-11 13:15:00;106;52;165;0;0;1;0;0;0
2020-10-11 13:30:00;86;37;160;1;1;0;0;0;0
2020-10-11 13:45:00;128;49;162;1;1;1;0;0;0
2020-10-11 14:00:00;100;37;154;0;0;0;0;0;0
2020-10-11 14:15:00;95;42;159;0;0;1;0;0;0
2020-10-11 14:30:00;103;45;161;2;2;1;0;0;0
2020-10-11 14:45:00;114;41;165;3;3;1;0;0;0
2020-10-11 15:00:00;100;32;131;2;1;0;0;0;0
2020-10-11 15:15:00;120;32;146;1;1;0;0;0;0
