DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DC1);7(DD1);8(DD2);9(DD3);10(tafga);11(tafgc);12(tafba);13(tafbb);14(tafbc);15(tafbd)
2020-11-05 00:00:00;0;2;0;2;2;1;0;0;0;0;0;0;0;0;0
2020-11-05 00:15:00;4;3;0;2;1;2;0;2;2;0;0;0;0;0;0
2020-11-05 00:30:00;5;3;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-11-05 00:45:00;3;1;0;1;1;3;0;0;0;0;0;0;0;0;0
2020-11-05 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-05 01:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-05 01:30:00;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-05 01:45:00;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-05 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-05 02:15:00;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-05 02:30:00;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-05 02:45:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-05 03:00:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-05 03:15:00;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-05 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-05 03:45:00;4;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-11-05 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-05 04:15:00;2;3;0;3;3;1;0;0;0;0;0;0;0;0;0
2020-11-05 04:30:00;3;1;0;1;1;3;0;0;0;0;0;0;0;0;0
2020-11-05 04:45:00;2;3;0;2;3;5;0;2;2;0;0;0;0;0;0
2020-11-05 05:00:00;6;5;0;4;4;11;0;1;1;0;0;0;0;0;0
2020-11-05 05:15:00;21;11;0;9;9;16;0;2;2;0;0;0;0;0;0
2020-11-05 05:30:00;29;14;1;11;9;23;0;2;2;0;0;0;0;0;0
2020-11-05 05:45:00;41;16;0;14;13;28;0;3;3;0;0;0;0;0;0
2020-11-05 06:00:00;32;24;0;17;18;26;0;4;4;0;0;0;0;0;0
2020-11-05 06:15:00;42;16;0;15;14;28;0;7;7;0;0;0;0;0;0
2020-11-05 06:30:00;28;31;1;29;28;32;0;8;8;0;0;0;0;0;0
2020-11-05 06:45:00;32;23;1;21;22;23;0;9;8;0;0;0;0;0;0
2020-11-05 07:00:00;42;41;0;37;33;31;0;9;8;0;0;0;0;0;0
2020-11-05 07:15:00;26;23;0;21;22;28;0;8;10;1;0;0;0;0;0
2020-11-05 07:30:00;39;47;2;47;39;26;0;4;4;1;0;0;0;0;0
2020-11-05 07:45:00;37;48;0;46;39;24;0;10;8;0;0;0;0;0;0
2020-11-05 08:00:00;33;31;2;27;29;27;0;7;7;0;0;0;0;0;0
2020-11-05 08:15:00;40;36;0;37;35;31;0;6;7;1;0;0;0;0;0
2020-11-05 08:30:00;43;28;1;23;24;31;0;5;5;1;0;0;0;0;0
2020-11-05 08:45:00;30;32;0;30;26;24;0;5;8;5;0;0;0;0;0
2020-11-05 09:00:00;31;35;0;34;31;23;0;13;11;1;0;0;0;0;0
2020-11-05 09:15:00;48;28;1;26;27;19;0;13;14;0;0;0;0;0;0
2020-11-05 09:30:00;40;34;0;34;35;17;0;11;9;1;0;1;0;0;0
2020-11-05 09:45:00;48;33;1;33;30;20;0;19;14;1;0;1;0;0;0
2020-11-05 10:00:00;41;31;0;30;28;21;0;8;10;0;0;0;0;0;0
2020-11-05 10:15:00;38;33;0;28;26;20;0;11;9;0;1;0;0;0;0
2020-11-05 10:30:00;33;29;0;25;23;14;0;21;17;3;0;0;0;0;0
2020-11-05 10:45:00;40;26;1;25;28;25;0;20;19;0;0;0;0;0;0
2020-11-05 11:00:00;37;39;0;34;48;24;0;14;19;0;1;0;0;0;0
2020-11-05 11:15:00;47;23;0;22;22;22;0;9;13;0;1;0;0;0;0
2020-11-05 11:30:00;49;27;0;25;23;28;0;18;12;1;1;0;0;0;0
2020-11-05 11:45:00;54;33;0;34;32;31;0;14;11;0;0;0;0;0;0
2020-11-05 12:00:00;49;21;3;21;21;23;0;11;8;0;0;1;0;0;0
2020-11-05 12:15:00;37;23;2;24;23;18;0;14;16;0;0;0;0;0;0
2020-11-05 12:30:00;54;26;0;24;21;29;0;15;15;1;0;0;0;0;0
2020-11-05 12:45:00;43;29;1;28;27;28;0;6;5;0;0;0;0;0;0
2020-11-05 13:00:00;40;21;1;20;19;25;0;5;5;0;0;0;0;0;0
2020-11-05 13:15:00;56;29;0;28;24;25;0;12;10;0;1;0;0;0;0
2020-11-05 13:30:00;60;30;1;26;24;41;0;15;17;0;0;1;0;0;0
2020-11-05 13:45:00;70;58;2;51;37;27;0;14;11;1;0;0;0;0;12
2020-11-05 14:00:00;61;32;1;32;31;26;0;11;9;0;0;0;1;0;0
2020-11-05 14:15:00;66;40;1;39;34;25;0;9;11;3;0;0;1;0;0
2020-11-05 14:30:00;54;42;0;38;40;31;0;20;16;1;0;0;1;0;0
2020-11-05 14:45:00;60;33;3;34;33;26;0;13;16;0;1;0;0;0;0
2020-11-05 15:00:00;67;45;0;41;35;25;0;17;14;0;0;0;0;0;0
2020-11-05 15:15:00;49;41;6;42;36;24;0;21;27;0;0;0;0;0;0
2020-11-05 15:30:00;50;44;1;44;35;27;0;15;14;1;0;0;1;0;0
2020-11-05 15:45:00;55;39;3;34;31;20;0;20;18;0;0;0;0;0;0
2020-11-05 16:00:00;73;39;3;39;47;47;0;19;13;1;1;3;0;0;0
2020-11-05 16:15:00;65;46;3;46;42;28;0;15;16;0;1;0;0;0;0
2020-11-05 16:30:00;57;44;3;40;37;30;0;13;13;0;2;0;0;0;0
2020-11-05 16:45:00;71;31;0;29;27;40;0;19;20;0;0;0;0;0;0
2020-11-05 17:00:00;65;34;1;30;29;29;0;18;20;1;3;0;1;0;0
2020-11-05 17:15:00;53;35;0;32;28;31;0;14;15;0;0;0;0;0;0
2020-11-05 17:30:00;60;43;2;37;34;22;0;13;12;0;2;0;0;0;0
2020-11-05 17:45:00;47;36;0;31;27;23;0;13;13;1;0;0;0;0;0
2020-11-05 18:00:00;58;35;0;29;27;31;0;15;13;0;0;0;0;0;0
2020-11-05 18:15:00;38;29;0;27;27;19;0;9;9;0;0;0;0;0;0
2020-11-05 18:30:00;39;31;0;27;22;13;0;6;7;0;1;0;0;0;0
2020-11-05 18:45:00;34;22;0;18;17;14;0;7;5;0;0;0;0;0;0
2020-11-05 19:00:00;23;13;0;9;11;13;0;3;4;0;0;0;0;0;0
2020-11-05 19:15:00;28;19;1;18;18;12;0;5;6;1;0;0;0;0;0
2020-11-05 19:30:00;24;16;0;14;14;13;0;7;5;0;0;0;0;0;0
2020-11-05 19:45:00;20;15;0;15;13;10;0;5;5;0;0;0;0;0;0
2020-11-05 20:00:00;16;20;0;13;12;13;0;5;5;0;0;0;0;0;0
2020-11-05 20:15:00;18;18;0;16;16;9;0;4;5;0;1;0;0;0;0
2020-11-05 20:30:00;14;10;0;8;8;10;0;2;3;0;0;0;0;0;0
2020-11-05 20:45:00;17;15;0;12;12;9;0;3;3;0;0;0;0;0;0
2020-11-05 21:00:00;18;12;0;7;8;15;0;6;7;0;0;0;0;0;0
2020-11-05 21:15:00;13;12;0;12;12;10;0;1;1;0;0;0;0;0;0
2020-11-05 21:30:00;14;4;0;4;3;7;0;4;4;0;0;0;0;0;0
2020-11-05 21:45:00;8;6;0;6;6;9;0;2;2;0;0;0;0;0;0
2020-11-05 22:00:00;28;10;0;7;7;13;0;5;5;0;0;0;0;0;0
2020-11-05 22:15:00;15;9;0;7;6;11;0;2;5;0;0;0;0;0;0
2020-11-05 22:30:00;15;4;0;3;3;7;0;0;0;0;0;0;0;0;0
2020-11-05 22:45:00;5;3;0;2;2;4;0;1;1;0;0;0;0;0;0
2020-11-05 23:00:00;11;4;0;4;2;4;0;3;3;0;0;0;0;0;0
2020-11-05 23:15:00;5;6;0;5;5;1;0;2;2;0;0;0;0;0;0
2020-11-05 23:30:00;6;4;0;4;4;0;0;1;1;0;0;0;0;0;0
2020-11-05 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
