DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-06-25 00:00:00;1;3;5;0;9;0;0;0;0;0;0;0
2020-06-25 00:15:00;1;5;7;0;9;0;0;0;0;0;0;0
2020-06-25 00:30:00;0;3;4;0;10;0;0;0;0;0;0;0
2020-06-25 00:45:00;0;3;7;0;5;0;0;0;0;0;0;0
2020-06-25 01:00:00;0;8;5;0;7;0;0;0;0;0;0;0
2020-06-25 01:15:00;0;3;4;0;7;0;0;0;0;0;0;0
2020-06-25 01:30:00;2;0;1;0;7;0;0;0;0;0;0;0
2020-06-25 01:45:00;0;3;2;0;2;0;0;0;0;0;0;0
2020-06-25 02:00:00;0;1;0;0;2;0;0;0;0;0;0;0
2020-06-25 02:15:00;0;2;3;0;3;0;0;0;0;0;0;0
2020-06-25 02:30:00;0;2;3;0;7;0;0;0;0;0;0;0
2020-06-25 02:45:00;0;4;3;0;1;0;0;0;0;0;0;0
2020-06-25 03:00:00;0;3;4;0;5;0;0;0;0;0;0;0
2020-06-25 03:15:00;0;4;4;0;3;0;0;0;0;0;0;0
2020-06-25 03:30:00;1;1;1;0;2;0;0;0;0;0;0;0
2020-06-25 03:45:00;1;4;5;0;3;0;0;0;0;0;0;0
2020-06-25 04:00:00;0;1;1;0;7;0;0;0;0;0;0;0
2020-06-25 04:15:00;4;3;3;0;7;0;0;0;0;0;0;0
2020-06-25 04:30:00;0;7;7;0;13;0;0;0;0;0;0;0
2020-06-25 04:45:00;1;12;7;0;9;0;0;0;0;0;0;0
2020-06-25 05:00:00;1;20;20;0;28;0;0;0;0;0;0;0
2020-06-25 05:15:00;0;34;31;0;50;0;0;0;0;0;0;0
2020-06-25 05:30:00;7;21;21;0;65;0;0;0;0;0;0;0
2020-06-25 05:45:00;2;31;45;0;99;0;0;0;0;0;0;0
2020-06-25 06:00:00;9;37;34;0;84;0;0;0;0;0;0;0
2020-06-25 06:15:00;8;59;48;0;126;0;0;0;0;0;0;0
2020-06-25 06:30:00;3;61;34;0;165;2;0;0;0;5;1;0
2020-06-25 06:45:00;5;61;40;1;203;0;1;0;0;0;0;0
2020-06-25 07:00:00;4;50;43;3;191;3;3;0;0;60;1;0
2020-06-25 07:15:00;8;60;65;1;268;2;2;0;0;15;11;24
2020-06-25 07:30:00;10;62;47;10;269;7;5;0;1;46;7;10
2020-06-25 07:45:00;1;90;66;2;181;3;2;0;0;3;7;3
2020-06-25 08:00:00;3;50;41;2;154;3;4;0;0;22;7;4
2020-06-25 08:15:00;1;55;37;1;135;2;3;0;0;12;9;0
2020-06-25 08:30:00;2;53;41;0;150;1;1;0;0;7;4;6
2020-06-25 08:45:00;4;57;46;0;133;2;7;0;0;9;7;4
2020-06-25 09:00:00;10;68;43;0;132;0;4;0;0;23;5;0
2020-06-25 09:15:00;3;59;63;0;118;2;2;0;0;15;9;0
2020-06-25 09:30:00;6;65;41;0;116;0;1;0;0;1;4;1
2020-06-25 09:45:00;4;77;43;1;124;2;0;0;0;5;4;4
2020-06-25 10:00:00;4;57;46;0;109;2;2;0;0;20;3;3
2020-06-25 10:15:00;9;60;45;0;115;1;4;0;0;11;11;7
2020-06-25 10:30:00;7;66;49;0;101;4;1;0;0;14;4;7
2020-06-25 10:45:00;10;70;53;0;117;4;4;0;0;36;9;12
2020-06-25 11:00:00;3;63;78;0;120;2;7;0;0;36;6;11
2020-06-25 11:15:00;3;85;59;1;99;1;1;0;0;4;11;0
2020-06-25 11:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-25 11:45:00;7;72;64;4;105;3;1;0;0;2;7;9
2020-06-25 12:00:00;5;75;75;1;118;3;2;0;0;2;7;0
2020-06-25 12:15:00;2;87;73;0;107;0;7;0;0;52;7;0
2020-06-25 12:30:00;5;74;63;0;112;0;4;0;0;10;7;5
2020-06-25 12:45:00;1;69;64;0;133;0;8;0;0;52;11;0
2020-06-25 13:00:00;4;93;80;0;117;7;5;0;0;78;6;6
2020-06-25 13:15:00;5;75;56;0;97;4;1;0;0;16;2;0
2020-06-25 13:30:00;8;89;63;0;143;1;7;0;0;12;7;4
2020-06-25 13:45:00;6;77;58;0;135;14;3;0;0;34;4;0
