DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-08-25 00:00:00;3;8;3;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 00:15:00;3;3;2;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 00:30:00;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 00:45:00;4;2;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 01:00:00;5;8;2;2;3;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-08-25 01:15:00;3;1;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-08-25 01:30:00;2;1;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 01:45:00;1;3;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 02:00:00;2;3;1;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 02:15:00;2;2;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 02:30:00;2;3;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 02:45:00;4;5;2;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 03:00:00;1;1;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 03:15:00;1;5;1;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 03:30:00;1;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 03:45:00;1;3;1;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 04:00:00;3;4;1;1;1;6;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 04:15:00;3;1;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 04:30:00;4;1;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0
2020-08-25 04:45:00;8;15;2;9;10;3;7;0;0;0;1;0;0;0;0;0;0;0
2020-08-25 05:00:00;21;28;3;11;9;5;17;2;0;0;1;0;0;0;6;3;0;0
2020-08-25 05:15:00;40;76;7;22;18;5;27;0;1;1;10;8;0;0;19;0;0;0
2020-08-25 05:30:00;39;61;1;20;14;12;44;3;4;6;1;12;0;0;12;9;0;0
2020-08-25 05:45:00;41;52;6;27;16;33;69;1;1;3;4;13;0;0;29;3;0;0
2020-08-25 06:00:00;35;35;15;23;8;44;70;2;4;7;2;5;0;0;13;3;0;0
2020-08-25 06:15:00;31;34;8;14;4;29;49;0;4;7;1;6;0;0;9;0;0;1
2020-08-25 06:30:00;44;59;1;19;1;27;53;2;3;3;5;14;0;0;5;0;0;0
2020-08-25 06:45:00;43;42;8;31;3;24;55;0;4;4;4;9;0;0;18;0;0;0
2020-08-25 07:00:00;42;53;5;24;1;17;39;3;5;3;9;0;0;0;13;1;0;0
2020-08-25 07:15:00;53;45;14;21;3;29;55;5;3;2;11;2;0;0;2;0;0;0
2020-08-25 07:30:00;55;58;21;22;4;24;48;1;3;3;4;34;0;0;4;0;0;0
2020-08-25 07:45:00;42;47;16;32;1;32;67;2;3;11;9;17;0;0;6;0;0;0
2020-08-25 08:00:00;49;51;9;23;3;25;38;3;3;8;6;14;0;0;13;2;0;2
2020-08-25 08:15:00;40;36;11;18;3;36;50;3;7;5;3;14;0;1;7;0;0;0
2020-08-25 08:30:00;42;35;9;16;3;25;39;1;1;1;9;11;0;0;13;0;0;0
2020-08-25 08:45:00;36;32;14;14;4;28;39;0;3;2;2;9;0;0;5;0;0;0
2020-08-25 09:00:00;25;22;9;10;2;20;30;2;2;2;7;6;0;0;2;0;0;0
2020-08-25 09:15:00;31;29;10;17;4;23;27;3;2;2;5;9;0;0;9;0;0;0
2020-08-25 09:30:00;29;24;9;13;3;24;32;10;2;2;6;2;0;0;11;0;0;0
2020-08-25 09:45:00;32;23;21;17;5;22;32;8;2;1;2;9;0;0;0;0;0;0
2020-08-25 10:00:00;26;19;14;17;6;33;37;6;5;4;5;9;0;0;2;0;0;0
2020-08-25 10:15:00;34;25;16;12;7;24;29;5;3;2;3;8;0;0;0;0;0;0
2020-08-25 10:30:00;41;27;13;11;4;31;34;12;3;3;8;12;0;0;5;0;0;0
2020-08-25 10:45:00;31;19;13;12;4;23;37;13;1;1;4;0;0;0;7;0;0;0
2020-08-25 11:00:00;40;34;18;14;4;30;36;9;2;2;9;3;0;0;2;1;0;1
2020-08-25 11:15:00;33;18;16;9;9;28;31;8;5;4;6;26;0;0;5;3;0;0
2020-08-25 11:30:00;33;17;13;20;6;29;43;7;2;6;7;9;0;0;3;0;0;0
2020-08-25 11:45:00;33;35;17;16;2;31;44;8;2;3;6;5;0;0;4;0;0;0
2020-08-25 12:00:00;29;44;16;8;2;27;28;10;2;6;5;17;0;0;4;0;2;0
2020-08-25 12:15:00;37;43;18;12;9;31;36;10;2;2;8;5;0;0;7;0;0;0
2020-08-25 12:30:00;34;42;18;13;3;18;18;8;5;4;5;10;0;0;5;0;0;0
2020-08-25 12:45:00;27;41;21;22;5;22;19;3;1;1;1;5;0;0;6;0;3;0
2020-08-25 13:00:00;43;43;13;12;9;32;41;9;3;6;7;1;0;0;7;0;0;0
2020-08-25 13:15:00;50;65;13;16;7;26;39;14;5;3;6;6;0;0;17;0;0;0
2020-08-25 13:30:00;44;63;12;26;4;37;40;3;12;4;6;6;0;0;14;0;1;0
2020-08-25 13:45:00;58;74;22;26;8;37;58;6;14;8;9;8;0;0;26;4;0;0
2020-08-25 14:00:00;63;65;40;27;8;48;75;12;12;11;9;38;0;0;38;0;0;0
2020-08-25 14:15:00;41;34;34;24;5;83;128;14;6;9;6;16;0;0;20;2;0;0
2020-08-25 14:30:00;38;39;39;19;7;42;85;8;9;3;2;14;0;0;42;4;0;0
2020-08-25 14:45:00;44;37;28;18;8;26;82;15;1;1;4;7;0;0;6;0;0;0
2020-08-25 15:00:00;48;43;33;9;10;37;72;8;3;2;6;2;0;0;12;0;0;0
2020-08-25 15:15:00;61;54;25;18;4;44;55;11;3;3;8;16;2;0;24;0;0;0
2020-08-25 15:30:00;52;42;31;17;7;30;48;6;1;2;3;2;0;0;26;2;1;0
