DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-03-24 00:00:00;0;1;1;0;0;3;0;0;3;0;0;0;0;0;0;0;0
2020-03-24 00:15:00;0;2;1;0;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-03-24 00:30:00;0;3;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-03-24 00:45:00;0;1;0;0;0;3;0;0;3;1;0;0;0;0;0;0;0
2020-03-24 01:00:00;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-24 01:15:00;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-03-24 01:30:00;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-03-24 01:45:00;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-03-24 02:00:00;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-03-24 02:15:00;0;0;0;1;0;2;1;0;3;0;0;0;0;0;0;0;0
2020-03-24 02:30:00;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-24 02:45:00;0;1;1;0;0;4;0;0;4;3;0;0;0;0;0;0;0
2020-03-24 03:00:00;0;3;1;0;0;4;0;0;5;0;0;0;0;0;0;0;0
2020-03-24 03:15:00;0;2;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0
2020-03-24 03:30:00;0;2;0;0;0;5;0;0;4;1;0;0;0;0;0;0;0
2020-03-24 03:45:00;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-03-24 04:00:00;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-24 04:15:00;0;2;0;0;0;8;0;0;7;0;1;0;0;0;0;0;0
2020-03-24 04:30:00;0;6;0;0;0;7;0;0;6;0;0;0;0;0;0;0;0
2020-03-24 04:45:00;0;7;3;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-03-24 05:00:00;0;7;3;0;0;5;0;0;3;0;1;0;0;0;0;0;0
2020-03-24 05:15:00;2;13;4;2;1;14;2;0;17;3;0;1;0;0;0;0;0
2020-03-24 05:30:00;6;37;12;1;0;9;2;0;10;0;0;1;0;0;0;0;0
2020-03-24 05:45:00;8;31;9;2;1;26;2;1;26;4;2;3;0;0;0;0;0
2020-03-24 06:00:00;5;29;4;0;0;24;0;0;28;0;3;3;0;0;0;0;0
2020-03-24 06:15:00;5;22;14;2;1;44;2;0;44;2;2;2;0;0;0;0;0
2020-03-24 06:30:00;2;51;25;2;1;81;2;1;79;4;3;7;0;0;0;0;0
2020-03-24 06:45:00;6;46;26;6;1;78;7;1;85;8;2;6;0;0;0;0;0
2020-03-24 07:00:00;6;48;24;4;0;71;4;0;79;3;3;5;0;0;0;0;0
2020-03-24 07:15:00;2;34;16;6;2;71;8;1;74;4;3;7;0;0;0;0;0
2020-03-24 07:30:00;10;40;27;4;2;65;6;1;65;4;3;4;1;0;0;0;0
2020-03-24 07:45:00;3;44;38;9;6;81;10;2;88;9;3;1;0;0;0;0;0
2020-03-24 08:00:00;7;39;20;2;1;62;1;1;65;4;2;5;0;0;0;0;0
2020-03-24 08:15:00;3;38;22;3;3;37;3;0;39;1;0;0;1;0;0;0;0
2020-03-24 08:30:00;3;42;19;1;2;46;1;2;45;3;7;4;0;0;0;0;0
2020-03-24 08:45:00;3;42;24;1;0;49;1;0;50;2;3;5;0;0;0;0;0
2020-03-24 09:00:00;6;41;18;1;0;35;3;0;38;1;4;8;0;0;0;0;0
2020-03-24 09:15:00;5;40;17;2;1;42;1;1;42;3;2;1;0;0;0;0;0
2020-03-24 09:30:00;0;35;16;0;0;28;0;0;28;0;0;0;0;0;0;0;0
2020-03-24 09:45:00;10;45;15;0;0;39;0;0;39;2;2;3;0;0;0;0;0
2020-03-24 10:00:00;8;43;26;0;0;27;4;0;27;2;3;5;0;0;0;0;0
2020-03-24 10:15:00;2;51;28;3;0;30;3;0;32;3;3;6;0;0;0;0;0
2020-03-24 10:30:00;5;42;20;2;1;23;2;0;24;2;3;5;0;0;0;0;0
2020-03-24 10:45:00;5;47;33;2;0;37;5;0;35;3;2;5;0;0;0;0;0
2020-03-24 11:00:00;6;55;21;1;2;36;1;2;36;3;4;2;0;0;0;0;0
2020-03-24 11:15:00;5;39;21;5;2;20;2;2;21;4;4;6;0;0;0;0;0
2020-03-24 11:30:00;4;55;25;2;2;30;3;3;31;4;1;1;0;0;0;0;0
2020-03-24 11:45:00;1;47;26;4;3;40;4;1;43;2;5;2;2;0;0;0;0
2020-03-24 12:00:00;8;57;25;1;0;39;1;0;40;1;3;3;0;0;0;0;0
2020-03-24 12:15:00;8;42;24;2;0;32;2;0;30;2;3;3;0;0;0;0;0
2020-03-24 12:30:00;6;46;27;4;3;35;7;2;36;3;5;4;3;0;0;0;0
2020-03-24 12:45:00;4;48;18;1;0;24;2;0;30;1;1;2;0;0;0;0;0
2020-03-24 13:00:00;7;58;29;1;0;30;1;0;29;2;1;5;0;0;0;0;0
2020-03-24 13:15:00;9;54;40;6;1;19;5;2;25;4;6;6;0;0;0;0;0
2020-03-24 13:30:00;9;52;24;3;3;38;6;4;42;5;6;5;0;0;0;0;0
2020-03-24 13:45:00;7;56;24;1;0;41;3;0;41;3;4;8;0;0;0;0;0
2020-03-24 14:00:00;4;58;32;1;2;27;1;1;28;2;6;5;0;0;0;0;0
2020-03-24 14:15:00;3;52;21;1;1;34;0;1;37;1;4;6;0;0;0;0;0
2020-03-24 14:30:00;2;63;33;5;3;43;5;2;43;6;4;4;0;0;0;0;0
2020-03-24 14:45:00;7;59;32;2;1;38;2;0;39;4;2;4;2;0;0;0;0
2020-03-24 15:00:00;6;59;35;3;0;18;3;0;21;1;6;7;0;0;0;0;0
2020-03-24 15:15:00;10;62;30;4;4;30;4;4;24;6;9;9;0;0;0;0;0
2020-03-24 15:30:00;7;51;30;2;1;12;4;1;15;4;11;15;0;0;0;0;0
2020-03-24 15:45:00;4;86;38;1;2;25;1;1;26;2;8;6;0;0;0;0;0
2020-03-24 16:00:00;4;87;54;3;2;38;3;1;42;4;23;17;0;0;0;0;0
2020-03-24 16:15:00;13;68;44;1;1;40;2;0;39;3;12;4;0;0;0;0;0
2020-03-24 16:30:00;10;81;61;2;1;37;2;0;35;4;22;7;0;0;0;0;0
2020-03-24 16:45:00;2;74;50;4;0;34;5;0;37;4;8;12;0;0;0;0;0
2020-03-24 17:00:00;12;90;66;2;1;40;4;1;39;2;12;5;0;0;0;0;0
2020-03-24 17:15:00;6;78;44;6;2;23;6;2;23;4;6;5;1;0;0;0;0
2020-03-24 17:30:00;5;63;25;0;0;23;0;0;22;0;3;7;0;0;0;0;0
2020-03-24 17:45:00;3;56;35;3;1;31;4;0;33;4;3;6;0;0;0;0;0
2020-03-24 18:00:00;4;41;31;3;3;30;5;0;35;1;1;6;0;0;0;0;0
2020-03-24 18:15:00;5;59;19;2;0;25;1;1;28;2;2;2;0;0;0;0;0
2020-03-24 18:30:00;4;31;11;1;0;29;1;0;28;1;5;5;0;0;0;0;0
2020-03-24 18:45:00;2;31;5;2;0;22;2;0;26;2;4;7;0;0;0;0;0
2020-03-24 19:00:00;3;23;14;0;0;17;0;0;19;0;0;3;0;0;0;0;0
2020-03-24 19:15:00;2;20;8;1;1;12;1;0;10;0;1;1;0;0;0;0;0
2020-03-24 19:30:00;5;11;12;0;0;10;0;0;10;0;0;1;0;0;0;0;0
2020-03-24 19:45:00;2;17;10;2;1;21;4;1;18;2;1;1;0;0;0;0;0
2020-03-24 20:00:00;2;16;9;3;0;12;2;0;13;1;0;1;0;0;0;0;0
2020-03-24 20:15:00;2;9;9;4;2;14;4;2;13;5;0;1;0;0;0;0;0
2020-03-24 20:30:00;4;13;6;0;0;5;0;0;5;0;1;0;0;0;0;0;0
2020-03-24 20:45:00;2;6;5;0;0;9;0;0;10;0;0;2;0;0;0;0;0
2020-03-24 21:00:00;1;10;2;0;0;12;0;0;13;1;2;1;0;0;0;0;0
2020-03-24 21:15:00;1;4;2;1;1;8;1;1;8;2;0;0;0;0;0;0;0
2020-03-24 21:30:00;3;6;2;0;0;5;0;0;5;0;2;1;0;0;0;0;0
2020-03-24 21:45:00;1;6;4;0;0;6;0;0;6;0;0;0;0;0;0;0;0
