DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2019-09-02 00:00:00;0;10;2;2;1;1;14;8;0;0
2019-09-02 00:15:00;0;11;0;0;1;2;12;13;0;0
2019-09-02 00:30:00;0;12;0;1;0;3;17;4;0;0
2019-09-02 00:45:00;0;15;0;2;0;2;12;8;0;0
2019-09-02 01:00:00;0;4;1;1;0;2;9;6;0;0
2019-09-02 01:15:00;0;12;0;0;0;0;12;2;0;0
2019-09-02 01:30:00;0;6;0;0;0;0;9;2;0;0
2019-09-02 01:45:00;0;9;0;0;0;0;9;4;0;0
2019-09-02 02:00:00;0;10;0;0;0;0;8;1;0;0
2019-09-02 02:15:00;0;6;0;0;1;0;2;1;0;0
2019-09-02 02:30:00;0;9;0;0;0;1;5;2;0;0
2019-09-02 02:45:00;0;6;0;1;0;1;10;1;0;0
2019-09-02 03:00:00;0;6;0;0;0;1;9;3;0;0
2019-09-02 03:15:00;0;9;0;0;0;1;11;6;0;0
2019-09-02 03:30:00;0;3;0;0;0;1;8;4;0;0
2019-09-02 03:45:00;0;11;0;0;0;3;6;4;0;0
2019-09-02 04:00:00;0;6;0;0;1;1;10;1;0;0
2019-09-02 04:15:00;0;16;1;0;0;5;9;7;0;0
2019-09-02 04:30:00;0;14;0;0;0;11;16;12;0;0
2019-09-02 04:45:00;0;21;1;1;0;12;27;12;0;0
2019-09-02 05:00:00;0;21;4;3;4;43;35;28;0;0
2019-09-02 05:15:00;0;44;1;1;2;125;55;58;0;0
2019-09-02 05:30:00;0;63;0;4;5;141;58;82;0;0
2019-09-02 05:45:00;0;57;2;5;6;133;69;111;0;0
2019-09-02 06:00:00;0;67;24;26;21;125;49;112;0;0
2019-09-02 06:15:00;0;77;9;13;10;183;54;102;0;0
2019-09-02 06:30:00;0;96;3;7;9;238;79;145;0;0
2019-09-02 06:45:00;0;116;3;11;7;223;91;144;0;0
2019-09-02 07:00:00;0;80;13;15;17;212;107;193;0;0
2019-09-02 07:15:00;0;99;9;16;10;217;78;155;0;0
2019-09-02 07:30:00;0;136;7;16;18;248;108;183;0;0
2019-09-02 07:45:00;0;113;10;20;12;243;86;183;0;0
2019-09-02 08:00:00;0;79;6;14;15;221;79;150;0;0
2019-09-02 08:15:00;0;107;11;10;10;199;86;152;0;0
2019-09-02 08:30:00;0;105;9;17;21;153;87;168;0;0
2019-09-02 08:45:00;0;122;14;14;11;135;75;140;0;0
2019-09-02 09:00:00;0;99;13;14;19;82;81;121;0;0
2019-09-02 09:15:00;0;120;8;16;19;57;76;111;0;0
2019-09-02 09:30:00;0;100;6;14;18;64;74;116;0;0
2019-09-02 09:45:00;0;110;21;15;19;72;96;115;0;0
2019-09-02 10:00:00;0;96;18;18;19;59;93;121;0;0
2019-09-02 10:15:00;0;107;15;16;22;64;83;119;0;0
2019-09-02 10:30:00;0;104;8;17;15;55;93;119;0;0
2019-09-02 10:45:00;0;135;15;19;26;56;84;138;0;0
2019-09-02 11:00:00;0;108;20;18;17;48;88;126;0;0
2019-09-02 11:15:00;0;108;4;17;20;54;88;97;0;0
2019-09-02 11:30:00;0;139;15;26;33;63;84;124;0;0
2019-09-02 11:45:00;0;130;16;18;28;47;82;107;0;0
2019-09-02 12:00:00;0;120;13;21;25;60;88;121;0;0
2019-09-02 12:15:00;0;133;11;28;19;54;94;105;0;0
2019-09-02 12:30:00;0;138;13;23;29;57;79;114;0;0
2019-09-02 12:45:00;0;114;11;25;33;54;89;122;0;0
2019-09-02 13:00:00;0;124;13;23;23;59;91;110;0;0
2019-09-02 13:15:00;0;135;18;23;35;105;89;150;0;0
2019-09-02 13:30:00;0;126;6;36;41;117;89;136;0;0
2019-09-02 13:45:00;0;121;19;25;34;116;98;147;0;0
2019-09-02 14:00:00;0;160;35;58;62;79;82;126;0;0
2019-09-02 14:15:00;0;156;22;73;79;42;111;141;0;0
2019-09-02 14:30:00;0;172;27;66;75;33;93;122;0;0
2019-09-02 14:45:00;0;152;30;50;58;42;109;133;0;0
2019-09-02 15:00:00;0;157;45;63;79;58;92;139;0;0
2019-09-02 15:15:00;0;172;26;89;101;61;87;145;0;0
2019-09-02 15:30:00;0;159;46;84;86;41;109;144;0;0
2019-09-02 15:45:00;0;157;36;63;82;40;120;161;0;0
2019-09-02 16:00:00;0;171;50;84;84;20;111;159;0;0
2019-09-02 16:15:00;0;182;35;93;86;35;105;182;0;0
2019-09-02 16:30:00;0;173;35;88;96;28;108;142;0;0
2019-09-02 16:45:00;0;181;36;68;80;32;110;148;0;0
2019-09-02 17:00:00;0;161;31;48;52;21;113;153;0;0
2019-09-02 17:15:00;0;169;26;76;86;24;131;160;0;0
2019-09-02 17:30:00;0;171;23;74;75;20;125;156;0;0
2019-09-02 17:45:00;0;182;20;49;59;28;126;150;0;0
2019-09-02 18:00:00;0;157;26;55;65;31;101;116;0;0
2019-09-02 18:15:00;0;140;16;44;46;34;103;137;0;0
2019-09-02 18:30:00;0;136;15;35;44;16;110;133;0;0
2019-09-02 18:45:00;0;120;6;20;31;19;96;112;0;0
2019-09-02 19:00:00;0;116;11;25;29;21;84;112;0;0
2019-09-02 19:15:00;0;126;9;21;25;14;82;97;0;0
2019-09-02 19:30:00;0;114;13;16;20;10;73;82;0;0
2019-09-02 19:45:00;0;97;7;11;11;13;77;88;0;0
2019-09-02 20:00:00;0;121;5;12;12;13;69;76;0;0
2019-09-02 20:15:00;0;86;2;14;9;8;62;83;0;0
2019-09-02 20:30:00;0;64;6;7;4;21;44;57;0;0
2019-09-02 20:45:00;0;68;1;1;2;27;49;55;0;0
2019-09-02 21:00:00;0;62;6;7;10;78;60;66;0;0
2019-09-02 21:15:00;0;50;1;4;9;97;47;66;0;0
2019-09-02 21:30:00;0;55;4;10;10;59;60;62;0;0
2019-09-02 21:45:00;0;70;10;29;39;27;42;42;0;0
2019-09-02 22:00:00;0;97;25;69;69;6;31;28;0;0
2019-09-02 22:15:00;0;74;8;11;13;4;54;41;0;0
2019-09-02 22:30:00;0;46;1;5;4;4;41;33;0;0
2019-09-02 22:45:00;0;30;0;2;2;3;25;28;0;0
2019-09-02 23:00:00;0;31;0;1;2;2;24;15;0;0
2019-09-02 23:15:00;0;19;0;0;4;1;23;16;0;0
2019-09-02 23:30:00;0;11;0;0;1;0;20;17;0;0
2019-09-02 23:45:00;0;10;0;5;1;3;25;12;0;0
