DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-02-28 20:45:00;10;31;33;31;20;0;0;0;0;8;1;2
2020-02-28 21:00:00;10;33;28;33;23;5;1;0;0;1;0;0
2020-02-28 21:15:00;10;26;23;43;26;3;2;0;0;2;1;4
2020-02-28 21:30:00;7;33;31;36;20;1;4;0;0;0;0;0
2020-02-28 21:45:00;4;23;18;30;20;1;12;0;0;68;0;0
2020-02-28 22:00:00;8;37;49;28;19;0;5;0;0;0;0;0
2020-02-28 22:15:00;6;34;24;27;20;0;0;0;0;0;2;5
2020-02-28 22:30:00;9;31;27;19;12;0;2;0;0;6;0;0
2020-02-28 22:45:00;8;24;29;19;15;3;2;0;0;3;0;0
2020-02-28 23:00:00;8;18;26;13;13;0;0;0;0;0;0;0
2020-02-28 23:15:00;8;20;16;20;13;0;0;0;0;0;0;0
2020-02-28 23:30:00;14;19;18;15;13;0;0;0;0;0;0;0
2020-02-28 23:45:00;4;21;12;15;6;0;0;0;0;0;0;0
