DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-09-25 00:00:00;7;0;2;5;1;1;2;0;2
2020-09-25 00:15:00;5;6;2;3;3;4;1;0;2
2020-09-25 00:30:00;3;0;0;3;1;12;2;0;3
2020-09-25 00:45:00;4;2;1;4;0;5;2;0;2
2020-09-25 01:00:00;5;1;0;1;1;2;0;0;2
2020-09-25 01:15:00;5;5;1;4;2;3;4;0;2
2020-09-25 01:30:00;3;7;4;3;1;2;2;0;2
2020-09-25 01:45:00;2;1;0;1;0;3;1;0;2
2020-09-25 02:00:00;2;0;0;5;2;3;1;0;6
2020-09-25 02:15:00;4;2;1;2;2;1;0;0;1
2020-09-25 02:30:00;2;0;1;4;1;1;1;0;4
2020-09-25 02:45:00;4;1;0;0;0;2;3;0;1
2020-09-25 03:00:00;1;1;1;4;2;4;1;0;3
2020-09-25 03:15:00;3;0;0;3;2;4;1;0;2
2020-09-25 03:30:00;2;1;1;3;0;2;2;0;4
2020-09-25 03:45:00;3;4;2;1;0;2;2;0;7
2020-09-25 04:00:00;5;4;1;2;0;4;2;0;1
2020-09-25 04:15:00;4;3;0;8;4;6;1;0;3
2020-09-25 04:30:00;10;3;1;7;1;7;5;0;2
2020-09-25 04:45:00;13;10;2;13;2;8;5;0;3
2020-09-25 05:00:00;19;8;3;18;7;19;17;0;4
2020-09-25 05:15:00;30;15;4;30;7;32;40;0;8
2020-09-25 05:30:00;50;22;4;24;16;37;34;0;7
2020-09-25 05:45:00;50;31;8;46;44;42;43;0;13
2020-09-25 06:00:00;42;23;3;58;70;58;59;0;10
2020-09-25 06:15:00;39;27;7;47;48;58;65;0;15
2020-09-25 06:30:00;52;32;13;42;29;61;89;0;27
2020-09-25 06:45:00;47;41;10;31;37;87;89;0;22
2020-09-25 07:00:00;58;27;2;39;25;103;120;0;17
2020-09-25 07:15:00;51;39;15;25;24;175;152;0;17
2020-09-25 07:30:00;9;8;1;6;5;37;27;0;0
2020-09-25 07:45:00;
2020-09-25 08:00:00;
2020-09-25 08:15:00;
2020-09-25 08:30:00;
2020-09-25 08:45:00;
2020-09-25 09:00:00;
2020-09-25 09:15:00;65;43;16;38;26;46;59;0;19
2020-09-25 09:30:00;58;32;25;54;31;48;59;0;12
2020-09-25 09:45:00;69;49;21;38;30;60;67;0;23
2020-09-25 10:00:00;78;52;32;42;41;53;66;0;27
2020-09-25 10:15:00;71;45;17;36;35;55;65;0;20
2020-09-25 10:30:00;75;35;13;46;47;39;59;0;21
2020-09-25 10:45:00;90;43;18;54;37;48;71;0;33
2020-09-25 11:00:00;77;36;30;45;29;64;57;0;22
2020-09-25 11:15:00;82;49;30;49;43;54;61;0;19
2020-09-25 11:30:00;72;53;27;54;66;55;65;0;18
2020-09-25 11:45:00;83;61;18;55;50;57;78;0;22
2020-09-25 12:00:00;102;66;31;59;47;50;75;0;22
2020-09-25 12:15:00;97;65;24;52;57;58;72;0;23
2020-09-25 12:30:00;103;83;26;64;60;78;77;0;23
2020-09-25 12:45:00;99;85;26;66;66;75;81;0;25
2020-09-25 13:00:00;123;80;19;51;57;65;66;0;23
2020-09-25 13:15:00;155;125;26;57;62;70;77;0;25
2020-09-25 13:30:00;119;94;15;61;74;65;78;0;14
2020-09-25 13:45:00;116;81;19;72;80;75;87;0;23
2020-09-25 14:00:00;131;108;16;64;69;63;73;0;31
2020-09-25 14:15:00;103;85;25;84;85;66;81;0;23
2020-09-25 14:30:00;111;104;17;84;78;64;77;0;24
2020-09-25 14:45:00;109;103;15;101;93;70;69;0;34
2020-09-25 15:00:00;104;91;26;78;75;67;78;0;28
2020-09-25 15:15:00;128;100;29;88;104;74;84;0;35
2020-09-25 15:30:00;90;69;10;68;72;79;80;0;17
2020-09-25 15:45:00;116;88;18;77;74;74;85;0;19
2020-09-25 16:00:00;97;74;35;77;71;69;79;0;29
2020-09-25 16:15:00;105;82;22;71;65;66;79;0;36
2020-09-25 16:30:00;94;78;24;55;51;70;70;0;15
2020-09-25 16:45:00;93;63;24;71;57;70;83;0;18
2020-09-25 17:00:00;87;55;20;57;59;60;75;0;20
2020-09-25 17:15:00;110;69;20;59;53;64;78;0;19
2020-09-25 17:30:00;83;68;23;69;61;50;73;0;11
2020-09-25 17:45:00;99;47;28;56;53;68;81;0;6
2020-09-25 18:00:00;75;50;14;37;54;68;83;0;7
2020-09-25 18:15:00;86;52;22;39;42;62;71;0;18
2020-09-25 18:30:00;69;30;22;34;53;60;59;0;11
2020-09-25 18:45:00;76;31;22;41;46;43;62;0;13
2020-09-25 19:00:00;70;38;14;45;38;47;59;0;12
2020-09-25 19:15:00;62;37;12;39;22;49;51;0;11
2020-09-25 19:30:00;55;25;17;28;22;46;57;0;6
2020-09-25 19:45:00;58;32;11;35;36;40;52;0;15
2020-09-25 20:00:00;48;28;13;35;20;49;62;0;8
2020-09-25 20:15:00;51;23;9;39;24;45;57;0;10
2020-09-25 20:30:00;48;17;8;27;18;35;25;0;6
2020-09-25 20:45:00;43;10;13;20;16;40;30;0;8
2020-09-25 21:00:00;26;10;9;25;22;21;29;0;6
2020-09-25 21:15:00;45;16;10;23;8;29;22;0;3
2020-09-25 21:30:00;49;12;9;29;22;33;30;0;6
2020-09-25 21:45:00;45;24;12;45;44;18;22;0;5
2020-09-25 22:00:00;47;24;9;60;55;25;25;0;1
2020-09-25 22:15:00;50;12;9;40;26;19;24;0;5
2020-09-25 22:30:00;36;7;18;15;11;13;19;0;3
2020-09-25 22:45:00;27;14;7;14;9;10;8;0;4
2020-09-25 23:00:00;23;6;5;18;11;16;11;0;2
2020-09-25 23:15:00;24;10;3;13;9;15;13;0;5
2020-09-25 23:30:00;28;12;6;7;7;9;8;0;7
2020-09-25 23:45:00;11;6;6;13;4;8;6;0;6
