DATUM;1(DA1);2(DA2);3(DC2);4(DC1);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC);13(MP12D01);14(MP12D02);15(MP12D03);16(MP12D04);17(MP12D05);18(MP12D06);19(MP12D07);20(MP12D08)
2019-10-18 00:00:00;9;5;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 00:15:00;10;4;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 00:30:00;6;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 00:45:00;7;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 01:00:00;7;4;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 01:15:00;5;9;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 01:30:00;8;5;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 01:45:00;5;2;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 02:00:00;7;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 02:15:00;2;4;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 02:30:00;3;2;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 02:45:00;5;2;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 03:00:00;8;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 03:15:00;5;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 03:30:00;7;3;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 03:45:00;10;5;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 04:00:00;11;3;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 04:15:00;8;4;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 04:30:00;14;5;11;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 04:45:00;16;9;10;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 05:00:00;28;10;12;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 05:15:00;61;24;26;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 05:30:00;80;43;37;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 05:45:00;70;66;43;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 06:00:00;48;79;37;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 06:15:00;71;71;57;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 06:30:00;89;98;61;124;5;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 06:45:00;83;100;56;124;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2019-10-18 07:00:00;83;100;60;143;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
