DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFBA);11(TAFBB);12(TAFGC);13(TAFBC);14(TAFBD)
2020-12-25 00:00:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 00:15:00;2;0;2;2;0;0;1;1;0;0;0;0;0;0
2020-12-25 00:30:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-25 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:30:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 01:45:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 02:00:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:30:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:30:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:15:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:45:00;0;0;1;1;0;0;1;2;0;0;0;0;0;0
2020-12-25 05:00:00;0;0;0;0;1;0;2;2;0;0;0;0;0;0
2020-12-25 05:15:00;1;0;0;0;1;0;1;1;0;0;0;0;0;0
2020-12-25 05:30:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-25 05:45:00;3;0;0;0;5;0;2;4;0;0;0;0;0;0
2020-12-25 06:00:00;2;0;0;0;0;0;4;3;0;0;0;0;0;0
2020-12-25 06:15:00;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-12-25 06:30:00;2;0;0;0;2;0;12;2;0;0;0;0;0;0
2020-12-25 06:45:00;1;0;1;1;1;0;2;2;0;0;0;0;0;0
2020-12-25 07:00:00;4;0;0;0;0;0;4;3;0;0;0;0;0;0
2020-12-25 07:15:00;5;0;1;1;1;0;1;1;0;0;0;0;0;0
2020-12-25 07:30:00;4;0;2;2;4;0;1;1;0;0;0;0;0;0
2020-12-25 07:45:00;4;0;1;1;3;0;2;5;0;0;0;0;0;0
2020-12-25 08:00:00;1;0;1;1;1;0;2;2;0;0;0;0;0;0
2020-12-25 08:15:00;6;0;2;2;2;0;1;1;0;0;0;0;0;0
2020-12-25 08:30:00;15;0;2;2;5;0;2;2;0;0;0;0;0;0
2020-12-25 08:45:00;8;0;4;4;1;0;0;0;0;0;0;0;0;0
2020-12-25 09:00:00;8;0;5;5;2;0;0;0;0;0;0;0;0;0
2020-12-25 09:15:00;7;0;7;7;6;0;2;2;0;0;0;0;0;0
2020-12-25 09:30:00;11;0;2;1;6;0;3;3;0;0;0;0;0;0
2020-12-25 09:45:00;12;0;7;7;16;0;6;9;0;0;0;0;0;0
2020-12-25 10:00:00;9;0;4;4;14;0;2;2;0;0;0;0;0;0
2020-12-25 10:15:00;9;0;9;7;10;0;4;4;0;0;0;0;0;0
2020-12-25 10:30:00;11;0;12;10;14;0;0;0;0;1;0;1;0;0
2020-12-25 10:45:00;25;0;16;14;19;0;6;6;0;0;0;0;0;0
2020-12-25 11:00:00;27;0;16;15;18;0;5;2;0;0;0;0;0;0
2020-12-25 11:15:00;40;0;16;15;23;0;3;1;0;0;0;2;0;0
2020-12-25 11:30:00;31;0;18;17;27;0;4;2;0;0;0;0;0;0
2020-12-25 11:45:00;35;0;17;15;21;0;14;14;0;0;0;0;0;0
2020-12-25 12:00:00;44;0;14;13;23;0;8;9;0;0;2;1;0;0
2020-12-25 12:15:00;40;0;12;10;20;0;6;8;0;0;0;0;0;0
2020-12-25 12:30:00;28;0;12;12;16;0;4;4;1;1;0;0;0;0
2020-12-25 12:45:00;36;0;18;16;14;0;4;4;1;0;0;0;0;0
2020-12-25 13:00:00;26;0;8;8;12;0;5;8;0;0;0;0;0;0
2020-12-25 13:15:00;32;0;11;9;16;0;2;2;0;0;0;0;0;0
2020-12-25 13:30:00;23;0;11;9;18;0;5;5;0;0;0;0;0;0
2020-12-25 13:45:00;38;0;10;8;18;0;3;3;1;0;0;0;0;0
2020-12-25 14:00:00;41;0;12;12;16;0;7;8;0;0;0;0;0;0
2020-12-25 14:15:00;38;0;24;20;16;0;9;9;1;0;0;0;0;0
2020-12-25 14:30:00;36;0;13;13;19;0;7;7;0;0;1;1;0;11
2020-12-25 14:45:00;40;0;19;18;25;0;5;6;1;0;0;3;0;0
2020-12-25 15:00:00;37;0;29;19;20;0;6;6;0;0;0;0;0;0
2020-12-25 15:15:00;29;0;13;11;24;0;7;7;0;0;0;1;0;0
2020-12-25 15:30:00;29;0;16;15;29;0;9;8;0;0;0;0;0;0
2020-12-25 15:45:00;30;0;7;8;22;0;9;10;2;0;0;0;0;0
2020-12-25 16:00:00;29;0;19;17;21;0;2;4;0;0;0;2;0;0
