DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2019-11-14 00:00:00;5;0;3;0;0;0
2019-11-14 00:15:00;4;0;8;2;0;0
2019-11-14 00:30:00;4;0;3;0;0;0
2019-11-14 00:45:00;3;0;4;0;0;0
2019-11-14 01:00:00;7;0;1;0;0;0
2019-11-14 01:15:00;3;0;4;0;0;0
2019-11-14 01:30:00;2;0;6;0;0;0
2019-11-14 01:45:00;3;0;4;0;0;0
2019-11-14 02:00:00;2;0;1;0;0;0
2019-11-14 02:15:00;1;0;2;0;0;0
2019-11-14 02:30:00;0;0;2;1;0;0
2019-11-14 02:45:00;2;0;3;0;0;0
2019-11-14 03:00:00;10;2;4;0;0;0
2019-11-14 03:15:00;6;0;9;0;0;0
2019-11-14 03:30:00;6;0;2;0;0;0
2019-11-14 03:45:00;3;0;4;0;0;0
2019-11-14 04:00:00;2;0;6;0;0;0
2019-11-14 04:15:00;4;2;7;0;0;0
2019-11-14 04:30:00;7;1;16;0;0;0
2019-11-14 04:45:00;6;8;29;0;0;0
2019-11-14 05:00:00;18;20;93;0;7;5
2019-11-14 05:15:00;47;43;201;5;8;4
2019-11-14 05:30:00;59;54;173;9;9;11
2019-11-14 05:45:00;122;24;127;86;16;5
2019-11-14 06:00:00;97;15;114;68;5;26
2019-11-14 06:15:00;71;26;139;22;9;5
2019-11-14 06:30:00;92;21;154;13;7;5
2019-11-14 06:45:00;89;20;142;5;9;9
2019-11-14 07:00:00;99;9;144;0;7;7
2019-11-14 07:15:00;113;14;142;0;8;6
2019-11-14 07:30:00;111;5;144;3;0;7
2019-11-14 07:45:00;105;13;148;4;5;12
2019-11-14 08:00:00;111;6;139;1;2;13
2019-11-14 08:15:00;84;8;116;1;3;5
2019-11-14 08:30:00;77;9;92;2;6;8
2019-11-14 08:45:00;66;10;97;2;0;3
2019-11-14 09:00:00;50;8;81;1;1;0
2019-11-14 09:15:00;42;5;81;5;1;4
2019-11-14 09:30:00;40;3;60;2;2;0
2019-11-14 09:45:00;52;6;66;4;0;1
2019-11-14 10:00:00;57;3;73;2;0;0
2019-11-14 10:15:00;67;3;54;2;0;1
2019-11-14 10:30:00;49;2;67;1;3;1
2019-11-14 10:45:00;54;2;40;4;0;1
2019-11-14 11:00:00;73;0;60;2;0;5
2019-11-14 11:15:00;46;0;53;3;0;3
2019-11-14 11:30:00;72;2;48;4;1;1
2019-11-14 11:45:00;55;1;60;4;2;5
2019-11-14 12:00:00;57;2;66;11;2;13
2019-11-14 12:15:00;71;4;52;11;0;6
2019-11-14 12:30:00;72;6;52;3;15;5
2019-11-14 12:45:00;60;18;89;7;0;12
2019-11-14 13:00:00;81;28;125;5;8;19
2019-11-14 13:15:00;83;68;165;4;3;16
2019-11-14 13:30:00;85;72;129;9;4;19
2019-11-14 13:45:00;96;32;129;22;3;16
2019-11-14 14:00:00;120;20;110;77;9;30
2019-11-14 14:15:00;118;4;90;146;14;16
2019-11-14 14:30:00;116;2;77;50;19;5
2019-11-14 14:45:00;92;1;110;30;8;17
2019-11-14 15:00:00;129;0;96;40;5;8
2019-11-14 15:15:00;162;5;132;27;13;13
2019-11-14 15:30:00;127;0;85;26;16;7
2019-11-14 15:45:00;122;0;106;21;10;2
2019-11-14 16:00:00;121;3;83;21;2;13
2019-11-14 16:15:00;125;2;118;25;1;5
2019-11-14 16:30:00;145;5;114;29;22;4
2019-11-14 16:45:00;102;2;117;11;3;3
2019-11-14 17:00:00;111;3;103;10;6;2
2019-11-14 17:15:00;108;2;105;13;4;4
2019-11-14 17:30:00;106;2;91;33;1;5
2019-11-14 17:45:00;91;1;99;29;6;0
2019-11-14 18:00:00;95;1;89;12;1;4
2019-11-14 18:15:00;82;0;63;10;3;2
2019-11-14 18:30:00;67;2;62;6;0;0
2019-11-14 18:45:00;40;0;52;10;0;1
2019-11-14 19:00:00;56;1;46;5;0;1
2019-11-14 19:15:00;51;0;35;6;0;9
2019-11-14 19:30:00;35;1;47;4;0;1
2019-11-14 19:45:00;38;0;18;2;0;1
2019-11-14 20:00:00;43;0;27;1;0;0
2019-11-14 20:15:00;33;0;21;0;0;0
2019-11-14 20:30:00;27;4;33;2;0;1
2019-11-14 20:45:00;34;3;64;5;0;0
2019-11-14 21:00:00;37;9;105;0;8;4
2019-11-14 21:15:00;44;28;120;4;12;9
2019-11-14 21:30:00;37;18;119;36;9;13
2019-11-14 21:45:00;72;4;55;121;6;18
2019-11-14 22:00:00;87;1;38;162;9;9
2019-11-14 22:15:00;56;3;12;39;0;1
2019-11-14 22:30:00;42;1;12;5;0;4
2019-11-14 22:45:00;19;0;15;6;0;1
2019-11-14 23:00:00;16;1;8;3;0;0
2019-11-14 23:15:00;13;0;7;0;0;0
2019-11-14 23:30:00;13;0;9;1;0;0
2019-11-14 23:45:00;5;0;11;0;0;0
