DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2019-12-21 00:00:00;8;10;13;3;7;9;24;6;0;0;0;0
2019-12-21 00:15:00;10;21;25;10;14;17;26;1;4;0;0;0
2019-12-21 00:30:00;6;12;12;3;6;7;22;254;1;0;0;0
2019-12-21 00:45:00;9;15;19;7;9;7;23;258;4;0;0;0
2019-12-21 01:00:00;0;4;6;3;9;4;13;4;2;0;0;0
2019-12-21 01:15:00;4;9;10;1;2;7;24;0;1;0;0;0
2019-12-21 01:30:00;9;12;11;1;3;4;15;0;0;0;0;0
2019-12-21 01:45:00;4;8;11;0;2;6;18;0;0;0;0;0
2019-12-21 02:00:00;10;8;9;4;2;4;8;0;1;0;0;0
2019-12-21 02:15:00;4;3;5;0;0;2;9;0;1;0;0;0
2019-12-21 02:30:00;3;5;9;2;2;1;5;0;0;0;0;0
2019-12-21 02:45:00;3;4;5;0;0;1;1;0;0;0;0;0
2019-12-21 03:00:00;1;4;5;1;2;1;7;0;0;0;0;0
2019-12-21 03:15:00;2;5;5;0;2;0;4;0;0;0;0;0
2019-12-21 03:30:00;3;5;6;2;2;1;7;0;0;0;0;0
2019-12-21 03:45:00;2;5;5;1;2;1;4;0;2;0;0;0
2019-12-21 04:00:00;4;3;7;0;1;2;6;0;0;0;0;0
2019-12-21 04:15:00;4;12;10;0;0;1;8;0;0;0;0;0
2019-12-21 04:30:00;6;3;5;0;1;1;5;0;0;0;0;0
2019-12-21 04:45:00;5;12;12;0;0;3;6;0;0;0;0;0
2019-12-21 05:00:00;1;2;2;1;0;1;7;0;0;0;0;0
2019-12-21 05:15:00;6;12;10;0;0;0;5;0;0;0;0;0
2019-12-21 05:30:00;10;8;9;0;0;7;11;0;0;0;0;0
2019-12-21 05:45:00;11;14;13;0;0;1;8;0;0;0;0;0
2019-12-21 06:00:00;10;22;25;1;2;1;11;0;0;0;0;0
2019-12-21 06:15:00;10;10;11;1;1;0;1;0;0;0;0;0
2019-12-21 06:30:00;15;12;19;0;1;1;8;0;0;0;0;0
2019-12-21 06:45:00;6;11;12;3;5;4;20;0;1;0;0;0
2019-12-21 07:00:00;13;19;21;0;1;1;12;1;2;0;0;0
2019-12-21 07:15:00;16;19;20;0;0;3;16;0;0;0;0;0
2019-12-21 07:30:00;23;36;37;0;1;7;21;0;1;0;254;0
2019-12-21 07:45:00;16;26;25;1;2;6;19;0;2;0;0;0
2019-12-21 08:00:00;32;33;45;1;0;11;19;0;2;0;0;0
2019-12-21 08:15:00;41;34;41;2;4;7;21;4;8;0;0;0
2019-12-21 08:30:00;37;54;58;1;4;10;40;254;4;0;0;0
2019-12-21 08:45:00;47;70;75;1;10;9;24;261;3;0;0;0
2019-12-21 09:00:00;74;85;83;6;16;16;35;256;6;0;0;0
2019-12-21 09:15:00;105;136;122;8;25;15;44;256;12;0;0;1
2019-12-21 09:30:00;124;128;105;7;26;21;68;11;25;0;0;0
2019-12-21 09:45:00;131;136;123;21;31;26;82;31;28;0;0;6
2019-12-21 10:00:00;108;117;106;15;24;24;62;24;26;0;0;0
2019-12-21 10:15:00;130;110;98;23;32;34;71;23;30;0;0;0
2019-12-21 10:30:00;124;105;93;32;29;40;101;17;29;1;0;3
2019-12-21 10:45:00;92;88;70;30;24;42;101;39;38;1;0;1
2019-12-21 11:00:00;65;73;67;45;32;42;118;23;30;2;0;0
2019-12-21 11:15:00;85;85;74;35;28;47;90;20;30;0;0;2
2019-12-21 11:30:00;91;111;94;38;42;42;80;35;30;0;0;8
2019-12-21 11:45:00;74;72;74;29;39;37;90;30;31;0;0;2
2019-12-21 12:00:00;81;81;80;41;42;53;105;23;24;0;0;2
2019-12-21 12:15:00;85;67;74;29;54;51;90;38;46;0;0;0
2019-12-21 12:30:00;80;75;68;39;41;62;91;25;29;1;0;1
2019-12-21 12:45:00;71;77;113;47;42;59;100;31;38;1;0;2
