DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-11-10 00:00:00;7;2;2;0;0;4;1;4;1;1;0
2020-11-10 00:15:00;4;2;3;0;0;3;0;3;0;1;0
2020-11-10 00:30:00;2;1;0;0;0;2;1;2;2;2;0
2020-11-10 00:45:00;2;2;1;0;0;2;1;2;3;1;0
2020-11-10 01:00:00;1;4;3;0;0;7;3;7;0;1;0
2020-11-10 01:15:00;4;3;3;0;0;2;2;2;0;2;0
2020-11-10 01:30:00;4;0;0;0;0;4;1;4;1;0;0
2020-11-10 01:45:00;1;0;0;0;0;1;1;1;0;0;0
2020-11-10 02:00:00;3;2;1;0;0;5;2;5;2;3;0
2020-11-10 02:15:00;2;3;3;0;0;3;2;3;0;2;0
2020-11-10 02:30:00;4;1;1;0;0;5;3;5;1;1;0
2020-11-10 02:45:00;4;1;2;0;0;3;5;3;0;1;0
2020-11-10 03:00:00;2;0;0;0;0;1;0;1;4;3;0
2020-11-10 03:15:00;3;2;1;0;0;4;4;4;0;1;0
2020-11-10 03:30:00;9;0;1;0;0;2;5;2;1;1;0
2020-11-10 03:45:00;11;2;3;0;0;4;8;4;0;6;0
2020-11-10 04:00:00;9;5;4;0;0;5;9;5;1;3;0
2020-11-10 04:15:00;6;0;0;0;0;9;0;9;0;0;0
2020-11-10 04:30:00;15;0;0;0;0;8;8;8;3;4;0
2020-11-10 04:45:00;20;2;0;0;0;5;5;5;0;1;0
2020-11-10 05:00:00;37;4;4;0;0;17;3;16;2;4;0
2020-11-10 05:15:00;44;3;2;0;0;28;6;28;2;3;0
2020-11-10 05:30:00;68;3;1;0;1;41;10;41;3;4;0
2020-11-10 05:45:00;77;2;2;0;0;32;4;32;1;4;0
2020-11-10 06:00:00;89;4;3;0;2;65;10;65;4;4;0
2020-11-10 06:15:00;95;3;2;0;0;52;11;52;10;8;0
2020-11-10 06:30:00;166;3;2;0;2;90;11;90;3;4;0
2020-11-10 06:45:00;172;6;5;0;1;67;14;67;2;3;0
