DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2019-11-03 19:45:00;95;12;16;6;2;4;3;96;1;0;0;0;0
2019-11-03 20:00:00;96;18;25;5;7;8;1;129;0;0;0;0;0
2019-11-03 20:15:00;60;16;19;8;5;5;3;75;0;0;0;0;0
2019-11-03 20:30:00;77;14;16;5;6;6;1;82;0;0;0;0;0
2019-11-03 20:45:00;62;9;9;2;4;4;2;61;0;0;0;0;0
2019-11-03 21:00:00;63;17;17;5;3;3;2;68;0;0;0;0;0
2019-11-03 21:15:00;44;16;15;5;3;2;0;67;0;0;0;0;0
2019-11-03 21:30:00;75;12;16;6;1;2;2;49;0;0;0;0;0
2019-11-03 21:45:00;46;14;15;8;2;2;5;52;0;0;0;0;0
2019-11-03 22:00:00;50;11;11;2;2;3;1;51;0;0;0;0;0
2019-11-03 22:15:00;95;8;11;4;1;1;1;39;0;0;0;0;0
2019-11-03 22:30:00;67;12;12;3;1;0;1;47;0;0;0;0;0
2019-11-03 22:45:00;26;9;14;3;4;5;2;50;0;0;0;0;0
2019-11-03 23:00:00;18;3;6;2;2;2;1;25;0;0;0;0;0
2019-11-03 23:15:00;28;4;7;3;1;1;2;18;0;0;0;0;0
2019-11-03 23:30:00;12;5;12;4;2;2;0;32;0;0;0;0;0
2019-11-03 23:45:00;17;7;13;2;0;0;1;33;0;0;0;0;0
