DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DC1);7(DD1);8(DD2);9(DD3);10(tafga);11(tafgc);12(tafba);13(tafbb);14(tafbc);15(tafbd)
2020-11-14 00:00:00;3;2;0;2;2;4;0;0;0;0;0;0;0;0;0
2020-11-14 00:15:00;10;6;0;5;5;4;0;2;2;0;0;0;0;0;0
2020-11-14 00:30:00;10;2;0;3;2;2;0;1;0;0;0;0;0;0;0
2020-11-14 00:45:00;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0
2020-11-14 01:00:00;3;3;0;3;3;3;0;0;0;0;0;0;0;0;0
2020-11-14 01:15:00;4;0;0;0;0;5;0;0;0;0;0;0;0;0;0
2020-11-14 01:30:00;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0
2020-11-14 01:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-14 02:00:00;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0
2020-11-14 02:15:00;3;2;0;2;2;1;0;0;0;0;0;0;0;0;0
2020-11-14 02:30:00;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-11-14 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-14 03:00:00;4;2;0;1;1;2;0;0;0;0;0;0;0;0;0
2020-11-14 03:15:00;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0
2020-11-14 03:30:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-14 03:45:00;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-14 04:00:00;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-14 04:15:00;4;2;0;2;2;1;0;0;0;0;0;0;0;0;0
2020-11-14 04:30:00;1;3;0;2;2;1;0;0;0;0;0;0;0;0;0
2020-11-14 04:45:00;2;3;0;3;2;1;0;1;2;0;0;0;0;0;0
2020-11-14 05:00:00;1;2;0;2;1;1;0;1;1;0;0;0;0;0;0
2020-11-14 05:15:00;7;3;0;3;4;5;0;2;1;0;0;0;0;0;0
2020-11-14 05:30:00;6;4;0;3;2;8;0;1;1;0;0;0;0;0;0
2020-11-14 05:45:00;21;13;0;10;8;6;0;2;2;0;0;0;0;0;0
2020-11-14 06:00:00;16;6;0;5;4;7;0;0;0;0;0;0;0;0;0
2020-11-14 06:15:00;21;7;0;7;8;10;0;0;0;0;0;0;0;0;0
2020-11-14 06:30:00;15;2;0;2;2;10;0;2;1;0;0;0;0;0;0
2020-11-14 06:45:00;10;13;0;11;11;3;0;3;3;0;0;0;0;0;0
2020-11-14 07:00:00;9;10;0;9;10;6;0;1;1;0;0;0;0;0;0
2020-11-14 07:15:00;13;9;1;9;8;9;0;6;5;1;0;0;0;0;0
2020-11-14 07:30:00;17;22;1;18;18;7;0;6;6;0;0;0;0;0;0
2020-11-14 07:45:00;16;19;0;18;18;14;0;4;7;0;0;0;0;0;0
2020-11-14 08:00:00;19;17;0;15;13;13;0;1;2;0;1;0;0;0;0
2020-11-14 08:15:00;17;16;0;13;14;14;0;9;11;0;0;0;0;0;0
2020-11-14 08:30:00;30;24;0;21;18;12;0;10;8;0;0;0;0;0;0
2020-11-14 08:45:00;20;26;0;27;25;14;0;7;6;0;0;0;0;0;0
2020-11-14 09:00:00;24;26;4;21;22;15;0;12;12;0;0;0;0;0;0
