DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-10-22 21:00:00;123;38;0;0;0;0;0;0;0;3;0;0
2019-10-22 21:15:00;145;59;0;0;0;0;0;0;0;2;0;0
2019-10-22 21:30:00;133;35;0;0;0;0;0;0;0;7;0;0
2019-10-22 21:45:00;140;37;0;0;0;0;0;0;0;3;0;0
2019-10-22 22:00:00;156;38;0;0;0;0;0;0;0;3;0;0
2019-10-22 22:15:00;153;52;0;0;0;0;0;0;0;4;0;0
2019-10-22 22:30:00;70;26;0;0;0;0;0;0;0;0;0;0
2019-10-22 22:45:00;56;19;0;0;0;0;0;0;0;0;0;0
2019-10-22 23:00:00;53;18;0;0;0;0;0;0;0;1;0;0
2019-10-22 23:15:00;51;26;0;0;0;0;0;0;0;0;0;0
2019-10-22 23:30:00;31;12;0;0;0;0;0;0;0;0;0;0
2019-10-22 23:45:00;39;18;0;0;0;0;0;0;0;0;0;0
