DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-01-17 00:00:00;0;3;5;0;2;6;0;6;2;0;5;5;1
2020-01-17 00:15:00;0;11;4;2;5;13;1;4;2;0;6;6;2
2020-01-17 00:30:00;0;7;2;0;8;12;2;7;6;0;8;9;3
2020-01-17 00:45:00;0;6;7;2;1;4;3;8;1;0;5;4;3
2020-01-17 01:00:00;0;6;5;0;2;5;2;8;1;0;4;4;3
2020-01-17 01:15:00;0;1;1;2;2;2;0;4;2;0;6;7;2
2020-01-17 01:30:00;0;3;1;0;0;5;0;2;0;0;1;4;3
2020-01-17 01:45:00;0;2;1;0;2;3;0;4;0;0;5;3;2
2020-01-17 02:00:00;0;4;2;0;3;5;0;5;2;0;5;7;0
2020-01-17 02:15:00;0;3;1;0;0;1;0;2;2;1;5;4;2
2020-01-17 02:30:00;0;1;3;0;3;1;0;3;0;1;1;1;1
2020-01-17 02:45:00;0;2;0;0;1;4;1;1;0;0;3;3;0
2020-01-17 03:00:00;0;3;2;1;3;4;1;1;1;1;1;0;1
2020-01-17 03:15:00;0;3;1;0;1;4;1;1;0;1;2;0;1
2020-01-17 03:30:00;0;1;0;0;0;3;1;5;0;0;3;0;2
2020-01-17 03:45:00;0;0;0;0;1;2;2;5;2;2;4;2;0
2020-01-17 04:00:00;0;6;1;0;0;3;0;4;3;1;2;2;2
2020-01-17 04:15:00;0;9;1;0;2;10;2;3;1;1;8;10;0
2020-01-17 04:30:00;0;10;4;0;5;9;2;9;2;0;22;12;1
2020-01-17 04:45:00;0;4;3;0;3;8;2;15;5;2;20;22;6
2020-01-17 05:00:00;0;12;9;0;7;17;6;29;12;4;50;56;10
2020-01-17 05:15:00;0;18;12;0;7;19;10;49;26;5;69;77;19
2020-01-17 05:30:00;0;21;17;4;24;52;18;63;53;1;74;80;27
2020-01-17 05:45:00;0;22;23;3;37;61;14;59;67;3;60;70;23
2020-01-17 06:00:00;0;27;24;3;36;61;23;53;44;2;71;66;23
2020-01-17 06:15:00;0;34;33;4;32;56;16;84;71;3;64;75;20
2020-01-17 06:30:00;0;48;24;3;33;44;16;115;108;4;82;87;39
2020-01-17 06:45:00;0;30;31;4;28;51;11;108;120;2;68;77;42
