DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-12-18 00:00:00;1;3;8;0;0;0;0;0;0
2020-12-18 00:15:00;3;2;4;0;0;0;0;0;0
2020-12-18 00:30:00;1;2;8;1;1;0;0;0;0
2020-12-18 00:45:00;2;3;9;0;0;0;0;0;0
2020-12-18 01:00:00;7;4;3;0;0;0;0;0;0
2020-12-18 01:15:00;1;1;3;0;0;0;0;0;0
2020-12-18 01:30:00;3;3;9;0;0;0;0;0;0
2020-12-18 01:45:00;2;3;3;0;0;0;0;0;0
2020-12-18 02:00:00;3;2;5;0;0;0;0;0;0
2020-12-18 02:15:00;5;4;8;1;1;0;0;0;0
2020-12-18 02:30:00;6;4;5;0;0;0;0;0;0
2020-12-18 02:45:00;3;3;8;0;0;0;0;0;0
2020-12-18 03:00:00;7;4;2;1;1;0;0;0;0
2020-12-18 03:15:00;3;1;3;1;1;0;0;0;0
2020-12-18 03:30:00;3;3;6;0;0;0;0;0;0
2020-12-18 03:45:00;5;2;7;0;0;0;0;0;0
2020-12-18 04:00:00;10;2;9;0;0;0;0;0;0
2020-12-18 04:15:00;8;1;7;0;0;0;0;0;0
2020-12-18 04:30:00;10;3;21;0;0;0;0;0;0
2020-12-18 04:45:00;19;7;35;0;0;0;0;0;0
2020-12-18 05:00:00;35;9;100;0;0;0;0;0;0
2020-12-18 05:15:00;41;14;96;0;0;0;0;0;0
2020-12-18 05:30:00;57;14;99;1;1;0;0;0;0
2020-12-18 05:45:00;44;15;90;1;0;0;0;0;0
2020-12-18 06:00:00;86;23;71;1;1;0;0;0;0
2020-12-18 06:15:00;85;27;128;2;2;0;0;0;0
2020-12-18 06:30:00;80;29;140;1;1;0;0;0;0
2020-12-18 06:45:00;70;25;125;1;1;0;0;0;0
2020-12-18 07:00:00;59;28;143;1;1;1;0;0;0
2020-12-18 07:15:00;81;36;139;1;1;0;0;0;0
2020-12-18 07:30:00;89;47;166;1;1;0;0;0;0
2020-12-18 07:45:00;79;53;174;1;1;0;0;0;0
2020-12-18 08:00:00;81;34;149;1;1;0;0;0;0
2020-12-18 08:15:00;71;44;140;1;1;1;0;0;0
2020-12-18 08:30:00;91;39;179;2;2;3;0;0;0
2020-12-18 08:45:00;85;48;165;1;1;5;0;0;0
2020-12-18 09:00:00;75;49;137;2;2;0;0;0;0
2020-12-18 09:15:00;107;43;159;2;1;0;0;0;0
2020-12-18 09:30:00;113;52;181;2;2;1;0;0;0
2020-12-18 09:45:00;108;51;196;2;2;0;0;0;0
2020-12-18 10:00:00;104;69;147;1;1;0;0;0;0
2020-12-18 10:15:00;126;69;170;2;2;1;0;0;0
2020-12-18 10:30:00;136;61;192;1;1;3;0;0;0
2020-12-18 10:45:00;141;57;203;1;1;2;0;0;0
2020-12-18 11:00:00;124;67;161;1;1;1;0;0;0
2020-12-18 11:15:00;121;55;198;1;1;0;0;0;0
2020-12-18 11:30:00;149;67;170;1;1;4;0;0;0
2020-12-18 11:45:00;141;68;181;1;1;5;0;0;0
2020-12-18 12:00:00;136;56;195;1;1;1;0;0;0
2020-12-18 12:15:00;134;67;197;1;1;2;0;0;0
2020-12-18 12:30:00;148;66;177;3;2;1;0;0;0
2020-12-18 12:45:00;140;61;213;1;1;0;0;0;0
2020-12-18 13:00:00;158;67;207;1;1;0;0;0;0
2020-12-18 13:15:00;160;70;205;2;2;3;0;0;0
2020-12-18 13:30:00;146;62;205;3;3;1;0;0;0
2020-12-18 13:45:00;141;61;224;2;2;1;0;0;0
2020-12-18 14:00:00;154;59;197;2;2;2;0;0;0
2020-12-18 14:15:00;163;59;181;1;1;3;0;0;0
2020-12-18 14:30:00;173;66;203;3;3;4;0;0;0
2020-12-18 14:45:00;162;87;177;1;1;3;0;0;0
2020-12-18 15:00:00;160;66;192;2;2;1;0;0;0
2020-12-18 15:15:00;135;48;188;2;2;4;0;0;0
