DATUM;1(DAL1);2(DBR1);3(DBL1);4(DBL2);5(DC1);6(DC2);7(DC3);8(DEG11);9(DEG12);10(DEG13);11(DEG14);12(DEG15);13(DEG16);14(DEG17)
2019-10-02 00:00:00;12;3;3;2;12;3;7;14;7;21;14;7;21;0
2019-10-02 00:15:00;9;2;4;0;17;4;5;20;10;30;20;10;30;0
2019-10-02 00:30:00;13;3;3;0;12;0;3;20;10;30;20;10;30;0
2019-10-02 00:45:00;6;3;2;0;7;1;6;18;9;26;18;9;26;0
2019-10-02 01:00:00;7;0;2;1;7;3;3;24;12;36;24;12;36;0
2019-10-02 01:15:00;9;1;0;0;12;2;2;26;13;39;26;13;39;0
2019-10-02 01:30:00;2;3;1;1;9;6;4;26;13;39;26;13;39;0
2019-10-02 01:45:00;2;2;1;0;5;0;1;24;12;36;24;12;36;0
2019-10-02 02:00:00;4;1;0;0;8;3;2;26;13;39;26;13;39;0
2019-10-02 02:15:00;3;2;2;0;9;4;1;26;13;39;26;13;39;0
2019-10-02 02:30:00;1;0;1;0;3;3;1;26;13;39;26;13;39;0
2019-10-02 02:45:00;3;0;2;0;8;2;2;26;13;39;26;13;39;0
2019-10-02 03:00:00;1;1;0;1;7;2;1;26;13;39;26;13;39;0
2019-10-02 03:15:00;2;0;0;1;5;1;1;26;13;39;26;13;39;0
2019-10-02 03:30:00;5;1;2;1;7;2;3;24;12;36;24;12;36;0
2019-10-02 03:45:00;2;4;4;1;5;4;1;26;13;39;26;13;39;0
2019-10-02 04:00:00;3;3;3;0;6;1;0;26;13;39;26;13;39;0
2019-10-02 04:15:00;3;9;5;1;15;4;4;26;13;39;26;13;39;0
2019-10-02 04:30:00;4;7;3;3;20;5;2;26;13;39;26;13;39;0
2019-10-02 04:45:00;22;16;11;7;26;9;2;26;13;39;26;13;39;0
2019-10-02 05:00:00;25;21;29;26;49;15;3;20;10;30;20;10;30;0
2019-10-02 05:15:00;56;39;60;60;50;13;7;20;10;30;20;10;30;0
2019-10-02 05:30:00;49;51;55;53;65;25;6;20;10;30;20;10;30;0
2019-10-02 05:45:00;46;63;46;43;69;30;44;18;9;27;18;9;27;0
2019-10-02 06:00:00;59;55;42;32;101;47;38;20;10;31;20;10;31;0
2019-10-02 06:15:00;60;70;71;75;114;60;43;20;10;30;20;10;30;0
2019-10-02 06:30:00;93;87;94;87;121;59;40;20;10;30;20;10;30;0
2019-10-02 06:45:00;101;95;99;101;108;67;33;20;10;30;20;10;30;0
2019-10-02 07:00:00;106;91;116;110;111;72;34;20;10;30;20;10;30;0
2019-10-02 07:15:00;134;100;115;103;116;81;32;20;10;29;20;10;29;0
2019-10-02 07:30:00;128;132;113;114;94;70;61;20;10;30;20;10;30;0
2019-10-02 07:45:00;95;132;93;96;114;69;67;20;10;30;20;10;30;0
2019-10-02 08:00:00;111;101;87;94;117;70;60;21;11;31;21;11;31;0
2019-10-02 08:15:00;94;98;77;70;125;66;55;20;10;29;20;10;29;0
2019-10-02 08:30:00;107;98;77;65;113;72;46;20;10;30;20;10;30;0
2019-10-02 08:45:00;94;89;62;49;125;70;46;20;10;30;20;10;30;0
2019-10-02 09:00:00;92;90;51;37;108;74;56;20;10;30;20;10;30;0
2019-10-02 09:15:00;81;74;47;37;120;56;59;20;10;30;20;10;30;0
2019-10-02 09:30:00;102;84;54;37;102;57;62;20;10;31;20;10;31;0
2019-10-02 09:45:00;89;89;50;42;124;49;56;20;10;29;20;10;29;0
2019-10-02 10:00:00;114;79;59;35;124;55;63;20;10;30;20;10;30;0
2019-10-02 10:15:00;94;77;56;48;120;56;77;20;10;30;20;10;30;0
2019-10-02 10:30:00;94;70;52;30;121;45;73;20;10;30;20;10;30;0
2019-10-02 10:45:00;80;89;50;36;126;54;77;20;10;30;20;10;30;0
2019-10-02 11:00:00;112;67;40;32;134;60;88;20;10;31;20;10;31;0
2019-10-02 11:15:00;106;82;51;38;136;62;93;20;10;29;20;10;29;0
